instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt
1,359399.01666666666,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16
2,359399.01666666666,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40
3,359399.01666666666,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32
4,359399.01666666666,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13
5,359399.01666666666,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1
6,359399.01666666666,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1
7,359399.01666666666,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2
8,359399.01666666666,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3
9,359399.01666666666,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8
10,359399.01666666666,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14
11,359399.01666666666,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36
12,359399.01666666666,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56
13,359399.01666666666,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84
14,359399.01666666666,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94
15,359399.01666666666,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106
16,359399.01666666666,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110
17,359399.01666666666,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93
18,359399.01666666666,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67
19,359399.01666666666,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35
20,359399.01666666666,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37
21,359399.01666666666,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36
22,359399.01666666666,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34
23,359399.01666666666,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28
24,359399.01666666666,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39
25,359423.01666666666,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17
26,359423.01666666666,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17
