ProviderNumber,HospitalName,Address1,Address2,Address3,City,State,ZipCode,CountyName,PhoneNumber,HospitalType,HospitalOwner,EmergencyService,Condition,MeasureName,MeasureCode,Score,Sample,Stateavg
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,surgery patients who were taking heart drugs called beta blockers before coming to the hospital who were kept on the beta blockers during the period just before and after their surgery,scip-card-2,empty,empty,al_scip-card-2
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,scip-inf-1,empty,empty,al_scip-inf-1
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,surgery patients who were given the  right kind  of antibiotic to help prevent infection,scip-inf-2,empty,empty,al_scip-inf-2
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),scip-inf-3,empty,empty,al_scip-inf-3
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,scip-inf-4,empty,empty,al_scip-inf-4
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,surgery patients needing hair removed from the surgical area before surgery who had hair removed using a safer method (electric clippers or hair removal cream c not a razor),scip-inf-6,empty,empty,al_scip-inf-6
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,scip-vte-1,empty,empty,al_scip-vte-1
10018,callahan eye foundation hospital,1720 university blvd,empty,empty,birmingham,al,35233,jefferson,2053258100,acute care hospitals,voluntary non-profit - private,yes,surgical infection prevention,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,scip-vte-2,empty,empty,al_scip-vte-2
10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,heart attack patients given aspirin at arrival,ami-1,97%,33 patients,al_ami-1
10019,helen keller memorial hospital,1300 south montgomery avenue,empty,empty,sheffield,al,35660,jefferson,2563864556,acute care hospitals,government - hospital district or authority,yes,heart attack,heart attack patients given aspirin at discharge,ami-2,92%,13 patients,al_ami-2
