index,attribute,dirty_value,clean_value
11,HospitalName,helen keller memrial hospital,helen keller memorial hospital
12,HospitalName,henlen keller memorial hospital,helen keller memorial hospital
13,HospitalName,heleni keller memorial hospital,helen keller memorial hospital
14,HospitalName,helen keller memorial hospitsal,helen keller memorial hospital
15,HospitalName,helen keller memorail hospital,helen keller memorial hospital
16,HospitalName,heen keller memorial hospital,helen keller memorial hospital
18,HospitalName,helen keler memorial hospital,helen keller memorial hospital
19,HospitalName,helen keller memorialhospital,helen keller memorial hospital
53,HospitalName,callahan eye foundation hospital,marshall medical center south
54,HospitalName,callahan eye foundation hospital,marshall medical center south
55,HospitalName,callahan eye foundation hospital,marshall medical center south
56,HospitalName,callahan eye foundation hospital,marshall medical center south
57,HospitalName,callahan eye foundation hospital,marshall medical center south
58,HospitalName,callahan eye foundation hospital,marshall medical center south
59,HospitalName,callahan eye foundation hospital,marshall medical center south
60,HospitalName,callahan eye foundation hospital,marshall medical center south
61,HospitalName,callahan eye foundation hospital,marshall medical center south
62,HospitalName,callahan eye foundation hospital,marshall medical center south
63,HospitalName,callahan eye foundation hospital,marshall medical center south
64,HospitalName,callahan eye foundation hospital,marshall medical center south
65,HospitalName,callahan eye foundation hospital,marshall medical center south
66,HospitalName,callahan eye foundation hospital,marshall medical center south
67,HospitalName,callahan eye foundation hospital,marshall medical center south
68,HospitalName,callahan eye foundation hospital,marshall medical center south
69,HospitalName,callahan eye foundation hospital,marshall medical center south
70,HospitalName,callahan eye foundation hospital,eliza coffee memorial hospital
71,HospitalName,callahan eye foundation hospital,eliza coffee memorial hospital
90,HospitalName,callahan eye foundation hospital,eliza coffee memorial hospital
95,HospitalName,mizell memorialhospital,mizell memorial hospital
113,HospitalName,empty,mizell memorial hospital
132,HospitalName,callahan eye foundation hospital,crenshaw community hospital
133,HospitalName,callahan eye foundation hospital,crenshaw community hospital
134,HospitalName,callahan eye foundation hospital,crenshaw community hospital
135,HospitalName,callahan eye foundation hospital,crenshaw community hospital
136,HospitalName,callahan eye foundation hospital,crenshaw community hospital
165,HospitalName,hartselle medical cnter,hartselle medical center
194,HospitalName,empty,marshall medical center north
216,HospitalName,empty,st vincents east
234,HospitalName,callahan eye foundation hospital,dekalb regional medical center
235,HospitalName,callahan eye foundation hospital,dekalb regional medical center
236,HospitalName,callahan eye foundation hospital,dekalb regional medical center
237,HospitalName,callahan eye foundation hospital,dekalb regional medical center
238,HospitalName,callahan eye foundation hospital,dekalb regional medical center
239,HospitalName,callahan eye foundation hospital,dekalb regional medical center
240,HospitalName,callahan eye foundation hospital,dekalb regional medical center
241,HospitalName,callahan eye foundation hospital,dekalb regional medical center
242,HospitalName,callahan eye foundation hospital,dekalb regional medical center
243,HospitalName,callahan eye foundation hospital,dekalb regional medical center
453,HospitalName,helen keller memorila hospital,helen keller memorial hospital
454,HospitalName,helenk keller memorial hospital,helen keller memorial hospital
674,HospitalName,empty,university of alabama hospital
712,HospitalName,empty,community hospital inc
713,HospitalName,empty,community hospital inc
759,HospitalName,empty,andalusia regional hospital
773,HospitalName,empty,stringfellow memorial hospital
878,HospitalName,fayette medica lcenter,fayette medical center
947,HospitalName,empty,georgiana hospital
975,HospitalName,mdical center enterprise,medical center enterprise
977,HospitalName,empty,medical center enterprise
3,Address1,1720r university blvd,1720 university blvd
4,Address1,172 university blvd,1720 university blvd
61,Address1,empty,2505 u s highway 431 north
68,Address1,2505  s highway 431 north,2505 u s highway 431 north
128,Address1,101 hosital circle,101 hospital circle
142,Address1,empty,101 hospital circle
234,Address1,empty,200 med center drive
249,Address1,33700p highway 43,33700 highway 43
282,Address1,1000 firs street north,1000 first street north
309,Address1,1720 universitmy blvd,1720 university blvd
310,Address1,1720 universit blvd,1720 university blvd
311,Address1,720 university blvd,1720 university blvd
359,Address1,empty,1530 u s highway 43
423,Address1,empty,315 w hickory st
505,Address1,400 northwood dr***,400 northwood dr
574,Address1,empty,4800 48th st
658,Address1,empty,209 north main street
687,Address1,619 south 19thstreet,619 south 19th street
719,Address1,19k12 alabama highway 157,1912 alabama highway 157
765,Address1,empty,849 south three notch street
820,Address1,empty,1007 goodyear avenue
875,Address1,empty,1256 military street south
954,Address1,515 mirmanda st,515 miranda st
2,City,empty,birmingham
7,City,empty,birmingham
8,City,birminghpam,birmingham
32,City,dotahn,dothan
33,City,empty,dothan
106,City,birmingham,opp
107,City,birmingham,opp
108,City,birmingham,opp
109,City,birmingham,opp
110,City,birmingham,opp
130,City,empty,luverne
158,City,hartslele,hartselle
212,City,empty,birmingham
295,City,birmnigham,birmingham
296,City,bimringham,birmingham
297,City,mbirmingham,birmingham
398,City,practtville,prattville
415,City,syalcauga,sylacauga
423,City,empty,sylacauga
573,City,valsley,valley
616,City,eelba,elba
657,City,empty,wedowee
673,City,birminham,birmingham
707,City,talassee,tallassee
769,City,annitson,anniston
790,City,empty,huntsville
819,City,empty,gadsden
975,City,entejrprise,enterprise
987,City,noeonta,oneonta
998,City,empty,oneonta
10,ZipCode,3660,35660
33,ZipCode,36320,36302
249,ZipCode,empty,36784
272,ZipCode,empty,35007
300,ZipCode,5233,35233
301,ZipCode,35323,35233
302,ZipCode,3233,35233
303,ZipCode,352a33,35233
304,ZipCode,empty,35233
374,ZipCode,35549,35594
395,ZipCode,empty,36067
400,ZipCode,6067,36067
460,ZipCode,35606,35660
520,ZipCode,6116,36116
541,ZipCode,empty,36116
615,ZipCode,36s323,36323
632,ZipCode,inf,36801
642,ZipCode,3678,36278
757,ZipCode,empty,36420
798,ZipCode,3580y1,35801
816,ZipCode,empty,35903
831,ZipCode,3505,35045
860,ZipCode,empty,35570
862,ZipCode,5570,35570
971,ZipCode,empty,36330
983,ZipCode,empty,35121
40,CountyName,empty,houston
192,CountyName,marsahll,marshall
273,CountyName,shelbzy,shelby
274,CountyName,vshelby,shelby
275,CountyName,shelzby,shelby
287,CountyName,helby,shelby
292,CountyName,sheby,shelby
293,CountyName,shelbjy,shelby
348,CountyName,empty,houston
474,CountyName,adle,dale
512,CountyName,empty,cherokee
547,CountyName,empty,montgomery
549,CountyName,empty,montgomery
577,CountyName,empty,chambers
692,CountyName,emlore,elmore
705,CountyName,empty,elmore
725,CountyName,empty,cullman
868,CountyName,mgarion,marion
913,CountyName,etowha,etowah
938,CountyName,empty,butler
958,CountyName,empty,coffee
72,PhoneNumber,2576688400,2567688400
139,PhoneNumber,empty,3343353374
261,PhoneNumber,334636221,3346366221
292,PhoneNumber,empty,2056208100
391,PhoneNumber,empty,2514717110
399,PhoneNumber,empty,3343614267
409,PhoneNumber,empty,3343614267
455,PhoneNumber,2563864565,2563864556
456,PhoneNumber,256i3864556,2563864556
457,PhoneNumber,256364556,2563864556
458,PhoneNumber,253864556,2563864556
459,PhoneNumber,25638645h56,2563864556
477,PhoneNumber,347742601,3347742601
497,PhoneNumber,empty,2569275531
506,PhoneNumber,256927551,2569275531
542,PhoneNumber,3342930800,3342938000
590,PhoneNumber,3374561400,3347561400
702,PhoneNumber,empty,3342836541
705,PhoneNumber,empty,3342836541
831,PhoneNumber,20x57552500,2057552500
964,PhoneNumber,empty,3343470584
998,PhoneNumber,empty,2052743000
64,HospitalOwner,empty,government - hospital district or authority
136,HospitalOwner,empty,government - federal
218,HospitalOwner,empty,voluntary non-profit - private
219,HospitalOwner,voluntary znon-profit - private,voluntary non-profit - private
221,HospitalOwner,empty,voluntary non-profit - church
341,HospitalOwner,propietary,proprietary
355,HospitalOwner,proprjietary,proprietary
356,HospitalOwner,propretary,proprietary
375,HospitalOwner,proprietatry,proprietary
435,HospitalOwner,empty,proprietary
462,HospitalOwner,government - hospital district or uthority,government - hospital district or authority
463,HospitalOwner,goevrnment - hospital district or authority,government - hospital district or authority
464,HospitalOwner,government - hosital district or authority,government - hospital district or authority
465,HospitalOwner,government - hospital district or authyority,government - hospital district or authority
466,HospitalOwner,gvernment - hospital district or authority,government - hospital district or authority
469,HospitalOwner,government - hospital district r authority,government - hospital district or authority
523,HospitalOwner,voluntary non-profit - curch,voluntary non-profit - church
543,HospitalOwner,empty,voluntary non-profit - private
592,HospitalOwner,voluntay non-profit - other,voluntary non-profit - other
654,HospitalOwner,empty,government - local
734,HospitalOwner,government  -hospital district or authority,government - hospital district or authority
787,HospitalOwner,empty,government - hospital district or authority
802,HospitalOwner,government - hospital distrcit or authority,government - hospital district or authority
849,HospitalOwner,empty,voluntary non-profit - private
882,HospitalOwner,empty,voluntary non-profit - other
910,HospitalOwner,proprietray,proprietary
917,HospitalOwner,proprieptary,proprietary
1,EmergencyService,hyes,yes
2,EmergencyService,es,yes
13,EmergencyService,ykes,yes
78,EmergencyService,es,yes
81,EmergencyService,es,yes
86,EmergencyService,empty,yes
186,EmergencyService,empty,yes
297,EmergencyService,es,yes
313,EmergencyService,empty,yes
417,EmergencyService,tno,no
444,EmergencyService,empty,yes
452,EmergencyService,nwo,no
464,EmergencyService,yse,yes
465,EmergencyService,yeas,yes
466,EmergencyService,es,yes
484,EmergencyService,yebs,yes
487,EmergencyService,yres,yes
504,EmergencyService,es,yes
512,EmergencyService,jyes,yes
513,EmergencyService,empty,yes
551,EmergencyService,empty,yes
683,EmergencyService,empty,yes
794,EmergencyService,empty,yes
818,EmergencyService,empty,yes
850,EmergencyService,empty,yes
962,EmergencyService,qyes,yes
8,Condition,surgical infection preventino,surgical infection prevention
38,Condition,surgical infection prevenion,surgical infection prevention
63,Condition,surgical infection pruevention,surgical infection prevention
215,Condition,surgical infection prevelntion,surgical infection prevention
404,Condition,pneumonai,pneumonia
489,Condition,surgical infecton prevention,surgical infection prevention
641,Condition,surgical infection pevention,surgical infection prevention
772,Condition,surgical infectifon prevention,surgical infection prevention
822,Condition,surgical infection lprevention,surgical infection prevention
847,Condition,surgical infection prvention,surgical infection prevention
872,Condition,surgicla infection prevention,surgical infection prevention
883,Condition,heart atatck,heart attack
897,Condition,surgical infection pervention,surgical infection prevention
924,Condition,surgical infcetion prevention,surgical infection prevention
925,Condition,surgical inefction prevention,surgical infection prevention
950,Condition,surgical infection preventoin,surgical infection prevention
975,Condition,srugical infection prevention,surgical infection prevention
1000,Condition,surgical infection pevention,surgical infection prevention
27,MeasureName,heart failure patients given discharge instrucions,heart failure patients given discharge instructions
36,MeasureName,empty,pneumonia patients assessed and given influenza vaccination
59,MeasureName,empty,pneumonia patients given initial antibiotic(s) within 6 hours after arrival
70,MeasureName,heart attack patients iven aspirin at arrival,heart attack patients given aspirin at arrival
170,MeasureName,heart attack patienkts given aspirin at arrival,heart attack patients given aspirin at arrival
245,MeasureName,heart attackp atients given aspirin at arrival,heart attack patients given aspirin at arrival
248,MeasureName,empty,heart attack patients given smoking cessation advice/counseling
274,MeasureName,empty,heart attack patients given beta blocker at discharge
275,MeasureName,heart attack patients given fibrinolytic medication within 30 minutes of rarival,heart attack patients given fibrinolytic medication within 30 minutes of arrival
280,MeasureName,empty,heart failure patients given smoking cessation advice/counseling
