726.score,9e7%,97%
728.measurename,pneumonia patients assesseda nd given pneumococcal vaccination,pneumonia patients assessed and given pneumococcal vaccination
487.measurecode,scip-inf3-,scip-inf-3
867.measurename,pneumonia patients given initial antibiotic(s) within6  hours after arrival,pneumonia patients given initial antibiotic(s) within 6 hours after arrival
239.state,la,al
640.address3,eempty,empty
132.state,kal,al
402.stateavg,alh_f-4,al_hf-4
628.city,opelka,opelika
393.city,prattville***,prattville
984.city,onoenta,oneonta
525.countyname,mongtomery,montgomery
396.measurename,heart attack patients given beta lbocker at discharge,heart attack patients given beta blocker at discharge
402.countyname,autagua,autauga
103.phonenumber,3344933514,3344933541
209.state,l,al
4.stateavg,al_sjcip-inf-3,al_scip-inf-3
164.emergencyservice,eys,yes
238.measurename,surgery patients who were gwiven an antibiotic at the right time (within one hour before surgery) to help prevent infection,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
181.score,i87%,87%
71.city,florednce,florence
226.condition,heart attakc,heart attack
540.measurecode,scip-ve-1,scip-vte-1
591.condition,surgical infection eprevention,surgical infection prevention
465.countyname,jefferosn,jefferson
988.address1,150 gibreath drive,150 gilbreath drive
709.emergencyservice,o,no
74.measurecode,mi-5,ami-5
903.address2,epmty,empty
79.sample,84 patints,84 patients
498.city,qcentre,centre
49.providernumber,h10005,10005
705.hospitaltype,acute caure hospitals,acute care hospitals
344.hospitaltype,acute acre hospitals,acute care hospitals
738.condition,surgical infection preventon,surgical infection prevention
979.sample,96 patients,196 patients
762.hospitaltype,acute care hsopitals,acute care hospitals
41.score,6%,96%
544.address3,emptsy,empty
704.measurecode,pn3b,pn-3b
236.countyname,d kalb,de kalb
262.stateavg,al_scip-card-a2,al_scip-card-2
288.address2,emptqy,empty
885.condition,heamrt failure,heart failure
961.measurename,heart attack patients given fibrinolytic medicatoin within 30 minutes of arrival,heart attack patients given fibrinolytic medication within 30 minutes of arrival
192.condition,surgical iknfection prevention,surgical infection prevention
25.hospitalowner,government - hospital district or authqority,government - hospital district or authority
362.emergencyservice,es,yes
325.address3,emptdy,empty
732.address2,empyt,empty
98.stateavg,al_ami4,al_ami-4
666.address2,emmpty,empty
519.hospitaltype,acte care hospitals,acute care hospitals
919.condition,pneumzonia,pneumonia
122.score,emtpy,empty
735.sample,141 patients,411 patients
427.providernumber,0164,10164
151.address3,ebmpty,empty
320.hospitalowner,proprietarwy,proprietary
518.phonenumber,3342828100,3342882100
138.condition,surgkical infection prevention,surgical infection prevention
212.phonenumber,2058833122,2058383122
874.sample,0 ptients,0 patients
441.sample,22 patioents,22 patients
132.city,luvrene,luverne
682.phonenumber,205934011,2059344011
545.address1,1725 ine street,1725 pine street
765.hospitaltype,acpute care hospitals,acute care hospitals
53.hospitalowner,goyvernment - hospital district or authority,government - hospital district or authority
916.countyname,emtowah,etowah
589.address1,4800 48th snt,4800 48th st
36.zipcode,6302,36302
