index,attribute,dirty_value,clean_value
12,ProviderNumber,1019,10019
13,ProviderNumber,1009,10019
37,ProviderNumber,empty,10001
132,ProviderNumber,10018,10008
133,ProviderNumber,10018,10008
316,ProviderNumber,empty,10038
446,ProviderNumber,empty,20017
486,ProviderNumber,10p021,10021
533,ProviderNumber,1002n3,10023
793,ProviderNumber,empty,10039
814,ProviderNumber,empty,10040
943,ProviderNumber,100z47,10047
944,ProviderNumber,1004p7,10047
17,HospitalName,helen kellre memorial hospital,helen keller memorial hospital
18,HospitalName,helen keller memoril hospital,helen keller memorial hospital
47,HospitalName,callahan eye foundation hospital,marshall medical center south
48,HospitalName,callahan eye foundation hospital,marshall medical center south
75,HospitalName,callahan eye foundation hospital,eliza coffee memorial hospital
76,HospitalName,callahan eye foundation hospital,eliza coffee memorial hospital
145,HospitalName,callahan eye foundation hospital,hartselle medical center
146,HospitalName,callahan eye foundation hospital,hartselle medical center
161,HospitalName,callahan eye foundation hospital,hartselle medical center
162,HospitalName,callahan eye foundation hospital,hartselle medical center
187,HospitalName,marshmall medical center north,marshall medical center north
287,HospitalName,callahan eye foundation hospital,shelby baptist medical center
288,HospitalName,callahan eye foundation hospital,shelby baptist medical center
293,HospitalName,callahan eye foundation hospital,shelby baptist medical center
294,HospitalName,callahan eye foundation hospital,shelby baptist medical center
426,HospitalName,coosa valley medical centr,coosa valley medical center
429,HospitalName,empty,coosa valley medical center
476,HospitalName,dale medicakl center,dale medical center
613,HospitalName,elbab general hospital,elba general hospital
700,HospitalName,empty,community hospital inc
735,HospitalName,empty,cullman regional medical center
789,HospitalName,huntsville hospitla,huntsville hospital
800,HospitalName,huntsville hospitla,huntsville hospital
836,HospitalName,chilton medicanl center,chilton medical center
903,HospitalName,empty,riverview regional medical center
961,HospitalName,empty,medical center enterprise
30,Address1,empty,1108 ross clark circle
82,Address1,empty,205 marengo street
310,Address1,1720 university bvd,1720 university blvd
311,Address1,1720 university bld,1720 university blvd
401,Address1,124 s memorihal dr,124 s memorial dr
405,Address1,empty,124 s memorial dr
503,Address1,400 northwood rd,400 northwood dr
561,Address1,172g5 pine street,1725 pine street
601,Address1,987 dryton street,987 drayton street
