183.address2,empy,empty
568.city,valey,valley
13.measurecode,scip-card-2,ami-5
16.zipcode,35606,35660
19.zipcode,35h660,35660
1.emergencyservice,xyes,yes
60.condition,pneuomnia,pneumonia
78.city,florece,florence
207.stateavg,al_p-3b,al_pn-3b
11.city,sheffileld,sheffield
944.zipcode,3033,36033
809.emergencyservice,es,yes
132.hospitaltype,acute care hsopitals,acute care hospitals
803.city,gadden,gadsden
798.providernumber,1039,10039
101.providernumber,10018,10007
228.hospitalname,callahan eye foundation hospital,dekalb regional medical center
868.address3,elmpty,empty
354.city,dehcatur,decatur
146.phonenumber,2567376511,2567736511
418.address2,empyt,empty
506.hospitalname,cherokee medical ckenter,cherokee medical center
138.zipcode,3049,36049
276.measurecode,scip-card-2,ami-8a
931.measurename,heajrt attack patients given aspirin at arrival,heart attack patients given aspirin at arrival
335.hospitalowner,proprietahry,proprietary
221.hospitalname,callahan eye foundation hospital,dekalb regional medical center
843.city,lcanton,clanton
742.hospitalname,andallusia regional hospital,andalusia regional hospital
359.address1,5130 u s highway 43,1530 u s highway 43
445.score,8%,98%
990.hospitalowner,voluntary nuon-profit - private,voluntary non-profit - private
876.condition,surgical ifnection prevention,surgical infection prevention
339.score,9%9,99%
695.condition,heart attak,heart attack
894.phonenumber,205325966,2059325966
179.providernumber,p10010,10010
783.score,emptly,empty
845.city,clanon,clanton
720.condition,hedart attack,heart attack
100.providernumber,10018,10007
232.city,birmingham,fort payne
268.emergencyservice,es,yes
204.address3,empy,empty
415.address1,315  hickory st,315 w hickory st
557.hospitalname,jackson hospital & cliic inc,jackson hospital & clinic inc
505.hospitalowner,voluntary non-rpofit - private,voluntary non-profit - private
126.zipcode,g36049,36049
463.hospitalowner,governxment - hospital district or authority,government - hospital district or authority
535.hospitaltype,acte care hospitals,acute care hospitals
97.zipcode,35233,36467
453.zipcode,3v5660,35660
169.hospitalname,callahan eye foundation hospital,hartselle medical center
771.sample,0 paktients,0 patients
562.providernumber,1024,10024
373.measurename,surgery patients who were given an antibiotic at the right time (within ojne hour before surgery) to help prevent infection,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection
981.measurename,heart attack patents given aspirin at arrival,heart attack patients given aspirin at arrival
225.address3,emtpy,empty
5.providernumber,1018,10018
493.stateavg,al_am-2,al_ami-2
440.countyname,anchoarge,anchorage
587.stateavg,al_scip-in-f3,al_scip-inf-3
353.stateavg,a_ami-5,al_ami-5
628.emergencyservice,ys,yes
25.hospitalname,callahan eye foundation hospital,southeast alabama medical center
296.measurecode,scip-card-2,ami-2
285.countyname,hselby,shelby
93.hospitalname,callahan eye foundation hospital,eliza coffee memorial hospital
899.measurename,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after shurgery,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery
170.measurename,heart attack patiesnts given aspirin at arrival,heart attack patients given aspirin at arrival
693.address1,805 firendship road,805 friendship road
282.measurecode,scip-card-2,pn-3b
291.measurecode,scip-card-2,scip-inf-4
705.hospitalname,commuity hospital inc,community hospital inc
145.measurename,heart attack patients given aspirin at arreival,heart attack patients given aspirin at arrival
713.measurecode,scp-inf-4,scip-inf-4
23.address3,mepty,empty
687.hospitalowner,government -c state,government - state
896.measurecode,scip-if-1,scip-inf-1
170.hospitalname,callahan eye foundation hospital,marshall medical center north
289.countyname,sheby,shelby
895.measurecode,scipc-ard-2,scip-card-2
125.hospitaltype,acute dcare hospitals,acute care hospitals
229.hospitalname,callahan eye foundation hospital,dekalb regional medical center
495.stateavg,al_am-i4,al_ami-4
44.sample,184 patiets,184 patients
728.score,v100%,100%
246.city,birmingham,thomasville
457.providernumber,0019,10019
54.sample,69 pateints,69 patients
94.hospitalname,callahan eye foundation hospital,eliza coffee memorial hospital
72.hospitaltype,acute care hospitfals,acute care hospitals
939.sample,59p atients,59 patients
