index,attribute,dirty_value,clean_value
3,ProviderNumber,1018,10018
5,ProviderNumber,1018,10018
14,ProviderNumber,1009,10019
15,ProviderNumber,19,10019
16,ProviderNumber,1019,10019
17,ProviderNumber,1019,10019
19,ProviderNumber,1019,10019
52,ProviderNumber,empty,10005
79,ProviderNumber,10060,10006
82,ProviderNumber,empty,10006
86,ProviderNumber,empty,10006
98,ProviderNumber,10018,10007
99,ProviderNumber,10018,10007
100,ProviderNumber,10018,10007
101,ProviderNumber,10018,10007
102,ProviderNumber,10018,10007
103,ProviderNumber,10018,10007
104,ProviderNumber,10018,10007
105,ProviderNumber,10018,10007
106,ProviderNumber,10018,10007
107,ProviderNumber,10018,10007
108,ProviderNumber,empty,10007
176,ProviderNumber,empty,10010
179,ProviderNumber,p10010,10010
181,ProviderNumber,empty,10010
280,ProviderNumber,empty,10016
281,ProviderNumber,100w16,10016
304,ProviderNumber,10081,10018
333,ProviderNumber,1005u5,10055
336,ProviderNumber,1055,10055
342,ProviderNumber,empty,10055
363,ProviderNumber,empty,10086
393,ProviderNumber,1008,10108
402,ProviderNumber,10018,10108
453,ProviderNumber,1019,10019
454,ProviderNumber,1019,10019
455,ProviderNumber,10w019,10019
456,ProviderNumber,1019,10019
457,ProviderNumber,19,10019
516,ProviderNumber,1002,10022
562,ProviderNumber,1024,10024
568,ProviderNumber,1005,10025
574,ProviderNumber,1002r5,10025
581,ProviderNumber,25,10025
588,ProviderNumber,empty,10025
642,ProviderNumber,10032***,10032
653,ProviderNumber,empty,10032
702,ProviderNumber,10b034,10034
719,ProviderNumber,empty,10035
746,ProviderNumber,empty,10036
758,ProviderNumber,1006,10036
763,ProviderNumber,36,10036
785,ProviderNumber,10p039,10039
798,ProviderNumber,1039,10039
850,ProviderNumber,10403,10043
853,ProviderNumber,empty,10044
860,ProviderNumber,empty,10044
873,ProviderNumber,empty,10044
879,ProviderNumber,empty,10045
882,ProviderNumber,empty,10045
905,ProviderNumber,empty,10046
914,ProviderNumber,empty,10046
958,ProviderNumber,10094,10049
20,HospitalName,callahan eye foundation hospital,southeast alabama medical center
21,HospitalName,callahan eye foundation hospital,southeast alabama medical center
22,HospitalName,callahan eye foundation hospital,southeast alabama medical center
23,HospitalName,callahan eye foundation hospital,southeast alabama medical center
24,HospitalName,callahan eye foundation hospital,southeast alabama medical center
25,HospitalName,callahan eye foundation hospital,southeast alabama medical center
26,HospitalName,callahan eye foundation hospital,southeast alabama medical center
27,HospitalName,callahan eye foundation hospital,southeast alabama medical center
28,HospitalName,callahan eye foundation hospital,southeast alabama medical center
29,HospitalName,callahan eye foundation hospital,southeast alabama medical center
32,HospitalName,southeast alabama medicalc enter,southeast alabama medical center
38,HospitalName,southeast alabma medical center,southeast alabama medical center
39,HospitalName,southeast alabama medial center,southeast alabama medical center
40,HospitalName,southeast alabaam medical center,southeast alabama medical center
41,HospitalName,southeast alabamax medical center,southeast alabama medical center
42,HospitalName,southeast alabama medicoal center,southeast alabama medical center
43,HospitalName,southeast alaama medical center,southeast alabama medical center
44,HospitalName,southeast alabama medical centekr,southeast alabama medical center
87,HospitalName,callahan eye foundation hospital,eliza coffee memorial hospital
88,HospitalName,callahan eye foundation hospital,eliza coffee memorial hospital
89,HospitalName,callahan eye foundation hospital,eliza coffee memorial hospital
91,HospitalName,callahan eye foundation hospital,eliza coffee memorial hospital
92,HospitalName,callahan eye foundation hospital,eliza coffee memorial hospital
93,HospitalName,callahan eye foundation hospital,eliza coffee memorial hospital
94,HospitalName,callahan eye foundation hospital,eliza coffee memorial hospital
95,HospitalName,callahan eye foundation hospital,mizell memorial hospital
96,HospitalName,empty,mizell memorial hospital
97,HospitalName,callahan eye foundation hospital,mizell memorial hospital
111,HospitalName,mizel memorial hospital,mizell memorial hospital
144,HospitalName,empty,crenshaw community hospital
148,HospitalName,empty,hartselle medical center
151,HospitalName,callahan eye foundation hospital,hartselle medical center
152,HospitalName,callahan eye foundation hospital,hartselle medical center
153,HospitalName,callahan eye foundation hospital,hartselle medical center
154,HospitalName,callahan eye foundation hospital,hartselle medical center
