attribute,clean_value,dirty_value,index
flight,AA-518-MIA-JFK,empty,4
flight,UA-5487-SFO-MRY,AA-3859-IAH-ORD,60
flight,AA-204-LAX-MCO,AA-3859-IAH-ORD,61
flight,UA-414-LAX-SFO,AA-3859-IAH-ORD,62
flight,CO-1614-LAX-IAH,empty,63
flight,UA-2726-FLL-PHL,AA-3859-IAH-ORD,64
flight,CO-52-IAH-LAX,AA-3859-IAH-ORD,65
flight,CO-1090-BOS-IAH,AA-3859-IAH-ORD,66
flight,AA-616-DFW-DTW,AA-3859-IAH-ORD,67
flight,UA-3515-IAD-MSP,AA-3859-IAH-ORD,68
flight,AA-3468-CVG-MIA,AA-3859-IAH-ORD,69
flight,AA-484-DFW-MIA,AA-3859-IAH-ORD,70
flight,AA-1886-BOS-MIA,AA-3859-IAH-ORD,71
flight,CO-62-IAH-EWR,AA-3859-IAH-ORD,72
flight,CO-1561-PHX-IAH,AA-3859-IAH-ORD,73
flight,UA-2314-ATL-PHL,AA-3859-IAH-ORD,74
flight,AA-446-DFW-PHL,AA-3859-IAH-ORD,75
flight,CO-1023-IAH-DEN,AA-3859-IAH-ORD,76
flight,AA-466-IAH-MIA,AA-3859-IAH-ORD,77
flight,UA-3050-PHX-CLT,AA-3859-IAH-ORD,78
flight,CO-89-IAH-EWR,AA-3859-IAH-ORD,79
flight,AA-3842-MSP-ORD,AA-3842-MSPORD,100
flight,UA-3373-IAD-PHL,empty,119
flight,AA-446-DFW-PHL,empty,175
flight,AA-3979-CVG-ORD,empty,238
flight,AA-3979-CVG-ORD,AA-3979-CV-ORD,277
flight,CO-1561-PHX-IAH,empty,287
flight,AA-3859-IAH-ORD,empty,338
flight,CO-1586-IAH-MCO,empty,339
flight,UA-2314-ATL-PHL,UA-2314A-TL-PHL,361
flight,UA-37-EWR-MCO,U-37-EWR-MCO,399
flight,UA-233-LAX-JFK,empty,401
flight,AA-3823-LAX-DEN,AA-3823-LAXDEN,402
flight,CO-1088-CLE-IAH,CO-1088-CLEI-AH,467
flight,UA-2906-PHL-MCO,A-2906-PHL-MCO,489
flight,UA-3515-IAD-MSP,AA-3859-IAH-ORD,555
flight,AA-484-DFW-MIA,AA-3859-IAH-ORD,556
flight,AA-616-DFW-DTW,AA-3859-IAH-ORD,557
flight,CO-62-IAH-EWR,AA-3859-IAH-ORD,558
flight,CO-63-EWR-IAH,AA-3859-IAH-ORD,559
flight,AA-446-DFW-PHL,AA-3859-IAH-ORD,560
flight,CO-1023-IAH-DEN,AA-3859-IAH-ORD,561
flight,AA-466-IAH-MIA,AA-3859-IAH-ORD,562
flight,UA-3050-PHX-CLT,AA-3859-IAH-ORD,563
flight,CO-89-IAH-EWR,AA-3859-IAH-ORD,564
flight,CO-1088-CLE-IAH,AA-3859-IAH-ORD,565
flight,AA-2957-DFW-CVG,AA-3859-IAH-ORD,566
flight,AA-1664-MIA-ATL,AA-3859-IAH-ORD,567
