attribute,clean_value,dirty_value,index
flight,AA-3-JFK-LAX,empty,25
flight,AA-1522-SFO-ORD,AA-1522-SFO-ROD,32
flight,AA-1279-DFW-PHX,A-1279-DFW-PHX,82
flight,CO-63-EWR-IAH,CO-63-EW-IAH,88
flight,CO-1193-EWR-MCO,CO-1193-EWR-MCO***,198
flight,UA-664-ORD-PHL,U-A664-ORD-PHL,208
flight,UA-6273-YYC-SFO,UA-6f273-YYC-SFO,220
flight,CO-4888-IAH-DAL,AA-3859-IAH-ORD,222
flight,UA-858-PVG-SFO,AA-3859-IAH-ORD,223
flight,UA-2704-DTW-PHX,AA-3859-IAH-ORD,224
flight,AA-3063-SLC-LAX,AA-3859-IAH-ORD,225
flight,UA-2708-EWR-CLT,AA-3859-IAH-ORD,226
flight,UA-62-IAH-EWR,AA-3859-IAH-ORD,227
flight,UA-1500-IAH-GUA,AA-3859-IAH-ORD,228
flight,AA-3804-PHL-ORD,AA-3859-IAH-ORD,229
flight,AA-1917-JFK-MCO,AA-3859-IAH-ORD,230
flight,AA-2268-PHX-ORD,empty,231
flight,AA-4277-CVG-JFK,AA-3859-IAH-ORD,232
flight,AA-1640-MIA-MCO,AA-1604-MIA-MCO,256
flight,UA-5487-SFO-MRY,UA-5487-SFO-MRqY,260
flight,AA-4307-ORD-DTW,empty,288
flight,CO-58-DEN-IAH,COc-58-DEN-IAH,345
flight,CO-16-LAX-EWR,AA-3859-IAH-ORD,394
flight,UA-2515-DFW-CLT,AA-3859-IAH-ORD,395
flight,AA-400-DFW-JFK,AA-3859-IAH-ORD,396
flight,UA-664-ORD-PHL,AA-3859-IAH-ORD,397
flight,AA-3756-ORD-SLC,AA-3859-IAH-ORD,398
flight,UA-37-EWR-MCO,AA-3859-IAH-ORD,399
flight,AA-1522-SFO-ORD,AA-3859-IAH-ORD,400
flight,UA-233-LAX-JFK,AA-3859-IAH-ORD,401
flight,AA-3823-LAX-DEN,AA-3859-IAH-ORD,402
flight,AA-2312-DFW-DTW,AA-3859-IAH-ORD,403
flight,AA-431-MIA-SFO,AA-3859-IAH-ORD,405
flight,CO-4888-IAH-DAL,CO-48f88-IAH-DAL,411
flight,UA-1500-IAH-GUA,UA-1500-IAtH-GUA,417
flight,UA-248-PHX-ORD,empty,478
flight,UA-3925-IAD-ORF,empty,542
flight,AA-1434-DFW-MCO,AA-3859-IAH-ORD,579
flight,CO-1561-PHX-IAH,AA-3859-IAH-ORD,580
flight,AA-4307-ORD-DTW,AA-3859-IAH-ORD,581
flight,AA-3-JFK-LAX,AA-3859-IAH-ORD,582
flight,CO-1694-LAX-IAH,AA-3859-IAH-ORD,583
flight,UA-843-LAX-ORD,AA-3859-IAH-ORD,584
flight,CO-1193-EWR-MCO,AA-3859-IAH-ORD,585
flight,AA-3842-MSP-ORD,AA-3859-IAH-ORD,586
flight,AA-643-MIA-ORD,AA-3859-IAH-ORD,587
flight,AA-1007-MIA-PHX,AA-3859-IAH-ORD,588
flight,AA-2525-DFW-MIA,AA-3859-IAH-ORD,589
flight,AA-1007-MIA-PHX,AA-3859-IAH-ORD,680
flight,UA-2906-PHL-MCO,AA-3859-IAH-ORD,681
flight,UA-938-DEN-ORD,AA-3859-IAH-ORD,682
flight,AA-1221-MCO-ORD,AA-3859-IAH-ORD,683
flight,CO-16-LAX-EWR,AA-3859-IAH-ORD,684
flight,UA-2515-DFW-CLT,AA-3859-IAH-ORD,685
flight,AA-400-DFW-JFK,AA-3859-IAH-ORD,686
flight,UA-664-ORD-PHL,AA-3859-IAH-ORD,687
flight,AA-3756-ORD-SLC,AA-3859-IAH-ORD,688
flight,UA-37-EWR-MCO,AA-3859-IAH-ORD,689
flight,AA-1522-SFO-ORD,AA-3859-IAH-ORD,690
flight,AA-3842-MSP-ORD,empty,763
flight,AA-518-MIA-JFK,AA-518-MIA-JK,814
flight,UA-854-SFO-IAH,empty,844
flight,AA-3786-IAH-ORD,empty,901
flight,CO-1193-EWR-MCO,CO-1193-EW-RMCO,934
flight,UA-664-ORD-PHL,empty,977
flight,AA-1007-MIA-PHX,AA-107-MIA-PHX,1121
flight,AA-1522-SFO-ORD,AA-152u2-SFO-ORD,1131
flight,AA-3804-PHL-ORD,empty,1149
flight,AA-466-IAH-MIA,empty,1250
flight,AA-2050-ORD-MIA,empty,1263
flight,CO-50-CLE-EWR,CO-50p-CLE-EWR,1316
flight,AA-3823-LAX-DEN,AA-3823LAX-DEN,1386
flight,AA-1165-JFK-MIA,empty,1388
flight,AA-649-ORD-SNA,A-649-ORD-SNA,1390
flight,AA-85-JFK-SFO,AA-85-JF-SFO,1409
flight,CO-58-DEN-IAH,empty,1459
flight,AA-222-LAX-BOS,empty,1587
flight,UA-2515-DFW-CLT,UA-2515-DWF-CLT,1616
flight,AA-446-DFW-PHL,AA-446-DF-WPHL,1673
flight,UA-2906-PHL-MCO,empty,1701
flight,AA-789-ORD-DEN,AA-7i89-ORD-DEN,1719
flight,CO-62-IAH-EWR,CO-n62-IAH-EWR,1780
flight,UA-3050-PHX-CLT,empty,1786
flight,UA-2830-MCO-CLT,UA-2830M-CO-CLT,1867
flight,UA-3373-IAD-PHL,empty,1927
flight,UA-248-PHX-ORD,UA-248-PHX-ODR,1991
flight,AA-3756-ORD-SLC,empty,2009
flight,UA-1500-IAH-GUA,empty,2028
