attribute,clean_value,dirty_value,index
sched_dep_time,02:35 PM,empty,39
sched_dep_time,08:05 AM,0:805 AM,73
sched_dep_time,06:00 AM,06:00 M,79
sched_dep_time,09:15 AM,09:t15 AM,99
sched_dep_time,08:00 PM,08:00 PpM,106
sched_dep_time,06:40 AM,empty,153
sched_dep_time,12:30 AM,empty,163
sched_dep_time,04:15 PM,04:15 MP,170
sched_dep_time,12:30 PM,1x2:30 PM,184
sched_dep_time,12:00 AM,empty,187
sched_dep_time,08:00 PM,08:0 PM,204
sched_dep_time,11:55 PM,11:55 dPM,211
sched_dep_time,06:59 AM,6:59 AM,215
sched_dep_time,07:15 AM,07:15 jAM,231
sched_dep_time,11:25 AM,11:2 5AM,239
sched_dep_time,09:45 AM,09:4 AM,265
sched_dep_time,11:50 AM,j11:50 AM,270
sched_dep_time,09:05 AM,empty,280
sched_dep_time,08:00 PM,08:00 PM***,297
sched_dep_time,10:25 AM,01:25 AM,298
sched_dep_time,06:59 AM,06:5s9 AM,306
sched_dep_time,09:05 AM,empty,324
sched_dep_time,08:41 AM,empty,342
sched_dep_time,06:00 AM,empty,349
sched_dep_time,12:30 AM,empty,350
sched_dep_time,08:00 PM,08:0 PM,393
sched_dep_time,04:25 PM,empty,401
sched_dep_time,06:59 AM,6:59 AM,404
sched_dep_time,08:29 AM,empty,406
sched_dep_time,07:15 AM,empty,420
sched_dep_time,08:35 AM,08:35 oAM,425
sched_dep_time,12:30 PM,1:30 PM,471
sched_dep_time,04:55 PM,04:l55 PM,488
sched_dep_time,08:00 PM,08:00 MP,491
sched_dep_time,06:59 AM,06g:59 AM,502
sched_dep_time,11:55 AM,11:55 M,531
sched_dep_time,07:15 AM,empty,579
sched_dep_time,01:55 PM,empty,584
sched_dep_time,09:15 AM,empty,585
sched_dep_time,08:00 PM,08:00 PM***,592
sched_dep_time,01:33 PM,1:33 PM,596
sched_dep_time,06:59 AM,06:59 MA,603
sched_dep_time,08:35 AM,y08:35 AM,604
sched_dep_time,07:00 PM,empty,631
sched_dep_time,06:00 AM,06:00f AM,656
sched_dep_time,08:00 PM,r08:00 PM,683
sched_dep_time,06:59 AM,0:659 AM,694
sched_dep_time,01:45 PM,0145 PM,702
sched_dep_time,09:05 AM,empty,713
sched_dep_time,04:00 PM,04:j00 PM,726
sched_dep_time,04:15 PM,empty,743
sched_dep_time,06:00 AM,empty,763
sched_dep_time,08:00 PM,0:800 PM,768
sched_dep_time,06:59 AM,0:59 AM,775
sched_dep_time,06:59 AM,6:59 AM,794
sched_dep_time,08:00 PM,08:0y0 PM,809
sched_dep_time,09:15 AM,09:1 AM,811
sched_dep_time,08:00 PM,8:00 PM,865
sched_dep_time,12:15 PM,empty,870
sched_dep_time,06:59 AM,06:59b AM,876
sched_dep_time,08:00 PM,08:00 MP,937
sched_dep_time,05:25 PM,empty,981
sched_dep_time,06:00 AM,empty,1008
sched_dep_time,08:00 PM,8:00 PM,1032
sched_dep_time,06:59 AM,0:659 AM,1040
sched_dep_time,07:10 AM,empty,1066
sched_dep_time,08:15 AM,0815 AM,1088
sched_dep_time,08:05 AM,empty,1093
sched_dep_time,05:25 PM,empty,1108
sched_dep_time,07:15 PM,07:15P M,1116
sched_dep_time,08:00 PM,08y:00 PM,1124
sched_dep_time,06:59 AM,06:59d AM,1135
sched_dep_time,01:05 PM,0:05 PM,1155
sched_dep_time,10:40 AM,10:40 jAM,1165
sched_dep_time,09:15 AM,empty,1195
sched_dep_time,08:00 PM,08:00 MP,1196
sched_dep_time,07:10 AM,07:10AM,1223
sched_dep_time,08:00 PM,08:0 PM,1279
sched_dep_time,12:15 PM,empty,1284
sched_dep_time,06:59 AM,60:59 AM,1290
sched_dep_time,07:15 AM,07:15q AM,1306
sched_dep_time,11:35 AM,1:35 AM,1315
sched_dep_time,11:50 AM,empty,1348
sched_dep_time,08:40 AM,8:40 AM,1353
sched_dep_time,08:00 PM,08:00 wPM,1377
sched_dep_time,11:55 PM,11t:55 PM,1384
sched_dep_time,06:59 AM,06:5 AM,1388
sched_dep_time,06:45 AM,empty,1418
sched_dep_time,06:00 AM,empty,1430
sched_dep_time,08:35 AM,empty,1464
