78.brewery_name,Against the rGain Brewery,Against the Grain Brewery
219.brewery_id,408,76
405.city,Gand Rapids,Grand Rapids
1722.city,Cyhicago,Chicago
532.brewery_id,408,192
2041.city,Indianapolais,Indianapolis
238.brewery_id,408,463
414.city,Grand zRapids,Grand Rapids
148.state,R,OR
257.brewery_id,408,336
256.brewery_id,408,336
119.state,A,CA
841.brewery_name,Fort Point Beer Compazny,Fort Point Beer Company
579.brewery_name,Central Coat Brewing Company,Central Coast Brewing Company
1472.brewery_name,NewOrleans Lager & Ale Brewing ...,New Orleans Lager & Ale Brewing ...
1204.brewery_name,Lewirs and Clark Brewing Company,Lewis and Clark Brewing Company
1530.city,dSpirit Lake,Spirit Lake
105.state,CyA,CA
564.brewery_id,9m6,96
925.city,Williamcs,Williams
36.brewery_name,1st Amendment Brewery,21st Amendment Brewery
1187.brewery_id,54,354
533.brewery_id,408,192
1612.brewery_name,Pateros Creek Brewing Compay,Pateros Creek Brewing Company
1196.brewery_name,Laughing Dog Brewin Company,Laughing Dog Brewing Company
255.brewery_id,408,336
877.city,Seeattle,Seattle
237.brewery_id,408,463
530.brewery_id,408,267
1155.state,Y,NY
393.state,MiI,MI
1196.state,D,ID
420.city,GrandRapids,Grand Rapids
184.brewery_name,Ballast Point Brewing Comany,Ballast Point Brewing Company
220.brewery_id,408,76
1625.brewery_id,s205,205
152.state,IM,MI
396.brewery_name,Brewery Vviant,Brewery Vivant
217.brewery_id,408,103
1618.state,DI,ID
1319.brewery_id,54,254
254.brewery_id,408,336
1375.state,rCA,CA
134.brewery_name,Arctic Craft Brwery,Arctic Craft Brewery
1662.city,arlsbad,Carlsbad
2002.brewery_name,StevensPoint Brewery,Stevens Point Brewery
331.brewery_name,Bold Ciy Brewery,Bold City Brewery
1514.brewery_id,18b4,184
398.brewery_name,Breery Vivant,Brewery Vivant
431.state,IM,MI
2028.state,kPA,PA
416.city,Grand Rapis,Grand Rapids
1411.brewery_name,Mugdshark Brewing Company,Mudshark Brewing Company
723.brewery_id,41,491
180.state,sAL,AL
2119.brewery_id,4g5,45
529.brewery_id,408,230
2085.state,NM,MN
2375.brewery_id,4i99,499
1980.brewery_name,kSpiteful Brewing Company,Spiteful Brewing Company
240.brewery_id,408,220
534.brewery_id,408,192
239.brewery_id,408,463
418.city,GrandR apids,Grand Rapids
892.state,AC,CA
1097.brewery_id,20,120
218.brewery_id,408,76
2284.city,Bouldr,Boulder
410.city,Gradn Rapids,Grand Rapids
554.brewery_id,4i04,404
4.brewery_name,18th Streket Brewery,18th Street Brewery
1777.city,Langsdale,Lansdale
528.brewery_id,408,230
185.city,Scan Diego,San Diego
936.brewery_id,16e5,165
104.state,AC,CA
1522.brewery_name,Odysey Beerwerks,Odyssey Beerwerks
404.brewery_name,Brewery Vivnat,Brewery Vivant
855.city,Tmpe,Tempe
535.brewery_id,408,192
1022.brewery_id,24,234
390.brewery_name,Brewey Vivant,Brewery Vivant
1191.brewery_name,Lancaster Brewting Company,Lancaster Brewing Company
1516.brewery_id,814,184
1328.city,Mimi,Miami
422.city,Grand aRpids,Grand Rapids
253.brewery_id,408,336
2203.brewery_id,m152,152
1861.brewery_id,f46,46
214.brewery_id,408,103
612.brewery_name,Cigar City Brewing Cmpany,Cigar City Brewing Company
1192.city,Portgae,Portage
2132.brewery_id,408,480
242.brewery_id,408,220
223.brewery_id,408,76
1811.state,MN,NM
1077.brewery_id,0,80
689.brewery_name,Dad & Dude's Bireweria,Dad & Dude's Breweria
492.brewery_name,Butterunts Beer and Ale,Butternuts Beer and Ale
2270.city,Santaf Cruz,Santa Cruz
739.brewery_name,Dry Dock Brrewing Company,Dry Dock Brewing Company
536.brewery_id,408,192
1299.brewery_id,299***,299
1390.state,A,CA
2058.state,N,IN
233.brewery_id,408,278
1392.state,AC,CA
1387.state,CoA,CA
393.brewery_name,Brewerty Vivant,Brewery Vivant
107.state,CgA,CA
2258.state,T,UT
526.brewery_id,408,230
1712.city,Denvemr,Denver
519.brewery_id,408,178
665.state,lID,ID
1851.state,CtA,CA
1942.city,Sotuh Austin,South Austin
1957.brewery_id,18,118
244.brewery_id,408,477
1071.brewery_id,w395,395
688.city,Washiyngton,Washington
251.brewery_id,408,519
391.brewery_name,Brewery Vviant,Brewery Vivant
2337.state,iKY,KY
