413.city,Grand apids,Grand Rapids
1275.state,M,NM
1404.state,O,MO
903.state,A,CA
116.state,CpA,CA
1996.state,I,WI
418.brewery_name,Brewer yVivant,Brewery Vivant
418.city,Gran Rapids,Grand Rapids
35.brewery_name,21st Amndment Brewery,21st Amendment Brewery
119.state,nCA,CA
2387.city,eMmphis,Memphis
414.city,Grnd Rapids,Grand Rapids
113.state,CrA,CA
396.brewery_name,uBrewery Vivant,Brewery Vivant
395.brewery_name,Brewhery Vivant,Brewery Vivant
2185.brewery_name,Thunderhead Brewinig Company,Thunderhead Brewing Company
712.city,Denvre,Denver
736.state,A,MA
2246.brewery_name,Two Henrys Brewig Company,Two Henrys Brewing Company
436.city,Grand Rapizds,Grand Rapids
2227.city,Settle,Seattle
2264.brewery_name,Uncle John's Fruit Housej Winery,Uncle John's Fruit House Winery
394.brewery_name,Brewery iVvant,Brewery Vivant
578.state,CeA,CA
1983.city,Glenale,Glendale
1557.city,Longmonet,Longmont
1308.state,IH,HI
425.brewery_name,Brewery Vivnt,Brewery Vivant
1835.brewery_name,Seventh Son Brewing bCompany,Seventh Son Brewing Company
894.state,oCA,CA
1387.state,A,CA
426.city,Graned Rapids,Grand Rapids
1729.state,H,OH
410.brewery_name,Brewery Vvant,Brewery Vivant
454.brewery_name,Broken Tooth Brewing Copany,Broken Tooth Brewing Company
59.state,WyA,WA
1709.state,O,CO
432.brewery_name,Breweyr Vivant,Brewery Vivant
895.state,A,CA
422.city,Grand Raipds,Grand Rapids
880.city,eattle,Seattle
1646.city,Monumetn,Monument
407.city,Grand Rjapids,Grand Rapids
429.city,GrandRapids,Grand Rapids
415.city,Gradn Rapids,Grand Rapids
2353.brewery_name,White Birch Brezwing,White Birch Brewing
892.state,AC,CA
403.brewery_name,Brewery Vivnt,Brewery Vivant
1790.state,Z,AZ
405.city,Grand Rpaids,Grand Rapids
431.brewery_name,Brewdery Vivant,Brewery Vivant
1223.city,Brdigewater Corners,Bridgewater Corners
419.brewery_name,Breweray Vivant,Brewery Vivant
253.brewery_name,Big Sky Brewng Company,Big Sky Brewing Company
422.brewery_name,Brewery Vivagnt,Brewery Vivant
117.state,AC,CA
1391.state,A,CA
427.city,Grand aRpids,Grand Rapids
435.city,Gramnd Rapids,Grand Rapids
1068.city,Springfiedl,Springfield
1148.state,XT,TX
1342.state,lIL,IL
981.brewery_name,Greenbrier Vballey Brewing Company,Greenbrier Valley Brewing Company
656.state,O,CO
1721.state,L,IL
1280.brewery_name,Marshall Wharf Brewing Copany,Marshall Wharf Brewing Company
409.city,Gand Rapids,Grand Rapids
