852.journal_issn,ULL,NULL
357.journal_issn,1873-5h126,1873-5126
243.journal_issn,244-6055,2044-6055
954.journal_issn,1746-5497,1476-5497
699.jounral_abbreviation,NeULL,NULL
75.journal_title,Indian Journal of Patholgy and Microbiology,Indian Journal of Pathology and Microbiology
357.jounral_abbreviation,kParkinsonism Relat. Disord.,Parkinsonism Relat. Disord.
249.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Gene
313.jounral_abbreviation,Eur. nJ. Appl. Physiol.,Eur. J. Appl. Physiol.
868.journal_title,Cancer chemotehrapy and pharmacology,Cancer chemotherapy and pharmacology
140.journal_issn,ULL,NULL
458.journal_title,International urogynecoloyg journal,International urogynecology journal
296.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Tumour Biol.
773.journal_title,Journal of the National aCncer Institute,Journal of the National Cancer Institute
428.journal_title,Anadolu kardiyoloji dergisi : AKD = the Anatolian journal of cadriology,Anadolu kardiyoloji dergisi : AKD = the Anatolian journal of cardiology
176.journal_issn,0035-9157 (Print) 0035-9157,0077-8923
924.jounral_abbreviation,kNULL,NULL
295.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
309.journal_issn,0c017-5749,0017-5749
697.jounral_abbreviation,Journal of aanlytical toxicology,Journal of analytical toxicology
493.journal_title,Knee surgery, sports traumatology, arthroscopy : official journal of the EpSSKA,Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA
607.journal_title,hPysical therapy,Physical therapy
923.journal_title,Europea respiratory journal,European respiratory journal
175.journal_issn,0035-9157 (Print) 0035-9157,0362-2436
95.journal_issn,10q88-0224,1088-0224
36.journal_title,Vulnerable Children and Youth Studes,Vulnerable Children and Youth Studies
248.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Rev Bras Ter Intensiva
801.journal_title,Journal of the National Cancer Instiutte,Journal of the National Cancer Institute
28.journal_issn,NsULL,NULL
