753.journal_issn,ULL,NULL
11.journal_title,Transportation Research Part D-aTransport and Environment,Transportation Research Part D-Transport and Environment
148.journal_title,Eur J Gen Pratc,Eur J Gen Pract
797.journal_title,ULL,NULL
470.jounral_abbreviation,NLUL,NULL
39.journal_title,Health Facilitie sManagement,Health Facilities Management
638.journal_issn,0390-078,0390-6078
746.journal_title,irculation,Circulation
325.jounral_abbreviation,ULL,NULL
487.jounral_abbreviation,Physitherapy,Physiotherapy
32.journal_title,Eur. Hear tJ.,Eur. Heart J.
296.journal_title,Proc R Soc Med,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
303.journal_title,Proc R Soc Med,J Orthop Sci
248.journal_issn,0035-9157 (Print) 0035-9157,1982-4335
250.journal_issn,0035-9157 (Print) 0035-9157,1088-0224
9.journal_issn,138-54046,1385-4046
328.jounral_abbreviation,NLUL,NULL
230.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
669.journal_issn,1757-1662,1757-1626
225.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
700.journal_issn,UNLL,NULL
28.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
849.journal_title,Ann Rheum Ds,Ann Rheum Dis
877.jounral_abbreviation,ULL,NULL
398.journal_title,Anesthesia And Analgeisa,Anesthesia And Analgesia
808.journal_title,zCardiology in the young,Cardiology in the young
448.journal_title,Conference proceedings : ... Annual International Conference of th eIEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference,Conference proceedings : ... Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Conference
672.journal_title,NLL,NULL
858.journal_title,Circulatioon,Circulation
785.journal_issn,1592-730,1592-7830
839.journal_title,Shock (Augusta, Gpa.),Shock (Augusta, Ga.)
993.journal_issn,14230380,1423-0380
599.journal_issn,NtULL,NULL
226.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
246.journal_issn,0035-9157 (Print) 0035-9157,NULL
399.journal_title,Int.e J.  Pharmcy Pharm. Sci.,Int. J.  Pharmcy Pharm. Sci.
109.journal_title,Current opinion in pharmagcology,Current opinion in pharmacology
705.journal_issn,2341-6141,2314-6141
244.journal_issn,0035-9157 (Print) 0035-9157,1873-1465
863.journal_title,Prediccion de la masa muscular apendicularesqueletica basado en mediciones antropometricas en Adultos Mayores Chilenos.,Prediccion de la masa muscular apendicular esqueletica basado en mediciones antropometricas en Adultos Mayores Chilenos.
373.journal_issn,0301-42a15,0301-4215
304.journal_title,Proc R Soc Med,NULL
29.journal_issn,19326203,1932-6203
19.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
770.journal_issn,n1932-6203,1932-6203
112.journal_issn,20g44-6055,2044-6055
232.jounral_abbreviation,Proceedings of the Royal Society of Medicine,J. Hosp. Infect.
61.journal_title,Journxal of geriatric oncology,Journal of geriatric oncology
985.jounral_abbreviation,Biol.Blood Marrow Trasnplant.,Biol.Blood Marrow Transplant.
25.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
954.journal_title,nternational journal of obesity (2005),International journal of obesity (2005)
252.journal_issn,0035-9157 (Print) 0035-9157,1049-2089
428.journal_title,Anadolu kardyoloji dergisi : AKD = the Anatolian journal of cardiology,Anadolu kardiyoloji dergisi : AKD = the Anatolian journal of cardiology
228.jounral_abbreviation,Proceedings of the Royal Society of Medicine,NULL
305.journal_title,Proc R Soc Med,Rev Med Chir Soc Med Nat Iasi
980.journal_title,Endocrinolgy,Endocrinology
685.jounral_abbreviation,NxULL,NULL
928.journal_issn,NLL,NULL
664.journal_title,PLoS Odne,PLoS One
657.journal_issn,1460-2b385,1460-2385
546.journal_issn,462-0324,1462-0324
503.journal_title,Journa of Women & Aging,Journal of Women & Aging
832.journal_title,pCANCER,CANCER
739.jounral_abbreviation,NUlLL,NULL
23.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Cardiovasc Intervent Radiol
357.journal_issn,187-35126,1873-5126
261.jounral_abbreviation,NULL***,NULL
376.journal_issn,172-6390,0172-6390
27.jounral_abbreviation,Proceedings of the Royal Society of Medicine,J Clin Psychiatry
910.journal_issn,1097-042,1097-0142
532.journal_issn,1095-203,1095-9203
243.journal_title,BMJ Opne,BMJ Open
991.journal_issn,eb-65,Feb-65
57.journal_title,Journal o clinical anesthesia,Journal of clinical anesthesia
24.jounral_abbreviation,Proceedings of the Royal Society of Medicine,J. Clin. Oncol.
299.journal_title,Proc R Soc Med,NULL
853.journal_title,Cicrulation,Circulation
227.jounral_abbreviation,Proceedings of the Royal Society of Medicine,Endocrinology
