907.journal_title,ProQuest LLuC,ProQuest LLC
959.journal_title,nnals of internal medicine,Annals of internal medicine
822.journal_title,Obesity (Silver Sdpring, Md.),Obesity (Silver Spring, Md.)
606.journal_issn,NULL***,NULL
657.journal_issn,14t60-2385,1460-2385
931.journal_issn,18728243,1872-8243
309.journal_issn,00175749,0017-5749
959.journal_issn,1539-3740,1539-3704
932.journal_title,Journal of clinical oncology : official journa lof the American Society of Clinical Oncology,Journal of clinical oncology : official journal of the American Society of Clinical Oncology
968.journal_issn,1049-289,1049-2089
257.journal_issn,1672-073e3,1672-0733
273.journal_title,The Brivtish Journal of Psychiatry,The British Journal of Psychiatry
354.journal_title,Bumc Cancer,Bmc Cancer
811.journal_title,ULL,NULL
993.journal_issn,142-0380,1423-0380
232.journal_issn,0035-9157 (Print) 0035-9157,1532-2939
398.journal_issn,1n526-7598,1526-7598
705.journal_title,BioMed research interntaional,BioMed research international
336.journal_title,Cyardiol Young,Cardiol Young
487.journal_title,Pysiotherapy,Physiotherapy
231.journal_issn,0035-9157 (Print) 0035-9157,87567555
271.journal_title,Curr. Probl. Cajrdiol.,Curr. Probl. Cardiol.
993.journal_title,Tumour bioloy : the journal of the International Society for Oncodevelopmental Biology and Medicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
28.journal_title,Metabolism: Culinical and Experimental,Metabolism: Clinical and Experimental
801.journal_title,Journaul of the National Cancer Institute,Journal of the National Cancer Institute
309.journal_title,ut,Gut
889.journal_title,PLo One,PLoS One
235.journal_issn,0035-9157 (Print) 0035-9157,1466-187X
234.journal_issn,0035-9157 (Print) 0035-9157,0002-9378 (Print) 0002-9378
984.journal_issn,eFb-65,Feb-65
849.journal_title,Ann RheumD is,Ann Rheum Dis
808.journal_title,ardiology in the young,Cardiology in the young
233.journal_issn,0035-9157 (Print) 0035-9157,1532-1916
91.journal_title,J Cardiovasc Med (Hagerystown),J Cardiovasc Med (Hagerstown)
915.journal_title,Psycho-oncoolgy,Psycho-oncology
921.journal_issn,0t391-5387,0391-5387
888.journal_issn,122-726X,1522-726X
562.journal_issn,1981s-8963,1981-8963
320.journal_issn,1467-1o107,1467-1107
798.journal_issn,0363-523,0363-5023
991.journal_title,Am J lin Nutr,Am J Clin Nutr
953.journal_title,NLL,NULL
431.journal_issn,0377-208eX,0377-208X
796.journal_title,Journal of clinical epidemioolgy,Journal of clinical epidemiology
657.journal_title,Nephrology, dialysis, transplantation : offcial publication of the European Dialysis and Transplant Association - European Renal Association,Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association
975.journal_title,Squrgical infections,Surgical infections
984.journal_title,Am J Cli nNutr,Am J Clin Nutr
770.journal_issn,19d32-6203,1932-6203
925.journal_issn,1365-236,1365-2346
188.journal_issn,1078-679z1,1078-6791
