532.journal_issn,,1095-9203
287.journal_issn,0035-9157 (Print) 0035-9157,1754-9485
664.journal_issn,,1932-6203
651.journal_title,Journal of Aging & Physical Activty,Journal of Aging & Physical Activity
991.journal_issn,,Feb-65
387.journal_title,NLUL,NULL
770.journal_issn,,1932-6203
984.journal_issn,,Feb-65
546.journal_issn,,1462-0324
14.journal_title,Heart Rlhythm,Heart Rhythm
773.journal_issn,,1460-2105
153.journal_title,Proc R Soc Med,Euthanasie en andere medische beslissingen rond het levenseinde, 1990-1995
888.journal_title,Catheterization and cardiovascular interventions : official jornal of the Society for Cardiac Angiography & Interventions,Catheterization and cardiovascular interventions : official journal of the Society for Cardiac Angiography & Interventions
664.journal_title,PLoSOne,PLoS One
414.journal_issn,,NULL
475.journal_title,Korean Journal of Anesthesilogy,Korean Journal of Anesthesiology
285.journal_issn,0035-9157 (Print) 0035-9157,NULL
493.journal_issn,,1433-7347
286.journal_issn,0035-9157 (Print) 0035-9157,NULL
822.journal_title,Obesity (Silver Spruing, Md.),Obesity (Silver Spring, Md.)
618.journal_issn,,NULL
417.journal_issn,,1569-8041
716.journal_issn,,1885-642X
155.journal_title,Proc R Soc Med,American Journal of Acupuncture
745.journal_issn,,0301-5149
246.journal_title,NLL,NULL
889.journal_issn,,1932-6203
705.journal_title,BioMed rcesearch international,BioMed research international
762.journal_issn,,1042-8194
801.journal_issn,,1460-2105
855.journal_title,Respiration; international review of throacic diseases,Respiration; international review of thoracic diseases
408.journal_issn,,1878-0539
808.journal_title,Cardiology int he young,Cardiology in the young
652.journal_issn,,1527-3350
911.journal_issn,,0027-8424
954.journal_title,International journal of obesitcy (2005),International journal of obesity (2005)
416.journal_issn,,1097-0142
853.journal_title,Criculation,Circulation
154.journal_title,Proc R Soc Med,NULL
141.journal_issn,,NULL
596.journal_title,J Orthpo Sci,J Orthop Sci
993.journal_title,Tumour biology : the journal of the International Society for Oncodevelopmental Biologya nd Medicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
