2411.childexemp,w0,0
290.phone,222-8737,411-7553
107140.singleexemp,g0,0
199852.childexemp,,0
23813.state,NV,MA
24538.state,NV,MS
7851.phone,222-8737,851-5954
23443.state,NV,FL
77721.maritalstatus,M,S
189520.state,Y,WY
57266.maritalstatus,M,S
56278.state,NJ,TN
153991.haschild,N,Y
160084.childexemp,m0,0
37425.state,AR,GA
55553.state,NJ,MO
66826.maritalstatus,M,S
94931.phone,250-3500,863-5101
95547.phone,250-3500,721-7161
3640.maritalstatus,M,S
171638.state,KA,AK
122594.state,K,AK
10967.phone,250-3500,162-4963
196108.childexemp,***,0
25630.phone,250-3500,605-8221
34465.phone,250-3500,238-7886
21136.phone,222-8737,218-9927
17519.maritalstatus,M,S
36937.state,AR,VT
15363.phone,222-8737,829-8154
37794.state,AR,NC
197874.state,AfK,AK
37819.state,AR,KS
87508.haschild,N,Y
22955.state,NV,CT
94262.haschild,N,Y
37212.state,AR,MI
85450.singleexemp,,0
44848.state,IR,RI
23286.state,NV,WV
55710.state,NJ,MT
129123.singleexemp,x0,0
48219.maritalstatus,M,S
26679.phone,222-8737,243-2918
128219.city,ALLAMUHCY,ALLAMUCHY
98123.singleexemp,***,0
77736.city,ALOKL,ALKOL
186592.state,AqK,AK
37031.state,AR,SC
27505.childexemp,t0,0
145095.state,AlK,AK
23600.state,NV,MD
37638.state,AR,HI
173561.state,K,AK
127077.phone,250-3500,303-1499
38495.state,AR,WV
119157.state,D,SD
37770.state,AR,IL
38652.state,AR,IA
81931.haschild,N,Y
83566.city,ABUQUERQUE,ALBUQUERQUE
10638.phone,222-8737,407-6320
38593.singleexemp,c0,0
22979.state,NV,MA
184720.phone,248-3182,385-5471
55372.state,NJ,MN
17607.phone,222-8737,912-5838
65353.singleexemp,g0,0
38471.state,AR,OH
20813.phone,222-8737,279-6224
24301.state,NV,MS
149573.childexemp,,0
24144.state,NV,DE
149650.haschild,N,Y
198424.maritalstatus,S,M
57725.city,ALBUQERQUE,ALBUQUERQUE
98151.singleexemp,,0
103030.haschild,N,Y
136312.city,ALBIOaN,ALBION
179434.phone,248-3182,867-3433
12663.maritalstatus,M,S
147818.haschild,N,Y
134417.state,K,AK
58256.phone,250-3500,192-8136
156259.phone,248-3182,933-8717
55979.state,NJ,MA
176489.city,ALLcENHURST,ALLENHURST
56089.state,NJ,HI
55364.state,NJ,SC
56459.state,NJ,AK
175368.state,K,AK
74040.phone,250-3500,391-7921
143503.childexemp,c0,0
104219.city,AgLBION,ALBION
68776.singleexemp,***,0
25592.state,IR,RI
37236.state,AR,PA
53351.singleexemp,,0
186644.state,AjK,AK
56222.state,NJ,TN
145132.state,IR,RI
149105.childexemp,z0,0
25493.maritalstatus,M,S
67960.phone,250-3500,830-3783
3238.phone,222-8737,620-8889
56813.state,NJ,OH
162056.city,ALEXANDRAI,ALEXANDRIA
32509.maritalstatus,M,S
56591.state,NJ,ND
89246.state,IR,RI
24333.state,NV,NJ
131149.state,K,AK
38315.state,AR,SC
124703.singleexemp,,0
24120.state,NV,OH
12744.phone,222-8737,995-4609
56837.state,NJ,WA
61516.maritalstatus,M,S
143224.childexemp,***,0
30821.state,Y,WY
21497.phone,222-8737,132-1691
99315.state,KA,AK
24694.state,NV,PA
12738.maritalstatus,M,S
80918.city,ALBUQUERcQUE,ALBUQUERQUE
116666.singleexemp,,0
122017.singleexemp,***,0
37392.state,AR,WA
37827.state,AR,DE
39645.maritalstatus,M,S
27518.city,ALGODOES,ALGODONES
168851.haschild,N,Y
174641.state,AoK,AK
55340.state,NJ,RI
33986.singleexemp,,0
36969.state,AR,MD
55208.state,NJ,NY
55758.state,NJ,AK
22931.state,NV,OH
23656.state,NV,DC
56065.state,NJ,SD
162363.childexemp,***,0
16620.maritalstatus,M,S
55890.state,NJ,ID
61576.state,KA,AK
37417.state,AR,NY
37983.state,AR,MT
115147.state,KA,AK
171912.childexemp,***,0
122538.haschild,N,Y
130550.singleexemp,,0
23632.state,NV,AL
56041.state,NJ,UT
5830.childexemp,***,0
10197.city,ABLION,ALBION
24357.state,NV,ME
162816.haschild,N,Y
70747.state,KA,AK
45198.singleexemp,h0,0
26185.phone,250-3500,418-1537
5473.phone,222-8737,510-4092
42078.maritalstatus,M,S
143559.childexemp,***,0
7921.childexemp,v0,0
32059.city,qALLEN,ALLEN
123546.city,ALBUQUERQbUE,ALBUQUERQUE
113542.state,jAK,AK
55429.state,NJ,SD
24662.state,NV,MD
76334.singleexemp,u0,0
149709.city,ALBINO,ALBION
129389.phone,250-3500,741-7364
25871.childexemp,***,0
56772.state,NJ,RI
122666.city,fALLEN,ALLEN
127637.singleexemp,,0
63042.state,K,AK
150941.haschild,N,Y
23065.state,NV,GA
83261.haschild,N,Y
5576.phone,222-8737,375-6661
23829.state,NV,NC
56695.singleexemp,***,0
23821.state,NV,AL
7893.phone,222-8737,125-2705
56656.state,NJ,MD
90153.haschild,N,Y
22303.childexemp,a0,0
38158.state,AR,NE
11004.childexemp,***,0
24759.state,NV,OH
174784.childexemp,***,0
79641.maritalstatus,M,S
175656.childexemp,***,0
173206.childexemp,,0
38620.state,AR,WA
136723.haschild,N,Y
36237.state,I,RI
32827.state,KA,AK
169865.state,DS,SD
74866.singleexemp,o0,0
125209.state,oWY,WY
159869.state,KA,AK
38660.state,AR,FL
185193.phone,248-3182,888-7289
17793.state,I,RI
19605.phone,222-8737,379-8279
194216.state,DS,SD
32305.childexemp,***,0
94590.maritalstatus,M,S
39927.state,K,AK
17731.maritalstatus,M,S
141252.childexemp,***,0
49011.state,K,AK
91857.maritalstatus,M,S
25403.state,I,RI
59050.singleexemp,b0,0
114698.singleexemp,***,0
14660.phone,222-8737,234-5213
23270.state,NV,VA
56427.state,NJ,CT
124053.haschild,N,Y
70109.maritalstatus,M,S
24136.state,NV,SC
37622.state,AR,HI
21932.state,Y,WY
114098.phone,250-3500,478-1138
53466.state,gAK,AK
177460.city,ALCOVvE,ALCOVE
43273.singleexemp,,0
55726.state,NJ,PR
55569.state,NJ,OR
142768.city,LGOMA,ALGOMA
150345.state,eSD,SD
169245.city,ABLURGH,ALBURGH
99406.haschild,N,Y
122294.city,LBUQUERQUE,ALBUQUERQUE
65031.state,KA,AK
54120.state,Y,WY
37457.state,AR,NC
23435.state,NV,PA
107220.state,KA,AK
23876.childexemp,,0
13508.phone,222-8737,162-6649
27197.phone,222-8737,734-8200
24041.childexemp,a0,0
94819.singleexemp,,0
44976.singleexemp,***,0
26064.singleexemp,p0,0
38692.state,AR,WI
47427.state,K,AK
7656.phone,222-8737,840-4205
38323.state,AR,FL
100989.state,K,AK
53875.singleexemp,***,0
24838.city,ALIBON,ALBION
166726.state,KA,AK
8536.state,eWY,WY
193222.childexemp,***,0
63307.singleexemp,,0
117133.state,AoK,AK
94195.haschild,N,Y
142438.haschild,N,Y
639.phone,222-8737,608-8576
82460.state,K,AK
145323.state,K,AK
24727.state,NV,NJ
65277.city,ALuCESTER,ALCESTER
167186.childexemp,***,0
145722.city,AgLBERT LEA,ALBERT LEA
47531.phone,250-3500,561-7496
134831.state,K,AK
39312.phone,250-3500,113-9224
22995.state,NV,PR
156504.childexemp,h0,0
180584.haschild,N,Y
37951.state,AR,NY
86466.state,K,AK
110518.phone,250-3500,545-9134
84329.singleexemp,***,0
71703.state,K,AK
56230.state,NJ,WI
145365.phone,248-3182,269-6561
56073.state,NJ,KS
56821.state,NJ,NV
177963.haschild,N,Y
140771.haschild,N,Y
37268.state,AR,OH
86522.maritalstatus,M,S
23961.state,NV,WV
199070.childexemp,,0
139845.childexemp,***,0
30915.state,eRI,RI
17830.state,IR,RI
88888.maritalstatus,M,S
194615.childexemp,s0,0
82799.state,K,AK
62702.singleexemp,,0
37999.state,AR,NY
121968.city,ALBUQUERUE,ALBUQUERQUE
172125.phone,248-3182,718-1966
132919.childexemp,,0
100884.city,ALjLAMUCHY,ALLAMUCHY
32551.city,LABUQUERQUE,ALBUQUERQUE
56370.state,NJ,OK
10097.maritalstatus,M,S
55035.state,NJ,OH
61683.maritalstatus,M,S
142798.city,ALBUQUERUQE,ALBUQUERQUE
37063.state,AR,KS
92540.singleexemp,o0,0
38717.state,AR,SC
156943.city,ALEANDRIA,ALEXANDRIA
166607.childexemp,,0
28191.singleexemp,k0,0
81821.state,K,AK
36953.state,AR,KS
81547.haschild,N,Y
121089.state,K,AK
29207.city,ALORN,ALBORN
82529.singleexemp,,0
55766.state,NJ,CO
124117.state,Y,WY
30685.city,AaLBANY,ALBANY
101651.singleexemp,i0,0
46857.state,D,SD
56877.state,NJ,RI
82451.singleexemp,***,0
22839.state,NV,VT
25209.phone,222-8737,656-6155
14562.phone,250-3500,233-4625
24560.childexemp,***,0
180734.childexemp,,0
32357.state,DS,SD
19307.phone,222-8737,244-7276
56049.state,NJ,MD
67121.city,LBUQUERQUE,ALBUQUERQUE
38749.state,AR,OK
44356.singleexemp,***,0
111528.state,KA,AK
184886.state,zAK,AK
194358.childexemp,,0
144854.childexemp,***,0
24397.state,NV,TN
23672.state,NV,PA
163566.haschild,N,Y
45449.maritalstatus,M,S
171123.childexemp,a0,0
168411.childexemp,v0,0
54442.state,oAK,AK
142651.city,LIX,ALIX
159557.childexemp,j0,0
17377.phone,222-8737,987-8056
177341.childexemp,c0,0
39232.state,YW,WY
55300.state,NJ,OK
153009.childexemp,***,0
24933.phone,222-8737,581-1499
56419.state,NJ,HI
116398.state,SoD,SD
55200.state,NJ,MT
180103.childexemp,s0,0
23309.state,yAK,AK
24028.state,NV,KY
