29738.state,AjK,AK
21399.state,WsV,WV
45550.gender,eF,F
42672.childexemp,***,0
24152.state,K,AK
3917.state,DqC,DC
13525.state,AM,MA
24687.state,nAK,AK
15824.singleexemp,1300***,1300
46759.marriedexemp,q0,0
22705.gender,nM,M
26736.singleexemp,33b00,3300
34747.state,K,AK
16059.state,Y,NY
18664.city,STOCKETT***,STOCKETT
46385.childexemp,10i00,1000
15005.city,SCHENECTAY,SCHENECTADY
15154.state,KA,AK
15871.childexemp,,0
39145.singleexemp,,0
45231.state,J,NJ
38207.state,K,AK
46181.singleexemp,p0,0
44265.childexemp,z0,0
27161.singleexemp,e0,0
6808.marriedexemp,,0
49309.childexemp,,0
36504.gender,,F
46473.singleexemp,***,0
28535.marriedexemp,***,0
1339.state,CD,DC
4454.childexemp,y0,0
38067.marriedexemp,***,0
45069.marriedexemp,,0
28938.city,LBAIR,BLAIR
34324.singleexemp,***,0
5761.state,AlK,AK
31643.marriedexemp,,0
3818.state,CD,DC
25877.state,C,DC
983.state,CD,DC
26195.marriedexemp,d0,0
31917.singleexemp,,0
36257.marriedexemp,,0
37815.singleexemp,***,0
38216.gender,hM,M
43015.state,A,IA
8889.state,A,PA
12669.gender,***,F
47502.singleexemp,,0
18742.city,BIRMINGHMA,BIRMINGHAM
20745.marriedexemp,,0
25033.state,fAK,AK
5465.city,DENALI NAITONAL PARK,DENALI NATIONAL PARK
44923.city,ILLINGS,BILLINGS
35036.state,AlK,AK
16023.city,BIRMINGHpAM,BIRMINGHAM
39785.singleexemp,***,0
34407.marriedexemp,,0
1376.state,C,DC
7452.gender,***,M
46212.city,AALMO,ALAMO
6277.singleexemp,,0
14386.singleexemp,t0,0
40532.singleexemp,***,0
41756.childexemp,3x300,3300
43527.childexemp,***,0
32706.state,NkJ,NJ
22115.gender,,F
4742.singleexemp,d0,0
14265.singleexemp,***,0
49190.state,AyK,AK
7671.state,fND,ND
14921.singleexemp,,0
804.singleexemp,,0
33832.gender,,F
40123.childexemp,***,0
42767.childexemp,,0
8717.gender,,F
12658.city,SALT LlAKE CITY,SALT LAKE CITY
38019.childexemp,***,0
20243.city,ThULARE,TULARE
6270.city,DUBLN,DUBLIN
41939.marriedexemp,660t0,6600
1187.state,C,DC
42000.city,HARTALND FOUR CORNERS,HARTLAND FOUR CORNERS
49011.state,AlK,AK
7755.city,BIOLXI,BILOXI
31730.city,BIRMINGAM,BIRMINGHAM
18500.childexemp,v0,0
46762.state,EM,ME
47161.childexemp,,0
11193.marriedexemp,,0
32780.state,NaJ,NJ
42236.singleexemp,,0
48688.city,TOONyE,TOONE
21657.state,JN,NJ
33640.state,NmJ,NJ
16601.state,IjD,ID
33401.marriedexemp,o0,0
12993.city,BIRMINGAHM,BIRMINGHAM
3247.singleexemp,p110,110
20107.singleexemp,,0
27063.singleexemp,u1000,1000
21142.city,BETHmEL,BETHEL
48919.state,eNJ,NJ
31406.city,CHAROL,CHARLO
43643.state,K,AK
7649.city,OLRAIN,COLRAIN
11260.marriedexemp,,0
47161.singleexemp,***,0
23367.city,BEVRLY HILLS,BEVERLY HILLS
18323.gender,***,F
25023.marriedexemp,l0,0
43838.marriedexemp,,0
31361.city,BILLINGoS,BILLINGS
18979.childexemp,m0,0
37693.gender,***,F
30454.singleexemp,d0,0
34949.gender,***,M
42896.childexemp,,0
33727.state,CwT,CT
7304.city,BG PINEY,BIG PINEY
38903.singleexemp,f0,0
25436.state,KA,AK
3416.state,CD,DC
43547.marriedexemp,,0
15368.marriedexemp,g0,0
33752.city,BLILINGSLEY,BILLINGSLEY
23114.city,dBELLINGHAM,BELLINGHAM
26525.city,BLACK CANYON CIYT,BLACK CANYON CITY
35392.state,DS,SD
21634.marriedexemp,***,0
27654.city,NEW YOK,NEW YORK
29316.singleexemp,2d0,20
39029.gender,,M
27353.marriedexemp,***,0
14915.state,J,NJ
39200.city,INDIHAOMA,INDIAHOMA
11388.gender,kM,M
42812.state,aAK,AK
47394.state,AdK,AK
4063.city,READTSOWN,READSTOWN
40822.gender,mM,M
47281.city,REEDE,CREEDE
15929.state,kNJ,NJ
46977.city,BLAIRSVLILE,BLAIRSVILLE
36531.singleexemp,21y00,2100
7975.childexemp,w0,0
39927.state,K,AK
48500.state,KA,AK
5628.state,DyC,DC
13322.marriedexemp,,0
7149.childexemp,,0
48325.gender,aF,F
32790.state,M,NM
17175.city,IBLOXI,BILOXI
4355.gender,,F
34091.city,BOCA ARTON,BOCA RATON
535.marriedexemp,6d600,6600
36155.city,BLACKSTNOE,BLACKSTONE
35559.singleexemp,***,0
22978.state,mNJ,NJ
18034.marriedexemp,,0
29735.city,SCOEBY,SCOBEY
20017.marriedexemp,h2740,2740
44571.marriedexemp,n4500,4500
25996.marriedexemp,***,0
5352.childexemp,***,0
37848.gender,hM,M
9230.singleexemp,,0
20586.city,IBSCOE,BISCOE
35580.gender,,F
36713.marriedexemp,,0
33264.childexemp,***,0
9768.state,SK,KS
14810.singleexemp,***,0
70.state,C,DC
35790.gender,sF,F
14805.marriedexemp,66n00,6600
31834.singleexemp,,0
16631.singleexemp,***,0
16570.state,YK,KY
19366.city,WAGNEER,WAGENER
40693.gender,,F
34033.state,D,ND
9514.singleexemp,u0,0
17615.city,BIRMINGAHM,BIRMINGHAM
43729.state,D,ND
17371.gender,***,M
5195.state,CD,DC
23085.marriedexemp,950,4950
12532.city,NORMADNY,NORMANDY
1169.state,C,DC
18403.singleexemp,***,0
36519.state,KA,AK
30515.marriedexemp,,0
10433.childexemp,u0,0
28227.childexemp,t0,0
47537.state,E,DE
45498.city,MAGNOILA,MAGNOLIA
28823.city,HERmRIMAN,HERRIMAN
24116.city,BLACKBSURG,BLACKSBURG
28903.childexemp,***,0
34310.state,K,AK
11122.city,BIG BYA,BIG BAY
8158.gender,yF,F
40684.state,DN,ND
31407.state,KA,AK
36791.marriedexemp,***,0
31122.singleexemp,***,0
38136.childexemp,03,103
19741.marriedexemp,f0,0
43787.city,BLACK CANYON ITY,BLACK CANYON CITY
17670.gender,***,F
36778.singleexemp,s0,0
46706.marriedexemp,,0
16660.gender,***,M
12897.gender,kF,F
15182.childexemp,q0,0
43932.state,iNJ,NJ
40807.singleexemp,d0,0
33800.singleexemp,***,0
5127.state,C,DC
21667.singleexemp,***,0
4925.marriedexemp,,0
49182.singleexemp,,0
33126.city,BETHNUE,BETHUNE
48239.marriedexemp,,0
44245.marriedexemp,***,0
38958.city,CHAMLPAIN,CHAMPLAIN
24401.city,BIG KY,BIG SKY
1660.state,O,CO
554.state,Y,WY
49262.city,BILLERIoCA,BILLERICA
31915.singleexemp,e0,0
5865.marriedexemp,l0,0
22441.marriedexemp,***,0
35804.city,MONTELIER,MONTPELIER
4938.childexemp,200,1200
8764.state,rNJ,NJ
9183.state,J,NJ
7204.state,JN,NJ
22568.marriedexemp,,0
32827.state,lAK,AK
41774.city,SAN LUS,SAN LUIS
1532.singleexemp,t0,0
49050.marriedexemp,g0,0
48308.marriedexemp,4000***,4000
43368.childexemp,***,0
44882.city,BETEL,BETHEL
12756.state,JN,NJ
2325.state,C,DC
47306.state,AiK,AK
28153.marriedexemp,66w00,6600
28504.singleexemp,,0
13242.state,T,CT
46606.gender,vM,M
9980.childexemp,,0
8341.singleexemp,***,0
28881.marriedexemp,,0
34050.state,gAK,AK
21482.city,IGFORK,BIGFORK
18281.marriedexemp,,0
13728.state,dNJ,NJ
42885.gender,tF,F
34293.state,LF,FL
39302.city,NEWPOT,NEWPORT
37950.childexemp,245,2475
44366.city,BIRMINGHMA,BIRMINGHAM
49791.state,KA,AK
38977.state,KA,AK
24052.gender,***,F
16099.marriedexemp,m0,0
24646.city,NORT KINGSTOWN,NORTH KINGSTOWN
6157.state,DcC,DC
29417.state,IM,MI
3047.state,DvC,DC
29362.childexemp,***,0
