39135.childexemp,s0,0
16072.singleexemp,,0
49272.state,DnC,DC
28600.marriedexemp,660j0,6600
14961.childexemp,t0,0
46597.marriedexemp,24j500,24500
40904.city,EBRINO,BERINO
27955.state,C,DC
25976.marriedexemp,45o00,4500
19121.gender,***,F
31557.state,DfC,DC
5539.gender,***,M
871.childexemp,20a00,2000
25175.gender,,F
14716.marriedexemp,,0
44382.state,HO,OH
35998.childexemp,3300***,3300
41520.state,C,DC
36955.childexemp,***,0
27952.state,AW,WA
12408.gender,***,F
47901.singleexemp,***,0
15388.city,BvATH,BATH
48069.childexemp,***,0
41602.gender,,F
10376.singleexemp,***,0
16923.singleexemp,,0
6013.marriedexemp,24l500,24500
42274.gender,jF,F
13423.state,CD,DC
42980.gender,***,F
983.state,CD,DC
32829.state,kDC,DC
16259.city,jPHILADELPHIA,PHILADELPHIA
14788.gender,oF,F
40516.singleexemp,***,0
38339.marriedexemp,2h600,2600
30472.city,BLPRE,BELPRE
3250.childexemp,,0
25245.marriedexemp,c0,0
19681.state,NT,TN
36762.singleexemp,,0
38781.state,C,DC
39716.marriedexemp,t3000,3000
9117.city,BARNAD,BARNARD
26687.state,CD,DC
29330.singleexemp,n0,0
46081.city,ELFAIR,BELFAIR
21188.gender,oF,F
35852.childexemp,***,0
33910.city,BAYAMvON,BAYAMON
3745.state,TC,CT
5004.singleexemp,s0,0
9419.gender,,F
18210.city,BILILNGS,BILLINGS
33177.state,DoC,DC
31016.gender,***,F
47580.marriedexemp,202,220
31336.city,iBAYAMON,BAYAMON
40708.marriedexemp,6200,2600
26024.gender,***,M
15200.city,ENWTOWN,NEWTOWN
34626.marriedexemp,p24500,24500
20981.gender,,F
49133.gender,,F
30433.state,A,LA
10339.state,HlI,HI
1363.childexemp,***,0
33960.state,O,MO
27792.city,BAXvTER,BAXTER
44275.singleexemp,g103,103
49043.singleexemp,***,0
32361.childexemp,j0,0
26497.marriedexemp,b0,0
45319.state,C,DC
2723.state,CD,DC
36736.city,BEVERY,BEVERLY
29172.childexemp,***,0
41404.state,C,DC
1815.city,rWARWICK,WARWICK
7276.city,BiAYAMON,BAYAMON
49952.city,EBLFAIR,BELFAIR
35225.gender,hF,F
39721.marriedexemp,202,220
31860.city,BTES,BATES
15225.gender,fF,F
13474.state,Y,NY
49738.childexemp,100,1000
21536.singleexemp,1900***,1900
48713.state,CD,DC
35316.state,CD,DC
15170.city,nCAMPO SECO,CAMPO SECO
45755.city,NATIONAL MNIE,NATIONAL MINE
20488.singleexemp,,0
16704.marriedexemp,27o40,2740
33888.state,KkS,KS
27145.childexemp,2300***,2300
13557.gender,,F
49000.state,C,DC
6088.childexemp,100,1500
38809.state,TC,CT
47581.singleexemp,m0,0
5195.state,cDC,DC
45822.state,TC,CT
20033.gender,mF,F
39294.childexemp,2000***,2000
36599.state,CD,DC
38088.marriedexemp,c0,0
4965.gender,***,F
31706.gender,***,F
30843.state,C,DC
36715.state,AV,VA
5835.city,QUEEN REEK,QUEEN CREEK
22283.gender,***,F
25952.gender,***,M
981.state,MN,NM
34894.gender,,M
25427.gender,***,F
27737.state,DbC,DC
4677.city,EAUFORT,BEAUFORT
14321.marriedexemp,24500***,24500
3261.singleexemp,z0,0
42539.city,TnRENTON,TRENTON
39436.city,BEATRIzCE,BEATRICE
47930.marriedexemp,2450,24500
40246.singleexemp,y0,0
9565.singleexemp,k0,0
19781.gender,***,F
4681.childexemp,w0,0
46189.marriedexemp,260,2600
12960.gender,pM,M
29885.city,HONY GROVE,HONEY GROVE
26076.marriedexemp,,0
35236.state,DI,ID
42107.gender,rF,F
31969.gender,***,F
32642.state,Y,WY
31197.gender,,F
21455.city,QUEEN CRErEK,QUEEN CREEK
34700.state,bDC,DC
29130.marriedexemp,2x740,2740
33357.marriedexemp,22s0,220
23482.childexemp,g0,0
11315.state,A,MA
43662.city,BENNInNGTON,BENNINGTON
41193.gender,***,F
20557.singleexemp,,0
35595.city,BETHESAD,BETHESDA
5841.state,IR,RI
6621.city,WAIANAnE,WAIANAE
26902.singleexemp,***,0
39423.marriedexemp,,0
35658.childexemp,,0
20346.marriedexemp,p0,0
30357.marriedexemp,,0
8322.childexemp,,0
33290.state,TC,CT
22395.singleexemp,,0
36512.state,tDC,DC
15547.state,C,DC
18207.gender,aF,F
20112.childexemp,,0
8769.city,WASHINGkTON,WASHINGTON
15409.state,J,NJ
19790.gender,,F
6795.state,DrC,DC
47927.singleexemp,a0,0
43557.marriedexemp,,0
1169.state,C,DC
48967.gender,,F
36321.singleexemp,p0,0
31867.marriedexemp,270,2740
5972.childexemp,,0
31148.childexemp,,0
47985.gender,xF,F
32439.marriedexemp,6600***,6600
34722.city,MC ANDRESW,MC ANDREWS
14071.childexemp,***,0
46639.singleexemp,g3300,3300
27732.gender,,F
46669.singleexemp,***,0
5571.singleexemp,***,0
1818.childexemp,,0
25905.city,BEDFRD,BEDFORD
3999.state,DdC,DC
33351.state,DgC,DC
21072.state,TC,CT
4050.gender,,F
32069.singleexemp,,0
31625.gender,***,F
33691.marriedexemp,2450c0,24500
12188.state,J,NJ
27387.city,MADIOSN,MADISON
7003.city,BEDFOuRD,BEDFORD
36709.state,E,ME
20933.gender,,M
13556.city,BIG vSANDY,BIG SANDY
1160.state,AP,PA
31633.gender,,F
1467.city,fLINGO,LINGO
14406.marriedexemp,24500***,24500
19623.gender,***,F
16743.state,CD,DC
20858.singleexemp,***,0
30500.gender,,F
41050.gender,,M
30856.gender,,F
38308.childexemp,,0
33324.singleexemp,e103,103
20748.marriedexemp,***,0
18873.state,C,DC
37179.marriedexemp,24c500,24500
33819.marriedexemp,740,2740
38269.city,ALTHAM,WALTHAM
48489.marriedexemp,6f600,6600
13889.childexemp,,0
39061.marriedexemp,2a4500,24500
14294.singleexemp,101,110
34358.gender,***,F
43909.singleexemp,q0,0
26966.gender,***,F
22934.singleexemp,***,0
40881.city,BAbSALT,BASALT
27263.childexemp,,0
11725.marriedexemp,600,6600
47886.marriedexemp,274g0,2740
27214.city,GBBON GLADE,GIBBON GLADE
5854.state,mDC,DC
30197.singleexemp,,0
48480.childexemp,,0
26419.singleexemp,s0,0
24853.state,qFL,FL
28742.city,CHATHMA,CHATHAM
50000.marriedexemp,2450i0,24500
21633.state,xDC,DC
9049.marriedexemp,,0
16655.childexemp,***,0
24820.state,VhA,VA
27204.city,GLENOOD,GLENWOOD
15568.state,FlL,FL
21482.city,IGFORK,BIGFORK
16662.marriedexemp,,0
41831.state,iUT,UT
34797.city,REO,RENO
28599.state,CD,DC
46942.gender,iF,F
45218.singleexemp,***,0
26878.marriedexemp,***,0
23502.state,J,NJ
15760.marriedexemp,202,220
29853.gender,yF,F
44553.gender,pF,F
44994.city,FARNHMAVILLE,FARNHAMVILLE
18782.gender,,M
49161.gender,***,F
10960.singleexemp,200,2700
9441.state,DtC,DC
39137.gender,,F
45202.singleexemp,***,0
27745.state,NyJ,NJ
10597.singleexemp,***,0
48020.childexemp,***,0
41106.gender,***,F
19916.state,iOR,OR
15734.city,BLFRY,BELFRY
19567.childexemp,***,0
26511.childexemp,***,0
10990.gender,,F
17999.gender,bF,F
23299.city,BAXTRE,BAXTER
25774.marriedexemp,400,1400
38226.marriedexemp,,0
29532.city,ALeCOVA,ALCOVA
42007.childexemp,,0
6471.state,CD,DC
40497.marriedexemp,740,2740
30997.marriedexemp,600,6600
30188.childexemp,200,2000
49146.city,BwELVUE,BELVUE
49827.marriedexemp,a0,0
44451.marriedexemp,6o600,6600
41047.city,BAbYVIEW,BAYVIEW
47609.childexemp,,0
36710.city,BENKLMAN,BENKELMAN
46411.city,BELMNOT,BELMONT
37975.state,AM,MA
45041.singleexemp,,0
26717.childexemp,***,0
24406.state,CD,DC
16347.childexemp,f20,20
19006.state,LA,AL
43014.city,KINGSPOsRT,KINGSPORT
37142.city,PNOCE,PONCE
25961.marriedexemp,245t00,24500
25086.gender,***,F
6449.gender,nF,F
4737.childexemp,00,900
19745.marriedexemp,l220,220
48960.marriedexemp,m0,0
6212.childexemp,,0
35140.gender,,F
43920.childexemp,,0
31892.singleexemp,***,0
1357.marriedexemp,h0,0
37642.city,EBLMONT,BELMONT
9631.state,C,DC
17840.singleexemp,,0
25649.state,LA,AL
25571.singleexemp,***,0
47750.marriedexemp,24p500,24500
9002.city,ROCKP OINT,ROCK POINT
43906.gender,kF,F
39699.childexemp,,0
36786.state,SvD,SD
38996.state,AnZ,AZ
39156.state,TC,CT
14872.singleexemp,y0,0
2432.gender,pM,M
43396.childexemp,***,0
28204.singleexemp,h0,0
17752.city,BOTSON,BOSTON
24779.city,BAEVER,BEAVER
8322.state,cRI,RI
35893.marriedexemp,***,0
13846.childexemp,,0
40591.gender,,F
2641.gender,***,M
10008.state,qDC,DC
1888.gender,***,M
10969.childexemp,***,0
20037.gender,aF,F
3846.singleexemp,2400***,2400
42723.childexemp,,0
59.state,DS,SD
3236.city,PEIDMONT,PIEDMONT
13519.city,BEeECH CREEK,BEECH CREEK
26557.gender,***,F
21785.marriedexemp,***,0
9975.city,ASTRIA,ASTORIA
31749.city,BETHLE,BETHEL
31583.state,CD,DC
1408.state,uWA,WA
34254.state,DpC,DC
12862.state,OM,MO
49666.singleexemp,***,0
28384.childexemp,a0,0
14844.city,VmALLEY SPRINGS,VALLEY SPRINGS
14583.state,C,DC
14121.marriedexemp,f24500,24500
47718.state,R,AR
30912.city,wBATESVILLE,BATESVILLE
8355.gender,vF,F
26507.city,COB,COBB
14517.singleexemp,0,20
42732.singleexemp,p0,0
35828.marriedexemp,600,6600
29692.state,vDC,DC
32780.state,J,NJ
6310.gender,,F
48384.gender,uF,F
21943.city,SOUTH BND,SOUTH BEND
33877.singleexemp,***,0
43513.city,RANCHOS DE TAbOS,RANCHOS DE TAOS
9976.marriedexemp,z0,0
20611.gender,***,F
23957.marriedexemp,0280,2080
49602.gender,***,F
11231.marriedexemp,04,40
16939.childexemp,s0,0
36660.marriedexemp,200,6200
19173.city,EVERGEREN,EVERGREEN
25455.city,OTTERLAKE,OTTER LAKE
26113.marriedexemp,t0,0
29438.singleexemp,***,0
26130.childexemp,j0,0
20823.state,CwT,CT
36066.state,J,NJ
24384.state,MhO,MO
21366.gender,,F
39129.city,RIPLYE,RIPLEY
44912.marriedexemp,f0,0
45231.state,JN,NJ
48484.marriedexemp,2400,24500
49619.gender,***,M
10903.state,CsT,CT
35306.state,C,DC
32309.childexemp,,0
41119.childexemp,370,1370
16484.state,C,DC
15647.marriedexemp,270,2740
13738.state,YN,NY
7826.gender,lF,F
4322.marriedexemp,***,0
5004.gender,zM,M
14440.childexemp,s0,0
25052.gender,eF,F
48526.childexemp,x0,0
48697.gender,,F
31683.city,WOODoRIDGE,WOODRIDGE
29590.childexemp,***,0
49203.marriedexemp,6600***,6600
36856.city,BETONVILLE,BENTONVILLE
37371.city,DsERMOTT,DERMOTT
46195.city,HAZELTON,HAZLETON
16261.marriedexemp,s0,0
25677.childexemp,,0
45868.gender,mF,F
44699.gender,oF,F
2065.childexemp,225v0,2250
48029.gender,qF,F
45929.childexemp,***,0
40199.city,BATON ROUE,BATON ROUGE
35761.state,T,CT
41293.gender,,F
14915.state,NzJ,NJ
41963.childexemp,,0
36708.gender,uM,M
10831.city,WOODsSTOCK,WOODSTOCK
9396.childexemp,15f00,1500
5967.marriedexemp,800,4800
47502.state,CtT,CT
4487.gender,***,F
13220.childexemp,,0
34886.marriedexemp,***,0
46339.marriedexemp,27p40,2740
24465.city,NEW TOhWN,NEW TOWN
42162.childexemp,,0
34377.singleexemp,200,2000
24603.singleexemp,e0,0
