index,attribute,dirty_value,clean_value
134,article_title, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
16,journal_title,British Journal of Dermatology. ,British Journal of Dermatology.
134,journal_title, BMJ 2006 333:939,BMJ 2006 333:939
144,journal_title,empty,J Hand Surg Br
283,journal_title,Journal of the American Veterinary Mecdical Association,Journal of the American Veterinary Medical Association
294,journal_title,Chin. Mde,Chin. Med
309,journal_title,Gtu,Gut
316,journal_title,empty,Radiology
353,journal_title,NLUL,empty
382,journal_title,empty,Bulletin of mathematical biology
397,journal_title,Minerva cardioangiowlogica,Minerva cardioangiologica
403,journal_title,Supply Chain aMnagement,Supply Chain Management
424,journal_title,m J Perinatol,Am J Perinatol
480,journal_title,empty,Scandinavian cardiovascular journal : SCJ
493,journal_title,Knee surgery sports traumatology arthroscopy : official juornal of the ESSKA,Knee surgery sports traumatology arthroscopy : official journal of the ESSKA
506,journal_title,Scandinavian journal o frheumatology,Scandinavian journal of rheumatology
507,journal_title,Administration and policy in menta lhealth,Administration and policy in mental health
512,journal_title,Journal of Korean Neurosurfgical Society,Journal of Korean Neurosurgical Society
596,journal_title,JOrthop Sci,J Orthop Sci
609,journal_title,Zeitschrift fr Erkrankungen der Atmungsorgane mit olia bronchologica,Zeitschrift fr Erkrankungen der Atmungsorgane mit Folia bronchologica
628,journal_title,Journal of dental kresearch,Journal of dental research
659,journal_title,Stroke; a journal ofc erebral circulation,Stroke; a journal of cerebral circulation
664,journal_title,PLSo One,PLoS One
682,journal_title,empty,Basic and Clinical Pharmacology and Toxicology
698,journal_title,empty,Energy Policy
752,journal_title,empty,Diabetes forecast
785,journal_title,Patologie asbeesto correlate in congiunti di lavoratori del settore cemento-amianto.,Patologie asbesto correlate in congiunti di lavoratori del settore cemento-amianto.
798,journal_title,empty,J Hand Surg Am
801,journal_title,Journal of the Ntaional Cancer Institute,Journal of the National Cancer Institute
858,journal_title,Circlation,Circulation
873,journal_title,empty,The Behavioral and brain sciences
880,journal_title,Academic Medicine: Journal Of Tshe Association Of American Medical Colleges,Academic Medicine: Journal Of The Association Of American Medical Colleges
889,journal_title,LPoS One,PLoS One
892,journal_title,J Hand Srg Am,J Hand Surg Am
916,journal_title,Bioelectromagetics,Bioelectromagnetics
926,journal_title,Functiohnal Neurology,Functional Neurology
959,journal_title,Annals of internal emdicine,Annals of internal medicine
978,journal_title,The Journal of antmiicrobial chemotherapy,The Journal of antimicrobial chemotherapy
980,journal_title,Endocrijnology,Endocrinology
991,journal_title,Am J Ciln Nutr,Am J Clin Nutr
993,journal_title,Tumour biology : the journal of the International Society for Oncodeelopmental Biology and Medicine,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine
8,journal_issn,empty,1535-4970
19,journal_issn,Jan-68,68-Jan
59,journal_issn,empty,0-8077-4913-3
86,journal_issn,9790000000000,9788480000000
132,journal_issn,Feb-37,37-Feb
138,journal_issn,empty,1170-7690
149,journal_issn,empty,0017-5749
236,journal_issn,Jan-47,47-Jan
265,journal_issn,empty,1931-3543
273,journal_issn,0035-9157 (Print) 0035-9157,0007-1250 1472-1465
274,journal_issn,0035-9157 (Print) 0035-9157,0091-0562
275,journal_issn,0035-9157 (Print) 0035-9157,-8906
276,journal_issn,0035-9157 (Print) 0035-9157,empty
277,journal_issn,0035-9157 (Print) 0035-9157,empty
278,journal_issn,0035-9157 (Print) 0035-9157,0016-5085
310,journal_issn,ULL,1931-3543
320,journal_issn,146-71107,1467-1107
348,journal_issn,1463-1318,1462-8910
353,journal_issn,NUkLL,empty
392,journal_issn,Feb-62,62-Feb
395,journal_issn,empty,1098-4275
412,journal_issn,0151-1970 1051-1970,1051-1970 1051-1970
435,journal_issn,Feb-q65,65-Feb
448,journal_issn,empty,1557-170X
450,journal_issn,empty,1170-7690
468,journal_issn,empty,1356-7500
490,journal_issn,empty,1098-4275
508,journal_issn,Nov-53,53-Nov
518,journal_issn,empty,1941-2703
532,journal_issn,1095-r9203,1095-9203
546,journal_issn,1642-0324,1462-0324
547,journal_issn,NLL,empty
550,journal_issn,0,1464-5165
552,journal_issn,08998-256,0899-8256
561,journal_issn,1017-8733,1017-7833
581,journal_issn,empty,1715-5258
643,journal_issn,1525-1446,0737-1209
644,journal_issn,1524-4539,22-Sep
645,journal_issn,Jan-55,55-Jan
659,journal_issn,1524-4628,0039-2499
691,journal_issn,Sep-60,60-Sep
720,journal_issn,1470-0328 (Print) 1407-0328,1470-0328 (Print) 1470-0328
731,journal_issn,UNLL,empty
747,journal_issn,Mar-67,67-May
773,journal_issn,empty,1460-2105
813,journal_issn,NUL,empty
822,journal_issn,1930-739X,1930-7381
824,journal_issn,21y68-6114,2168-6114
828,journal_issn,1532-5415,14-Feb
849,journal_issn,Mar-67,67-May
853,journal_issn,22-rSep,22-Sep
855,journal_issn,1423-0356,0025-7931
859,journal_issn,empty,1098-4275
868,journal_issn,empty,1432-0843
879,journal_issn,empty,1469-8978
889,journal_issn,l1932-6203,1932-6203
891,journal_issn,empty,0305-1862
894,journal_issn,1399-3003,0903-1936
907,journal_issn,empty,978-1-2673-2110-7
915,journal_issn,1099-1611,1057-9249
916,journal_issn,i1521-186X,1521-186X
928,journal_issn,empty,1098-4275
932,journal_issn,1527g-7755,1527-7755
941,journal_issn,empty,1462-2416
954,journal_issn,14l76-5497,1476-5497
973,journal_issn,1f175-3277,1175-3277
977,journal_issn,UNLL,empty
982,journal_issn,0009-9201 (fPrint) 0009-9201,0009-9201 (Print) 0009-9201
984,journal_issn,Feb-65,65-Feb
991,journal_issn,Fb-65,65-Feb
993,journal_issn,1f423-0380,1423-0380
