index,attribute,dirty_value,clean_value
34,sched_dep_time,empty,08:25 PM
44,sched_dep_time,empty,08:35 AM
93,sched_dep_time,07r:15 AM,07:15 AM
106,sched_dep_time,08:00 wPM,08:00 PM
173,sched_dep_time,empty,08:05 AM
204,sched_dep_time,8:00 PM,08:00 PM
265,sched_dep_time,empty,09:45 AM
269,sched_dep_time,02:0 PM,02:30 PM
289,sched_dep_time,12:00P M,12:00 PM
297,sched_dep_time,08:0 PM,08:00 PM
325,sched_dep_time,empty,01:05 PM
393,sched_dep_time,08:00 M,08:00 PM
430,sched_dep_time,02:55 PzM,02:55 PM
447,sched_dep_time,empty,10:39 AM
456,sched_dep_time,07:00 AM***,07:00 AM
485,sched_dep_time,empty,09:15 AM
491,sched_dep_time,08:00 MP,08:00 PM
499,sched_dep_time,04:2d5 PM,04:25 PM
520,sched_dep_time,empty,07:55 AM
535,sched_dep_time,empty,06:00 AM
582,sched_dep_time,l12:00 PM,12:00 PM
587,sched_dep_time,empty,07:10 AM
589,sched_dep_time,7:25 AM,07:25 AM
592,sched_dep_time,08:i00 PM,08:00 PM
628,sched_dep_time,06:00 M,06:00 AM
633,sched_dep_time,empty,08:00 AM
637,sched_dep_time,empty,03:27 PM
667,sched_dep_time,05:52 PM,05:25 PM
671,sched_dep_time,empty,03:35 PM
683,sched_dep_time,08:0 0PM,08:00 PM
690,sched_dep_time,11:55 nPM,11:55 PM
694,sched_dep_time,065:9 AM,06:59 AM
754,sched_dep_time,empty,02:30 PM
761,sched_dep_time,12:00 MP,12:00 PM
768,sched_dep_time,08:00e PM,08:00 PM
775,sched_dep_time,c06:59 AM,06:59 AM
794,sched_dep_time,065:9 AM,06:59 AM
806,sched_dep_time,06q:30 PM,06:30 PM
809,sched_dep_time,08:00PM,08:00 PM
865,sched_dep_time,08:0 PM,08:00 PM
867,sched_dep_time,empty,07:05 AM
872,sched_dep_time,empty,11:55 PM
876,sched_dep_time,06:59 MA,06:59 AM
933,sched_dep_time,empty,07:15 PM
937,sched_dep_time,08:00 PM***,08:00 PM
939,sched_dep_time,07:05m AM,07:05 AM
942,sched_dep_time,01:2 9PM,01:29 PM
943,sched_dep_time,empty,04:25 PM
1008,sched_dep_time,06:00AM,06:00 AM
1014,sched_dep_time,empty,10:15 AM
1015,sched_dep_time,0:30 AM,07:30 AM
1029,sched_dep_time,06:00 aAM,06:00 AM
1031,sched_dep_time,3:50 PM,03:50 PM
1032,sched_dep_time,08:0y0 PM,08:00 PM
1033,sched_dep_time,07:05 MA,07:05 AM
1040,sched_dep_time,60:59 AM,06:59 AM
1104,sched_dep_time,empty,12:30 PM
1124,sched_dep_time,0:800 PM,08:00 PM
1135,sched_dep_time,0:659 AM,06:59 AM
1196,sched_dep_time,08:00 hPM,08:00 PM
1279,sched_dep_time,08:h00 PM,08:00 PM
1286,sched_dep_time,1:55 PM,11:55 PM
1290,sched_dep_time,0:59 AM,06:59 AM
1306,sched_dep_time,07:15 AaM,07:15 AM
1316,sched_dep_time,025:5 PM,02:55 PM
1338,sched_dep_time,empty,07:35 AM
1377,sched_dep_time,08:0s0 PM,08:00 PM
1388,sched_dep_time,06:59 MA,06:59 AM
1396,sched_dep_time,empty,11:15 AM
1454,sched_dep_time,010:5 PM,01:05 PM
1471,sched_dep_time,empty,07:00 AM
1499,sched_dep_time,empty,06:00 AM
1509,sched_dep_time,02:3c0 PM,02:30 PM
1520,sched_dep_time,7:53 AM,07:53 AM
1543,sched_dep_time,08:00 MP,08:00 PM
1554,sched_dep_time,06g:59 AM,06:59 AM
1560,sched_dep_time,empty,11:08 PM
1588,sched_dep_time,empty,07:45 PM
1599,sched_dep_time,0c2:30 PM,02:30 PM
1616,sched_dep_time,empty,07:05 AM
1621,sched_dep_time,0:59 AM,06:59 AM
