Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: tno, MSE: nan, Jaccard: 0.0
Attribute: fname, MSE: nan, Jaccard: 0.0
Attribute: lname, MSE: nan, Jaccard: 0.0
Attribute: gender, MSE: nan, Jaccard: 0.33532302155783933
Attribute: areacode, MSE: nan, Jaccard: 0.0007912457912457871
Attribute: phone, MSE: nan, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.014285714285714346
Attribute: state, MSE: nan, Jaccard: 0.1113960132691354
Attribute: zip, MSE: nan, Jaccard: 0.0
Attribute: maritalstatus, MSE: nan, Jaccard: 0.0
Attribute: haschild, MSE: nan, Jaccard: 0.0
Attribute: salary, MSE: nan, Jaccard: 0.0
Attribute: rate, MSE: 7.888609052210118e-34, Jaccard: 0.15384615384615385
Attribute: singleexemp, MSE: nan, Jaccard: 0.37595274633928
Attribute: marriedexemp, MSE: nan, Jaccard: 0.0
Attribute: childexemp, MSE: nan, Jaccard: 0.22249965321126375
加权混合距离: 0.03570866318531272
