Attribute,Index,Clean Value,Cleaned Value
gender,1060,m,f
gender,2108,f,cf
gender,3659,m,rm
gender,6805,f,m
gender,6825,m,nm
gender,9184,f,***
gender,9425,f,***
gender,9593,m,dm
gender,9902,m,f
gender,10234,m,f
gender,10499,f,xf
gender,10989,f,gf
gender,11207,f,m
gender,11755,f,m
gender,11794,f,ef
gender,12349,m,f
gender,13566,f,cf
gender,13723,m,f
gender,15232,m,***
gender,15812,f,m
gender,16241,f,***
gender,17005,f,ff
areacode,206,401,252
areacode,279,401,252
areacode,296,401,252
areacode,432,401,252
areacode,583,401,252
areacode,793,939,210
areacode,827,939,210
areacode,972,939,210
areacode,1022,401,252
areacode,1070,401,252
areacode,1153,401,252
areacode,1184,401,252
areacode,1235,401,252
areacode,1266,401,252
areacode,1287,401,252
areacode,1308,401,252
areacode,1392,401,252
areacode,1431,401,252
areacode,1695,401,252
areacode,1748,401,252
areacode,1796,401,252
areacode,1807,939,210
areacode,1809,401,252
areacode,1845,401,252
areacode,1862,401,252
areacode,1878,401,252
areacode,1893,401,252
areacode,1996,401,252
areacode,2108,939,210
areacode,2137,401,252
areacode,2384,401,252
areacode,2431,401,252
areacode,2577,401,252
areacode,2729,401,252
areacode,2808,401,252
areacode,2899,401,252
areacode,2931,401,252
areacode,2932,401,252
areacode,2948,401,252
areacode,3021,781,252
areacode,3033,401,252
areacode,3072,401,252
areacode,3098,401,252
areacode,3133,401,252
areacode,3219,401,252
areacode,3286,401,252
areacode,3315,401,252
areacode,3399,939,980
areacode,3514,939,210
areacode,3608,401,252
areacode,3616,939,210
areacode,3659,401,504
areacode,3770,401,516
areacode,3828,401,252
areacode,3980,401,252
areacode,4121,401,252
areacode,4200,401,252
areacode,4516,401,252
areacode,4567,401,252
areacode,4581,401,252
areacode,4656,401,252
areacode,4680,401,252
areacode,4692,401,252
areacode,4698,939,210
areacode,4865,401,252
areacode,4924,401,252
areacode,4931,939,210
areacode,5031,401,252
areacode,5155,401,252
areacode,5164,939,210
areacode,5218,401,252
areacode,5356,401,252
areacode,5544,401,252
areacode,5738,939,210
areacode,5773,401,252
areacode,5840,401,252
areacode,5864,401,252
areacode,5901,401,252
areacode,6051,401,252
areacode,6386,401,252
areacode,6399,401,252
areacode,6461,401,252
areacode,6514,401,252
areacode,6534,939,210
areacode,6672,401,252
areacode,6807,401,252
areacode,6893,401,252
areacode,6945,401,252
areacode,6992,401,252
areacode,7046,401,252
areacode,7173,401,252
areacode,7409,401,252
areacode,7522,939,210
areacode,7567,401,252
areacode,7764,401,252
areacode,7798,401,252
areacode,7851,401,252
areacode,7922,401,252
areacode,7944,401,252
areacode,8098,401,252
areacode,8179,939,210
areacode,8210,401,252
areacode,8219,401,252
areacode,8368,401,252
areacode,8447,401,252
areacode,8575,401,252
areacode,8701,401,252
areacode,8714,401,252
areacode,8983,401,252
areacode,9013,401,252
areacode,9191,401,252
areacode,9209,401,252
areacode,9292,939,210
areacode,9381,401,252
areacode,9459,401,252
areacode,9503,939,210
areacode,9543,939,210
areacode,9576,939,210
areacode,9764,401,252
areacode,9838,401,252
areacode,9995,401,252
areacode,10149,401,252
areacode,10169,401,252
areacode,10202,401,252
areacode,10260,401,252
areacode,10318,401,252
areacode,10329,401,252
areacode,10393,401,252
areacode,10537,401,252
areacode,10543,401,252
areacode,10640,401,252
areacode,10828,939,210
areacode,10976,401,252
areacode,11055,401,252
areacode,11066,401,252
areacode,11192,401,252
areacode,11259,401,252
areacode,11324,401,252
areacode,11732,401,252
areacode,11781,401,252
areacode,11851,401,252
areacode,11918,401,252
areacode,12142,401,252
areacode,12143,401,252
areacode,12160,401,252
areacode,12179,401,252
areacode,12231,401,252
areacode,12349,401,252
areacode,12560,401,252
areacode,12609,401,252
areacode,13064,401,252
areacode,13127,401,252
areacode,13191,939,210
areacode,13211,401,252
areacode,13304,401,252
areacode,13321,939,210
areacode,13414,401,252
areacode,13747,401,252
areacode,13845,401,252
areacode,13881,401,252
areacode,14032,401,252
areacode,14137,401,252
areacode,14223,939,210
areacode,14332,939,210
areacode,14393,401,252
areacode,14653,401,252
areacode,14762,401,252
areacode,14861,401,252
areacode,14871,401,252
areacode,14891,939,210
areacode,15176,401,252
areacode,15228,401,252
areacode,15300,401,252
areacode,15367,401,252
areacode,15535,939,210
areacode,15626,401,252
areacode,15627,401,252
areacode,15651,939,210
areacode,15741,401,252
areacode,15857,401,252
areacode,15919,939,210
areacode,15934,401,252
areacode,16001,401,252
areacode,16041,401,252
areacode,16173,401,252
areacode,16349,401,252
areacode,16454,401,252
areacode,16474,401,252
areacode,16480,939,210
areacode,16565,401,252
areacode,16584,401,252
areacode,16596,401,252
areacode,16868,401,980
areacode,16950,401,252
areacode,17019,401,252
areacode,17147,401,252
areacode,17185,401,252
areacode,17272,401,252
areacode,17313,401,252
areacode,17318,401,252
areacode,17384,939,210
areacode,17637,401,252
areacode,17643,401,252
areacode,17647,401,252
areacode,17728,401,252
areacode,17792,401,252
areacode,17801,401,252
areacode,17948,401,252
areacode,18033,401,252
areacode,18113,401,252
areacode,18252,401,406
areacode,18280,401,252
areacode,18430,401,252
areacode,18437,939,210
areacode,18460,401,252
areacode,18495,401,252
areacode,18584,401,252
areacode,18587,401,252
areacode,18606,939,210
areacode,18665,401,252
areacode,18677,401,252
areacode,18771,401,252
areacode,18802,401,252
areacode,18901,401,252
areacode,18981,401,252
areacode,18984,401,252
areacode,19028,939,617
areacode,19088,401,252
areacode,19202,401,252
areacode,19362,401,252
areacode,19449,401,252
areacode,19658,401,252
areacode,19698,401,252
areacode,19740,401,252
areacode,19741,401,252
areacode,19834,401,252
areacode,19843,401,252
city,279,cumberland,cumberlamnd
city,3905,rio grande,iro grande
city,5963,westport,wetport
city,7700,patillas,patilas
city,7744,winchendon springs,nan
city,9038,dorado,doraod
city,9820,guaynabo,uguaynabo
city,10776,deerfield,deerfoield
city,12841,coto laurel,cotuo laurel
city,13121,dorado,droado
city,15528,royalston,royalsotn
city,16922,orocovis,rocovis
city,18218,aguadilla,aguadila
city,19202,forestdale,forsetdale
state,3770,ri,mri
state,5326,la,al
state,10868,pr,jpr
state,12533,ma,am
state,16418,pr,rp
state,16868,ri,i
state,18252,ri,ir
state,19028,pr,r
state,19610,ma,am
singleexemp,3315,0,***
singleexemp,3354,3575,0
singleexemp,5690,0,***
singleexemp,6455,0,e0
singleexemp,7966,0,***
singleexemp,10066,3575,b3575
singleexemp,11866,0,***
singleexemp,11876,3575,3i575
singleexemp,15017,3575,0
singleexemp,17951,0,***
singleexemp,18772,0,***
marriedexemp,502,7150,7105
marriedexemp,835,7150,y7150
marriedexemp,4982,0,***
marriedexemp,5690,0,***
marriedexemp,6390,7150,710
marriedexemp,7503,0,***
marriedexemp,7744,7150,0
marriedexemp,8404,0,***
marriedexemp,11199,0,h0
marriedexemp,11817,0,***
marriedexemp,12989,0,v0
marriedexemp,13191,0,***
marriedexemp,14862,0,d0
marriedexemp,15593,0,***
marriedexemp,15919,0,i0
marriedexemp,16144,0,k0
marriedexemp,16606,0,q0
marriedexemp,17049,0,q0
marriedexemp,17352,0,x0
marriedexemp,17818,0,d0
marriedexemp,19952,0,***
childexemp,5690,0,y0
childexemp,7949,0,b0
childexemp,9531,0,w0
childexemp,12063,1000,0
childexemp,13332,0,p0
childexemp,15485,0,k0
childexemp,16606,0,***
childexemp,17951,0,r0
childexemp,18847,1000,0
childexemp,19864,1000,1000***
