Attribute,Index,Dirty Value,Cleaned Value
gender,1241,nan,m
gender,2402,nan,m
gender,2884,nan,m
gender,5762,nan,f
gender,5840,nan,f
gender,9425,nan,m
gender,10393,nan,m
gender,11259,nan,m
gender,11501,nan,f
gender,14669,nan,m
gender,14724,nan,m
gender,15857,nan,m
gender,17082,nan,m
gender,17185,nan,f
gender,17384,nan,m
gender,18127,nan,f
gender,18378,nan,m
gender,19843,nan,m
areacode,279,401,252
areacode,296,401,252
areacode,432,401,252
areacode,583,401,252
areacode,793,939,210
areacode,827,939,210
areacode,972,939,210
areacode,1022,401,252
areacode,1070,401,252
areacode,1184,401,252
areacode,1266,401,252
areacode,1287,401,252
areacode,1308,401,252
areacode,1431,401,252
areacode,1748,401,252
areacode,1796,401,252
areacode,1807,939,210
areacode,1809,401,252
areacode,1845,401,252
areacode,1862,401,252
areacode,1878,401,252
areacode,1893,401,252
areacode,1996,401,252
areacode,2108,939,210
areacode,2137,401,252
areacode,2384,401,252
areacode,2431,401,252
areacode,2577,401,252
areacode,2729,401,252
areacode,2808,401,252
areacode,2899,401,252
areacode,2931,401,252
areacode,2932,401,252
areacode,2948,401,252
areacode,3033,401,252
areacode,3072,401,252
areacode,3098,401,252
areacode,3219,401,252
areacode,3286,401,252
areacode,3315,401,252
areacode,3399,939,980
areacode,3514,939,210
areacode,3608,401,252
areacode,3616,939,210
areacode,3659,401,252
areacode,3770,401,252
areacode,3828,401,252
areacode,3980,401,252
areacode,4200,401,252
areacode,4516,401,252
areacode,4567,401,252
areacode,4581,401,252
areacode,4656,401,252
areacode,4680,401,252
areacode,4692,401,252
areacode,4698,939,210
areacode,4865,401,252
areacode,4924,401,252
areacode,4931,939,210
areacode,5031,401,252
areacode,5218,401,252
areacode,5356,401,252
areacode,5544,401,252
areacode,5738,939,210
areacode,5773,401,252
areacode,5864,401,252
areacode,5901,401,252
areacode,6386,401,252
areacode,6514,401,252
areacode,6534,939,210
areacode,6672,401,252
areacode,6807,401,252
areacode,6893,401,252
areacode,6945,401,252
areacode,6992,401,252
areacode,7173,401,252
areacode,7409,401,252
areacode,7522,939,210
areacode,7567,401,252
areacode,7764,401,252
areacode,7798,401,252
areacode,7851,401,252
areacode,7922,401,252
areacode,7944,401,252
areacode,8098,401,252
areacode,8179,939,210
areacode,8210,401,252
areacode,8219,401,252
areacode,8368,401,252
areacode,8447,401,252
areacode,8714,401,252
areacode,8983,401,252
areacode,9013,401,252
areacode,9191,401,252
areacode,9292,939,210
areacode,9381,401,252
areacode,9459,401,252
areacode,9503,939,210
areacode,9543,939,210
areacode,9576,939,210
areacode,9764,401,252
areacode,9838,401,252
areacode,10149,401,252
areacode,10169,401,252
areacode,10202,401,252
areacode,10260,401,252
areacode,10318,401,252
areacode,10329,401,252
areacode,10393,401,252
areacode,10537,401,252
areacode,10543,401,252
areacode,10640,401,252
areacode,10828,939,210
areacode,10976,401,252
areacode,11066,401,252
areacode,11192,401,252
areacode,11259,401,252
areacode,11324,401,252
areacode,11732,401,252
areacode,11781,401,252
areacode,11851,401,252
areacode,11918,401,252
areacode,12094,401,252
areacode,12142,401,203
areacode,12143,401,252
areacode,12160,401,252
areacode,12179,401,252
areacode,12231,401,252
areacode,12349,401,252
areacode,12560,401,252
areacode,12609,401,252
areacode,13064,401,252
areacode,13127,401,252
areacode,13191,939,210
areacode,13211,401,252
areacode,13321,939,210
areacode,13414,401,252
areacode,13747,401,252
areacode,13845,401,252
areacode,13881,401,252
areacode,14032,401,252
areacode,14137,401,252
areacode,14223,939,210
areacode,14332,939,210
areacode,14393,401,252
areacode,14653,401,252
areacode,14861,401,252
areacode,14871,401,252
areacode,14891,939,210
areacode,15176,401,252
areacode,15300,401,252
areacode,15367,401,252
areacode,15535,939,210
areacode,15626,401,252
areacode,15627,401,252
areacode,15651,939,210
areacode,15741,401,252
areacode,15919,939,210
areacode,15934,401,252
areacode,16001,401,252
areacode,16041,401,252
areacode,16173,401,252
areacode,16349,401,252
areacode,16454,401,252
areacode,16474,401,252
areacode,16480,939,210
areacode,16565,401,252
areacode,16584,401,252
areacode,16596,401,252
areacode,16868,401,252
areacode,16950,401,252
areacode,17019,401,252
areacode,17147,401,252
areacode,17185,401,252
areacode,17272,401,252
areacode,17313,401,252
areacode,17318,401,252
areacode,17384,939,210
areacode,17637,401,252
areacode,17643,401,252
areacode,17647,401,252
areacode,17728,401,252
areacode,17792,401,252
areacode,17801,401,252
areacode,17948,401,252
areacode,18033,401,252
areacode,18113,401,252
areacode,18252,401,252
areacode,18280,401,252
areacode,18430,401,252
areacode,18437,939,210
areacode,18460,401,252
areacode,18495,401,252
areacode,18584,401,252
areacode,18665,401,252
areacode,18677,401,252
areacode,18696,939,210
areacode,18771,401,252
areacode,18802,401,252
areacode,18901,401,252
areacode,18984,401,252
areacode,19088,401,252
areacode,19202,401,252
areacode,19337,939,504
areacode,19449,401,252
areacode,19658,401,252
areacode,19698,401,252
areacode,19740,401,252
areacode,19741,401,252
areacode,19834,401,252
city,102,nan,portsmouth
city,220,nan,luquillo
city,577,nan,arlington
city,1723,nan,luquillo
city,4008,nan,springfield
city,8265,nan,hormigueros
city,9759,nan,north scituate
city,13068,nan,green harbor
city,15092,nan,san juan
state,1175,nan,ma
state,1358,nan,ma
state,5164,nan,pr
state,6399,nan,ri
state,7663,nan,ma
state,7744,nan,ma
state,10247,nan,ma
state,10541,nan,pr
state,11055,nan,ri
state,12142,nan,ri
state,15642,nan,ma
singleexemp,114,nan,0
singleexemp,430,nan,0
singleexemp,549,nan,0
singleexemp,1748,nan,0
singleexemp,2808,nan,0
singleexemp,2932,nan,0
singleexemp,3258,nan,0
singleexemp,3514,nan,0
singleexemp,4581,nan,0
singleexemp,4680,nan,0
singleexemp,4848,nan,0
singleexemp,4865,nan,0
singleexemp,4924,nan,0
singleexemp,5262,nan,0
singleexemp,5498,nan,0
singleexemp,8353,nan,0
singleexemp,9764,nan,0
singleexemp,10149,nan,0
singleexemp,10537,nan,0
singleexemp,10730,nan,0
singleexemp,11066,nan,0
singleexemp,11259,nan,0
singleexemp,11793,nan,0
singleexemp,13222,nan,0
singleexemp,13845,nan,0
singleexemp,13881,nan,0
singleexemp,14194,nan,0
singleexemp,14277,nan,0
singleexemp,14679,nan,0
singleexemp,14862,nan,0
singleexemp,15367,nan,0
singleexemp,15668,nan,0
singleexemp,16349,nan,0
singleexemp,16454,nan,0
singleexemp,17792,nan,0
singleexemp,18252,nan,0
singleexemp,18495,nan,0
singleexemp,18603,nan,0
singleexemp,19449,nan,0
singleexemp,19698,nan,0
singleexemp,19734,nan,0
marriedexemp,3006,nan,0
marriedexemp,3755,nan,0
marriedexemp,4664,nan,0
marriedexemp,5501,nan,0
marriedexemp,5717,nan,0
marriedexemp,6493,nan,0
marriedexemp,7134,nan,0
marriedexemp,10440,nan,0
marriedexemp,10828,nan,0
marriedexemp,12693,nan,0
marriedexemp,14494,nan,0
marriedexemp,15231,nan,0
marriedexemp,15934,nan,0
marriedexemp,16868,nan,0
marriedexemp,17322,nan,0
marriedexemp,17894,nan,0
marriedexemp,18378,nan,0
marriedexemp,18696,nan,0
childexemp,504,nan,0
childexemp,754,nan,0
childexemp,1893,nan,0
childexemp,1996,nan,0
childexemp,3354,nan,0
childexemp,3857,nan,0
childexemp,5717,nan,0
childexemp,8107,nan,0
childexemp,10100,nan,0
childexemp,13332,nan,0
childexemp,14981,nan,0
childexemp,16777,nan,0
childexemp,17348,nan,0
