Attribute,Index,Dirty Value,Cleaned Value
surname,15206,nan,hoare
surname,17796,nan,hoare
surname,63597,nan,hoare
surname,116723,nan,hoare
surname,127740,nan,hoare
surname,170869,nan,hoare
surname,171716,nan,hoare
position,27772,nan,midfield
position,40553,nan,midfield
position,76455,nan,midfield
position,78686,nan,zdefender
position,85795,nan,midfield
position,131685,nan,midfield
position,134814,nan,midfield
team,65435,nan,sv_werder_bremen
team,76244,nan,valencia_cf
team,131685,nan,sv_werder_bremen
team,140008,nan,valencia_cf
team,168925,nan,valencia_cf
team,170206,nan,sv_werder_bremen
team,184685,nan,valencia_cf
stadium,4981,nan,constant_vanden_stock_stadium
stadium,61057,nan,boleyn_ground
stadium,61937,nan,constant_vanden_stock_stadium
stadium,63813,nan,constant_vanden_stock_stadium
stadium,172901,nan,boleyn_ground
stadium,174521,nan,boleyn_ground
