Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: name, MSE: nan, Jaccard: 0.0
Attribute: surname, MSE: nan, Jaccard: 0.8347556894243642
Attribute: birthyear, MSE: nan, Jaccard: 0.9997938181296615
Attribute: birthplace, MSE: nan, Jaccard: 0.9999227679950572
Attribute: position, MSE: nan, Jaccard: 0.9841432950191571
Attribute: team, MSE: nan, Jaccard: 0.7873289288492167
Attribute: city, MSE: nan, Jaccard: 0.0
Attribute: stadium, MSE: nan, Jaccard: 0.7286898673014826
Attribute: season, MSE: nan, Jaccard: 0.0
Attribute: manager, MSE: nan, Jaccard: 0.0
加权混合距离: 0.2424833803054063
