Attribute,Index,Dirty Value,Cleaned Value
ProviderNumber,9,10019,10008
ProviderNumber,17,10019,10018
ProviderNumber,19,10001,10018
ProviderNumber,20,10001,10018
ProviderNumber,21,10001,10018
ProviderNumber,22,10001,10018
ProviderNumber,23,10001,10008
ProviderNumber,24,10001,10018
ProviderNumber,25,10001,10018
ProviderNumber,44,10005,10018
ProviderNumber,45,10005,10018
ProviderNumber,46,10005,10018
ProviderNumber,47,10005,10018
ProviderNumber,48,10005,10018
ProviderNumber,49,10005,10018
ProviderNumber,50,10005,10018
ProviderNumber,51,10005,10018
ProviderNumber,106,10007,10018
ProviderNumber,107,10007,10018
ProviderNumber,108,10007,10018
ProviderNumber,109,10007,10018
ProviderNumber,110,10007,10018
ProviderNumber,111,10007,10018
ProviderNumber,112,10007,10018
ProviderNumber,113,10007,10018
ProviderNumber,150,10009,10018
ProviderNumber,151,10009,10018
ProviderNumber,152,10009,10008
ProviderNumber,153,10009,10018
ProviderNumber,154,10009,10018
ProviderNumber,155,10009,10018
ProviderNumber,156,10009,10018
ProviderNumber,157,10009,10018
ProviderNumber,196,10011,10018
ProviderNumber,197,10011,10018
ProviderNumber,198,10011,10018
ProviderNumber,199,10011,10018
ProviderNumber,200,10011,10018
ProviderNumber,201,10011,10018
ProviderNumber,202,10011,10018
ProviderNumber,203,10011,10018
ProviderNumber,246,10015,10018
ProviderNumber,247,10015,10018
ProviderNumber,248,10015,10018
ProviderNumber,249,10015,10018
ProviderNumber,250,10015,10018
ProviderNumber,251,10015,10018
ProviderNumber,252,10015,10018
ProviderNumber,253,10015,10018
ProviderNumber,254,10015,10018
ProviderNumber,255,10015,10018
ProviderNumber,256,10015,10018
ProviderNumber,257,10015,10018
ProviderNumber,258,10015,10018
ProviderNumber,259,10015,10018
ProviderNumber,260,10015,10018
ProviderNumber,261,10015,10018
ProviderNumber,262,10015,10018
ProviderNumber,263,10015,10008
ProviderNumber,299,10018,10008
ProviderNumber,313,10038,10008
ProviderNumber,364,10086,10008
ProviderNumber,388,10087,10008
ProviderNumber,449,20017,10008
ProviderNumber,495,10022,10008
ProviderNumber,522,10023,10008
ProviderNumber,732,10035,10008
ProviderNumber,783,10039,10008
ProviderNumber,802,10040,10008
ProviderNumber,921,10046,10008
Address1,9,1300 south montgomery aveneu,101 hospital circle
Address1,11,1300 south montgomry avenue,1300 south montgomey avenue
Address1,12,1300 south montomery avenue,1300 south montgomey avenue
Address1,13,1300 south montgomery venue,1300 south montgomey avenue
Address1,17,1300 south montgomery avenue,1720 university blvd
Address1,18,1300 south montgomery avenue,1300 south montgomey avenue
Address1,19,1108 ross clark circle,1720 university blvd
Address1,20,1108 ross clark circle,1720 university blvd
Address1,21,1108 ross clark circle,1720 university blvd
Address1,22,1108 ross clark circle,1720 university blvd
Address1,23,1108 ross clark circle,101 hospital circle
Address1,24,1108 ross clark circle,1720 university blvd
Address1,25,108 ross clark circle,1720 university blvd
Address1,28,108 ross clark circle,1108 ross clark circle
Address1,29,g1108 ross clark circle,1108 ross clark circle
Address1,30,1108 rossc lark circle,1108 ross clark circle
Address1,44,2505 u s highway 431 north,1720 university blvd
Address1,45,2505 u s highway 431 north,1720 university blvd
Address1,46,2505 u s highway 431 north,1720 university blvd
Address1,47,2505 u s highway 431 north,1720 university blvd
Address1,48,2505 u s highway 431 north,1720 university blvd
Address1,49,2505 u s highway 431 north,1720 university blvd
Address1,50,2505 u s highway 431 north,1720 university blvd
Address1,51,2505 u s highway 431 north,1720 university blvd
Address1,54,empty,2505 u s highway 431 north
Address1,106,702 n main st,1720 university blvd
Address1,107,702 n main st,1720 university blvd
Address1,108,702 n main st,1720 university blvd
Address1,109,702 n main st,1720 university blvd
Address1,110,702 n main st,1720 university blvd
Address1,111,702 n main st,1720 university blvd
Address1,112,702 n main st,1720 university blvd
Address1,113,702 n main ts,1720 university blvd
Address1,145,201 pine street northwest,201 peine street northwest
Address1,146,201 pine street northwest,201 peine street northwest
Address1,147,201 pine street northwest,201 peine street northwest
Address1,148,201 pine street northwest,201 peine street northwest
Address1,149,201 pine street northwest,201 peine street northwest
Address1,150,201 pine street northwest,1720 university blvd
Address1,151,201 pine street northwest,1720 university blvd
Address1,152,201 pine street northwest,101 hospital circle
Address1,153,201 pine street northwest,1720 university blvd
Address1,154,201 pine street northwest,1720 university blvd
Address1,155,201 pine street northwest,1720 university blvd
Address1,156,201 pine street northwest,1720 university blvd
Address1,157,201 pine street northwest,1720 university blvd
Address1,158,201 pine street northwest,201 peine street northwest
Address1,159,201 pine street northwest,201 peine street northwest
Address1,160,201 pine street northwest,201 peine street northwest
Address1,161,201 pine street northwest,201 peine street northwest
Address1,162,201 pine street northwest,201 peine street northwest
Address1,163,201 pine street northwest,201 peine street northwest
Address1,164,201 pine street northwest,201 peine street northwest
Address1,165,201 pine street northwest,201 peine street northwest
Address1,166,201 pine street northwest,201 peine street northwest
Address1,167,201 pine street northwest,201 peine street northwest
Address1,168,201 pine street northwest,201 peine street northwest
Address1,196,50 medical park east drive,1720 university blvd
Address1,197,50 medical park east drive,1720 university blvd
Address1,198,50 medical park east drive,1720 university blvd
Address1,199,50 medical park east drive,1720 university blvd
Address1,200,50 medical park east drive,1720 university blvd
Address1,201,50 medical park east drive,1720 university blvd
Address1,202,50 medical park east drive,1720 university blvd
Address1,203,50 medical park east drive,1720 university blvd
Address1,212,empty,50 medical park east drive
Address1,231,empty,200 med center drive
Address1,246,33700 highway 43,1720 university blvd
