Attribute,Index,Dirty Value,Cleaned Value
ProviderNumber,52,10005,10018
ProviderNumber,53,10005,10018
ProviderNumber,54,10005,10018
ProviderNumber,55,10005,10018
ProviderNumber,56,10005,10018
ProviderNumber,57,10005,10018
ProviderNumber,58,10005,10018
ProviderNumber,59,10005,10018
ProviderNumber,60,10005,10018
ProviderNumber,61,10005,10018
ProviderNumber,62,10005,10018
ProviderNumber,63,10005,10018
ProviderNumber,64,10005,10018
ProviderNumber,65,10005,10018
ProviderNumber,66,10005,10018
ProviderNumber,67,10005,10018
ProviderNumber,68,10005,10018
ProviderNumber,69,10006,10018
ProviderNumber,70,10006,10018
ProviderNumber,89,10006,10018
ProviderNumber,112,10007,10034
ProviderNumber,131,10008,10018
ProviderNumber,132,10008,10018
ProviderNumber,133,10008,10018
ProviderNumber,134,10008,10018
ProviderNumber,135,10008,10018
ProviderNumber,193,10010,10034
ProviderNumber,215,10011,10034
ProviderNumber,233,10012,10018
ProviderNumber,234,10012,10018
ProviderNumber,235,10012,10018
ProviderNumber,236,10012,10018
ProviderNumber,237,10012,10018
ProviderNumber,238,10012,10018
ProviderNumber,239,10012,10018
ProviderNumber,240,10012,10018
ProviderNumber,241,10012,10018
ProviderNumber,242,10012,10018
ProviderNumber,673,10033,10034
ProviderNumber,758,10036,10034
ProviderNumber,772,10038,10034
ProviderNumber,946,10047,10034
ProviderNumber,976,10049,10034
Address1,2,1720r university blvd,1720 university blvd
Address1,3,172 university blvd,1720 university blvd
Address1,52,2505 u s highway 431 north,1720 university blvd
Address1,53,2505 u s highway 431 north,1720 university blvd
Address1,54,2505 u s highway 431 north,1720 university blvd
Address1,55,2505 u s highway 431 north,1720 university blvd
Address1,56,2505 u s highway 431 north,1720 university blvd
Address1,57,2505 u s highway 431 north,1720 university blvd
Address1,58,2505 u s highway 431 north,1720 university blvd
Address1,59,2505 u s highway 431 north,1720 university blvd
Address1,60,empty,1720 university blvd
Address1,61,2505 u s highway 431 north,1720 university blvd
Address1,62,2505 u s highway 431 north,1720 university blvd
Address1,63,2505 u s highway 431 north,1720 university blvd
Address1,64,2505 u s highway 431 north,1720 university blvd
Address1,65,2505 u s highway 431 north,1720 university blvd
Address1,66,2505 u s highway 431 north,1720 university blvd
Address1,67,2505  s highway 431 north,1720 university blvd
Address1,68,2505 u s highway 431 north,1720 university blvd
Address1,69,205 marengo street,1720 university blvd
Address1,70,205 marengo street,1720 university blvd
Address1,89,205 marengo street,1720 university blvd
Address1,112,702 n main st,805 friendship road
Address1,127,101 hosital circle,101 hospital circle
Address1,131,101 hospital circle,1720 university blvd
Address1,132,101 hospital circle,1720 university blvd
Address1,133,101 hospital circle,1720 university blvd
Address1,134,101 hospital circle,1720 university blvd
Address1,135,101 hospital circle,1720 university blvd
Address1,141,empty,101 hospital circle
Address1,193,8000 alabama highway 69,805 friendship road
Address1,215,50 medical park east drive,805 friendship road
Address1,233,empty,1720 university blvd
Address1,234,200 med center drive,1720 university blvd
Address1,235,200 med center drive,1720 university blvd
Address1,236,200 med center drive,1720 university blvd
Address1,237,200 med center drive,1720 university blvd
Address1,238,200 med center drive,1720 university blvd
Address1,239,200 med center drive,1720 university blvd
Address1,240,200 med center drive,1720 university blvd
Address1,241,200 med center drive,1720 university blvd
Address1,242,200 med center drive,1720 university blvd
Address1,248,33700p highway 43,33700 highway 43
Address1,281,1000 firs street north,1000 first street north
Address1,308,1720 universitmy blvd,1720 university blvd
Address1,309,1720 universit blvd,1720 university blvd
Address1,310,720 university blvd,1720 university blvd
Address1,358,empty,1530 u s highway 43
Address1,422,empty,315 w hickory st
Address1,504,400 northwood dr***,400 northwood dr
Address1,573,empty,4800 48th st
Address1,657,empty,209 north main street
Address1,673,619 south 19th street,805 friendship road
Address1,686,619 south 19thstreet,619 south 19th street
Address1,718,19k12 alabama highway 157,1912 alabama highway 157
Address1,758,849 south three notch street,805 friendship road
Address1,764,empty,849 south three notch street
Address1,772,301 east 18th st,805 friendship road
Address1,819,empty,1007 goodyear avenue
Address1,874,empty,1256 military street south
