Attribute,Index,Clean Value,Cleaned Value
jounral_abbreviation,889481,"Einstein (Sao Paulo, Brazil)",Einstein (Sao Paulo Brazil)
jounral_abbreviation,346326,"Journal of cardiovascular medicine (Hagerstown, Md.)",Journal of cardiovascular medicine (Hagerstown Md.)
jounral_abbreviation,246528,"Journal of hand surgery (Edinburgh, Scotland)",Journal of hand surgery (Edinburgh Scotland)
jounral_abbreviation,417782,"Archives of surgery (Chicago, Ill. : 1960)",Archives of surgery (Chicago Ill. : 1960)
jounral_abbreviation,888553,"Rheumatology (Oxford, England)",Rheumatology (Oxford England)
jounral_abbreviation,796900,"Rheumatology (Oxford, England)",Rheumatology (Oxford England)
jounral_abbreviation,828156,"Alcoholism, clinical and experimental research",Alcoholism clinical and experimental research
jounral_abbreviation,609245,"Journal of alternative and complementary medicine (New York, N.Y.)",Journal of alternative and complementary medicine (New York N.Y.)
jounral_abbreviation,250975,"International journal of surgery (London, England)",International journal of surgery (London England)
jounral_abbreviation,960478,"American journal of critical care : an official publication, American Association of Critical-Care Nurses",American journal of critical care : an official publication American Association of Critical-Care Nurses
jounral_abbreviation,589265,"Clinical nutrition (Edinburgh, Scotland)",Clinical nutrition (Edinburgh Scotland)
jounral_abbreviation,66579,PLoS one,PLoS ONE
article_title,169865,"[Noninvasive prenatal diagnosis of trisomy 21, 18 and 13 using cell-free fetal DNA]",[Noninvasive prenatal diagnosis of trisomy 21 18 and 13 using cell-free fetal DNA]
article_title,98234,"Pregabalin, celecoxib, and their combination for treatment of chronic low-back pain",Pregabalin celecoxib and their combination for treatment of chronic low-back pain
article_title,668310,"A randomized controlled trial of Tai chi for balance, sleep quality and cognitive performance in elderly Vietnamese.",A randomized controlled trial of Tai chi for balance sleep quality and cognitive performance in elderly Vietnamese.
article_title,282987,"Multisystemic Therapy for social, emotional, and behavioral problems in youth aged 10-17",Multisystemic Therapy for social emotional and behavioral problems in youth aged 10-17
article_title,82614,"Lycopene metabolite, apo-10'-lycopenoic acid, inhibits diethylnitrosamine-initiated, high fat diet-promoted hepatic inflammation and tumorigenesis in mice.",Lycopene metabolite apo-10'-lycopenoic acid inhibits diethylnitrosamine-initiated high fat diet-promoted hepatic inflammation and tumorigenesis in mice.
article_title,378490,"A prospective observational study of obesity, body composition, and insulin resistance in 18 women with bipolar disorder and 17 matched control subjects.",A prospective observational study of obesity body composition and insulin resistance in 18 women with bipolar disorder and 17 matched control subjects.
article_title,819166,"Responses to open peer commentaries on ""the subjective brain, identity, and neuroethics""","Responses to open peer commentaries on ""the subjective brain identity and neuroethics"""
article_title,353972,"Child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan, Nigeria.",Child sexual abuse as a risk factor for sexual risk behaviours among socially disadvantaged adolescents in Ibadan Nigeria.
article_title,433667,"Norton, Waterlow and Braden scores: a review of the literature and a comparison between the scores and clinical judgement",Norton Waterlow and Braden scores: a review of the literature and a comparison between the scores and clinical judgement
article_title,530323,"Strategies for partner notification for sexually transmitted infections, including HIV.",Strategies for partner notification for sexually transmitted infections including HIV.
article_title,730822,"Prevention of phantom pain after major lower limb amputation by epidural infusion of diamorphine, clonidine and bupivacaine",Prevention of phantom pain after major lower limb amputation by epidural infusion of diamorphine clonidine and bupivacaine
article_title,42247,"Gender differences in personal, social and environmental influences on active travel to and from school for Australian adolescents.",Gender differences in personal social and environmental influences on active travel to and from school for Australian adolescents.
article_title,548616,"Educating Emergent Bilinguals: Policies, Programs, and Practices for English Language Learners. Language & Literacy Series",Educating Emergent Bilinguals: Policies Programs and Practices for English Language Learners. Language & Literacy Series
article_title,173830,"Advances in allergic skin disease, anaphylaxis, and hypersensitivity reactions to foods, drugs, and insects",Advances in allergic skin disease anaphylaxis and hypersensitivity reactions to foods drugs and insects
article_title,852927,"Phase II study of epirubicin, oxaliplatin and docetaxel combination in metastatic gastric or gastroesophageal junction adenocarcinoma.",Phase II study of epirubicin oxaliplatin and docetaxel combination in metastatic gastric or gastroesophageal junction adenocarcinoma.
article_title,572010,"A pilot study of rituximab in patients with recurrent, classic Hodgkin disease.",A pilot study of rituximab in patients with recurrent classic Hodgkin disease.
article_title,574309,"Three-year Outcomes in de Novo Liver Transplant Patients     Receiving Everolimus with Reduced Tacrolimus: Follow-Up Results from     a Randomized, Multicenter Study",Three-year Outcomes in de Novo Liver Transplant Patients     Receiving Everolimus with Reduced Tacrolimus: Follow-Up Results from     a Randomized Multicenter Study
article_title,140274,"Here to stay. An interview with Dr. David Satcher, Director, U.S. Centers for Disease Control and Prevention.",Here to stay. An interview with Dr. David Satcher Director U.S. Centers for Disease Control and Prevention.
article_title,761104,"Infusing Tolerance, Diversity, and Social Personal Curriculum into Inclusive Social Studies Classes Using Family Portraits and Contextual Teaching and Learning",Infusing Tolerance Diversity and Social Personal Curriculum into Inclusive Social Studies Classes Using Family Portraits and Contextual Teaching and Learning
article_title,420138,"Dietary practices of ballet, jazz, and modern dancers",Dietary practices of ballet jazz and modern dancers
article_title,72089,"Clinical pharmacokinetics of Icotinib, an anti-cancer drug: evaluation of dose proportionality, food effect, and tolerability in healthy subjects.",Clinical pharmacokinetics of Icotinib an anti-cancer drug: evaluation of dose proportionality food effect and tolerability in healthy subjects.
article_title,847287,"A qualitative exploration of the cancer experience among long-term survivors: comparisons by cancer type, ethnicity, gender, and age.",A qualitative exploration of the cancer experience among long-term survivors: comparisons by cancer type ethnicity gender and age.
