Attribute: id, MSE: nan, Jaccard: 0.0
Attribute: jounral_abbreviation, MSE: nan, Jaccard: 0.050808314087759765
Attribute: article_title, MSE: nan, Jaccard: 0.23964757709251105
Attribute: journal_title, MSE: nan, Jaccard: 0.48630516726451867
Attribute: article_language, MSE: nan, Jaccard: 0.11428571428571432
Attribute: article_jcreated_at, MSE: nan, Jaccard: 0.7451219512195122
Attribute: journal_issn, MSE: nan, Jaccard: 0.34890545567725395
Attribute: article_jvolumn, MSE: nan, Jaccard: 0.0
Attribute: article_pagination, MSE: nan, Jaccard: 0.09781420765027327
Attribute: article_jissue, MSE: nan, Jaccard: 0.0
Attribute: author_list, MSE: nan, Jaccard: 0.93340922026181
º”»®ªÏ∫œæ‡¿Î: 0.1371044367063342
