Attribute: index, MSE: nan, Jaccard: 0.0
Attribute: fname, MSE: nan, Jaccard: 0.0022151898734177333
Attribute: lname, MSE: nan, Jaccard: 0.006929133858267766
Attribute: gender, MSE: nan, Jaccard: 0.0
Attribute: areacode, MSE: nan, Jaccard: 0.04431132725573905
Attribute: phone, MSE: nan, Jaccard: 0.0
Attribute: city, MSE: nan, Jaccard: 0.01957102408298561
Attribute: state, MSE: nan, Jaccard: 0.06952087920193084
Attribute: zip, MSE: nan, Jaccard: 0.02064386460335399
Attribute: maritalstatus, MSE: nan, Jaccard: 0.0
Attribute: haschild, MSE: nan, Jaccard: 0.01587315647282872
Attribute: salary, MSE: nan, Jaccard: 0.0
Attribute: rate, MSE: 0.0, Jaccard: 0.0
Attribute: singleexemp, MSE: nan, Jaccard: 0.9985116094463187
Attribute: marriedexemp, MSE: nan, Jaccard: 0.9705952583243651
Attribute: childexemp, MSE: nan, Jaccard: 0.9756923076923076
º”»®ªÏ∫œæ‡¿Î: 0.09762074221285985
