Attribute,Index,Dirty Value,Cleaned Value
sched_dep_time,117,6:59 AM,06:59 AM
sched_dep_time,126,empty,07:27 AM
sched_dep_time,147,empty,07:27 AM
sched_dep_time,201,04:5 PM,04:55 PM
sched_dep_time,215,06:59 AeM,06:59 AM
sched_dep_time,231,empty,07:27 AM
sched_dep_time,240,04:00 jPM,05:30 PM
sched_dep_time,306,06:5k9 AM,06:59 AM
sched_dep_time,340,0:40 AM,06:40 AM
sched_dep_time,359,empty,07:27 AM
sched_dep_time,362,empty,07:27 AM
sched_dep_time,389,04:f55 PM,04:55 PM
sched_dep_time,404,0659 AM,06:59 AM
sched_dep_time,413,empty,07:27 AM
sched_dep_time,454,empty,07:27 AM
sched_dep_time,479,empty,07:27 AM
sched_dep_time,514,empty,07:27 AM
sched_dep_time,588,0455 PM,04:55 PM
sched_dep_time,592,empty,07:27 AM
sched_dep_time,603,06:9 AM,06:59 AM
sched_dep_time,624,02:5 PM,02:55 PM
sched_dep_time,670,empty,07:27 AM
sched_dep_time,673,empty,07:27 AM
sched_dep_time,680,04:55PM,04:55 PM
sched_dep_time,694,06:59 AfM,06:59 AM
sched_dep_time,726,empty,07:27 AM
sched_dep_time,727,empty,07:27 AM
sched_dep_time,775,06:59 AwM,06:59 AM
sched_dep_time,794,06:59 M,06:59 AM
sched_dep_time,825,empty,07:27 AM
sched_dep_time,833,empty,07:27 AM
sched_dep_time,852,12:5 PM,12:57 PM
sched_dep_time,858,01:55 PdM,01:55 PM
sched_dep_time,862,04:55P M,04:55 PM
sched_dep_time,863,03:50n PM,03:50 PM
sched_dep_time,870,1215 PM,12:15 PM
sched_dep_time,876,0:59 AM,06:59 AM
sched_dep_time,887,0:55 PM,02:55 PM
sched_dep_time,897,0835 AM,08:35 AM
sched_dep_time,940,empty,07:27 AM
sched_dep_time,952,c08:20 PM,08:20 PM
sched_dep_time,1040,0:59 AM,06:59 AM
sched_dep_time,1046,empty,07:27 AM
sched_dep_time,1052,empty,07:27 AM
sched_dep_time,1088,empty,07:27 AM
sched_dep_time,1108,05:25 sPM,05:25 PM
sched_dep_time,1116,07:15PM,07:15 PM
sched_dep_time,1121,04:5 PM,04:55 PM
sched_dep_time,1135,b06:59 AM,06:59 AM
sched_dep_time,1174,08:41 AxM,08:41 AM
sched_dep_time,1206,empty,07:27 AM
sched_dep_time,1259,02:z30 PM,02:30 PM
sched_dep_time,1275,04:5 PM,04:55 PM
sched_dep_time,1290,06:5 AM,06:59 AM
sched_dep_time,1315,11:3 AM,11:35 AM
sched_dep_time,1328,empty,07:27 AM
sched_dep_time,1329,empty,07:27 AM
sched_dep_time,1335,empty,07:27 AM
sched_dep_time,1347,empty,07:27 AM
sched_dep_time,1388,06:5d9 AM,06:59 AM
sched_dep_time,1409,03:0 PM,03:05 PM
sched_dep_time,1451,empty,07:27 AM
sched_dep_time,1454,empty,07:27 AM
sched_dep_time,1464,empty,07:27 AM
sched_dep_time,1469,1025 AM,10:25 AM
sched_dep_time,1479,1200 PM,12:00 PM
sched_dep_time,1509,empty,07:27 AM
sched_dep_time,1552,empty,07:27 AM
sched_dep_time,1554,06:59 AfM,06:59 AM
sched_dep_time,1573,09g:05 AM,09:05 AM
sched_dep_time,1613,0455 PM,04:55 PM
sched_dep_time,1621,06:59 AbM,06:59 AM
sched_dep_time,1676,empty,07:27 AM
sched_dep_time,1699,m07:10 AM,07:10 AM
sched_dep_time,1700,4:55 PM,04:55 PM
sched_dep_time,1709,06:5t9 AM,06:59 AM
