Attribute,Index,Clean Value,Cleaned Value
beer_name,1535,kentucky k?lsch,kentucky kölsch
beer_name,1738,"the kimmie, the yink and the holy gose",the kimmie the yink and the holy gose
beer_name,1640,aslan k?lsch,aslan kölsch
beer_name,1408,k?lsch 151,kölsch 151
beer_name,2204,post time k?lsch,post time kölsch
beer_name,1802,"you're my boy, blue",you're my boy blue
beer_name,2654,32°/50° k?lsch,32°/50° kölsch
beer_name,129,heiner brau k?lsch,heiner brau kölsch
beer_name,1804,mj?llnir,mjöllnir
beer_name,1452,laimas k?lsch style ale,laimas kölsch style ale
beer_name,2309,sunbru k?lsch,sunbru kölsch
beer_name,178,sunbru k?lsch,sunbru kölsch
beer_name,1034,cabrillo k?lsch,cabrillo kölsch
beer_name,2142,screamin??pumpkin,screamin�?pumpkin
beer_name,195,lancaster german style k?lsch,lancaster german style kölsch
beer_name,1081,occidental k?lsch,occidental kölsch
beer_name,1087,side kick k?lsch,side kick kölsch
beer_name,1760,greybeard??ipa,greybeard�?ipa
beer_name,92,colorado k?lsch,colorado kölsch
beer_name,105,k?ld lager (2010),köld lager (2010)
beer_name,936,loafin br?u,loafin bräu
style,2217,k?lsch,kölsch
style,1535,k?lsch,kölsch
style,550,k?lsch,kölsch
style,1640,k?lsch,kölsch
style,1579,m?rzen / oktoberfest,märzen / oktoberfest
style,1401,k?lsch,kölsch
style,1408,k?lsch,kölsch
style,1613,m?rzen / oktoberfest,märzen / oktoberfest
style,1281,m?rzen / oktoberfest,märzen / oktoberfest
style,2204,k?lsch,kölsch
style,2654,k?lsch,kölsch
style,427,k?lsch,kölsch
style,2055,k?lsch,kölsch
style,2019,k?lsch,kölsch
style,2079,m?rzen / oktoberfest,märzen / oktoberfest
style,2011,m?rzen / oktoberfest,märzen / oktoberfest
style,2438,k?lsch,kölsch
style,129,k?lsch,kölsch
style,681,k?lsch,kölsch
style,1311,k?lsch,kölsch
style,1452,k?lsch,kölsch
style,1968,k?lsch,kölsch
style,2659,k?lsch,kölsch
style,2309,k?lsch,kölsch
style,178,k?lsch,kölsch
style,1300,k?lsch,kölsch
style,1034,k?lsch,kölsch
style,930,m?rzen / oktoberfest,märzen / oktoberfest
style,539,m?rzen / oktoberfest,märzen / oktoberfest
style,2461,m?rzen / oktoberfest,märzen / oktoberfest
style,1567,m?rzen / oktoberfest,märzen / oktoberfest
style,1380,k?lsch,kölsch
style,1313,m?rzen / oktoberfest,märzen / oktoberfest
style,769,k?lsch,kölsch
style,192,k?lsch,kölsch
style,989,m?rzen / oktoberfest,märzen / oktoberfest
style,2383,m?rzen / oktoberfest,märzen / oktoberfest
style,1458,m?rzen / oktoberfest,märzen / oktoberfest
style,1235,k?lsch,kölsch
style,195,k?lsch,kölsch
style,475,k?lsch,kölsch
style,1816,k?lsch,kölsch
style,1626,m?rzen / oktoberfest,märzen / oktoberfest
style,2662,k?lsch,kölsch
style,1617,m?rzen / oktoberfest,märzen / oktoberfest
style,314,m?rzen / oktoberfest,märzen / oktoberfest
style,1081,k?lsch,kölsch
style,696,k?lsch,kölsch
style,1087,k?lsch,kölsch
style,417,m?rzen / oktoberfest,märzen / oktoberfest
style,1992,m?rzen / oktoberfest,märzen / oktoberfest
style,2373,m?rzen / oktoberfest,märzen / oktoberfest
style,1552,k?lsch,kölsch
style,1864,k?lsch,kölsch
style,1995,m?rzen / oktoberfest,märzen / oktoberfest
style,307,m?rzen / oktoberfest,märzen / oktoberfest
style,166,m?rzen / oktoberfest,märzen / oktoberfest
style,1798,k?lsch,kölsch
style,1482,m?rzen / oktoberfest,märzen / oktoberfest
style,1969,k?lsch,kölsch
style,369,m?rzen / oktoberfest,märzen / oktoberfest
style,92,k?lsch,kölsch
style,1357,m?rzen / oktoberfest,märzen / oktoberfest
style,650,k?lsch,kölsch
style,456,m?rzen / oktoberfest,märzen / oktoberfest
style,1410,k?lsch,kölsch
style,874,m?rzen / oktoberfest,märzen / oktoberfest
style,526,m?rzen / oktoberfest,märzen / oktoberfest
style,2035,k?lsch,kölsch
style,1042,m?rzen / oktoberfest,märzen / oktoberfest
style,1645,m?rzen / oktoberfest,märzen / oktoberfest
style,1514,k?lsch,kölsch
ounces,1593,12,8.4
ounces,1592,12,8.4
ounces,1024,12,8.4
ounces,976,12,8.4
ounces,876,12,8.4
ounces,802,12,8.4
ounces,801,12,8.4
ounces,800,12,8.4
ounces,799,12,8.4
ounces,797,12,8.4
ounces,796,12,8.4
ounces,531,12,8.4
ounces,432,12,8.4
ounces,353,12,8.4
ounces,321,12,8.4
ounces,173,12,8.4
ounces,11,12,8.4
ounces,10,12,8.4
ounces,9,12,8.4
ounces,1629,16,12
ounces,1349,16,12
ounces,2608,16,24
ounces,2607,16,24
ounces,2478,12,24
ounces,2471,12,24
ounces,2470,12,24
ounces,2464,16,24
ounces,2160,16,24
ounces,2158,16,24
ounces,2072,16,24
ounces,2054,16,24
ounces,2056,12,24
ounces,2055,12,24
ounces,1933,12,24
ounces,164,12,24
ounces,2183,12,19.2
ounces,2182,12,19.2
ounces,2180,12,19.2
ounces,1220,16,24
ounces,1070,12,24
ounces,590,12,24
ounces,2185,12,19.2
ounces,2184,12,19.2
ounces,2178,12,19.2
ounces,2177,12,19.2
ounces,2176,12,19.2
ounces,2359,16,24
ounces,2358,12,24
ounces,2282,12,24
ounces,2281,16,24
ounces,2280,12,24
ounces,2279,16,24
ounces,2278,12,24
ounces,2277,12,24
ounces,2275,12,24
ounces,2274,12,24
ounces,2273,12,24
ounces,43,16,12
ounces,42,16,12
ounces,2302,12,19.2
ounces,1859,16,19.2
ounces,1790,12,19.2
ounces,1752,16,19.2
ounces,1751,12,19.2
ounces,1750,12,19.2
ounces,1444,12,19.2
ounces,1252,12,19.2
ounces,992,16,19.2
ounces,933,16,19.2
ounces,892,12,19.2
ounces,828,12,19.2
ounces,806,12,19.2
ounces,755,12,19.2
ounces,754,12,19.2
ounces,726,16,19.2
ounces,720,16,19.2
ounces,661,16,19.2
ounces,585,12,19.2
ounces,565,16,19.2
ounces,391,12,19.2
ounces,388,12,19.2
ounces,8,12,19.2
ounces,7,12,19.2
ounces,6,12,19.2
ounces,5,12,19.2
ounces,4,12,19.2
ounces,1,12,19.2
ounces,1533,12,19.2
ounces,1532,12,19.2
ounces,1328,16,19.2
ounces,1175,12,19.2
ounces,1065,12,19.2
ounces,2599,12,16
ounces,1995,12,16
ounces,1934,12,16
ounces,1329,12,16
ounces,1299,12,16
ounces,1073,12,16
ounces,1072,12,16
ounces,1071,12,16
ounces,852,12,16
ounces,850,12,16
ounces,839,12,16
ounces,777,12,16
ounces,764,12,16
ounces,317,12,16
ounces,286,12,16
ounces,285,12,16
ounces,124,12,16
ounces,2574,12,24
ounces,2479,12,24
ounces,2443,12,24
ounces,2266,16,24
ounces,1962,12,24
ounces,1696,12,24
ounces,1608,12,24
ounces,1591,16,24
ounces,1388,16,24
ounces,1387,16,24
ounces,1386,16,24
ounces,1385,16,24
ounces,1020,12,24
ounces,778,16,24
ounces,630,16,24
ounces,629,16,24
ounces,628,12,24
ounces,525,16,24
ounces,512,16,24
ounces,425,16,24
ounces,424,16,24
ounces,423,16,24
ounces,422,16,24
ounces,1229,12,24
ounces,1164,12,24
ounces,662,12,24
ounces,362,12,24
ounces,361,12,24
ounces,2555,16,16.9
ounces,1736,16,16.9
ounces,1196,16,16.9
ounces,1063,16,16.9
ounces,1017,16,16.9
ounces,1009,16,16.9
ounces,912,16,16.9
ounces,765,16,16.9
ounces,676,16,16.9
ounces,595,16,16.9
ounces,537,16,16.9
ounces,412,12,16.9
ounces,105,16,16.9
ounces,104,16,16.9
ounces,103,16,16.9
ounces,102,16,16.9
ounces,101,16,16.9
ounces,2560,12,19.2
ounces,1932,12,19.2
