Attribute,Index,Dirty Value,Cleaned Value
beer_name,1796,the crowler�?,the crowler??
ounces,1293,16,12
ounces,2180,12,19.2
ounces,1220,16,24
ounces,1070,12,24
ounces,590,12,24
ounces,2120,16,12
ounces,2185,12,19.2
ounces,2273,12,24
ounces,1444,12,19.2
ounces,1252,12,19.2
ounces,992,16,19.2
ounces,7,12,19.2
ounces,1,12,19.2
ounces,1065,12,19.2
ounces,662,12,24
ounces,362,12,24
ounces,361,12,24
brewery_name,796,empty,21st amendment brewery
brewery_name,2496,empty,bent paddle brewing company
brewery_name,1762,empty,big choice brewing
brewery_name,665,empty,blue point brewing company
brewery_name,1597,empty,bohemian brewery
brewery_name,1188,empty,martin house brewing company
brewery_name,1096,empty,brindle dog brewing company
brewery_name,27,empty,buckbean brewing company
brewery_name,2293,empty,crooked fence brewing company
brewery_name,1623,empty,martin house brewing company
brewery_name,2550,empty,destihl brewery
brewery_name,2462,empty,firestone walker brewing company
brewery_name,2661,empty,fort point beer company
brewery_name,1399,empty,golden road brewing
brewery_name,371,empty,great river brewery
brewery_name,2313,empty,greenbrier vballey brewing company
brewery_name,2388,empty,hopworks urban brewery
brewery_name,468,empty,joseph james brewing company
brewery_name,1475,empty,macon beer company
brewery_name,2454,empty,madtree brewing company
brewery_name,1234,empty,martin house brewing company
brewery_name,1705,empty,nebraska brewing company
brewery_name,564,empty,new belgium brewing company
brewery_name,1487,empty,old forge brewing company
brewery_name,1330,empty,martin house brewing company
brewery_name,2053,empty,round guys brewing
brewery_name,1768,empty,seventh son brewing company
brewery_name,1766,empty,seventh son brewing company
brewery_name,423,empty,sixpoint craft ales
brewery_name,1708,empty,ska brewing company
brewery_name,1192,empty,ska brewing company
brewery_name,69,empty,ska brewing company
brewery_name,90,empty,steamworks brewing company
brewery_name,1410,empty,straight to ale
brewery_name,2083,empty,sun king brewing company
brewery_name,17,empty,surly brewing company
brewery_name,1196,empty,tallgrass brewing company
brewery_name,827,empty,telluride brewing company
brewery_name,2155,empty,temperance beer company
brewery_name,2562,empty,upslope brewing company
brewery_name,466,empty,upslope brewing company
brewery_name,1470,empty,wiseacre brewing company
city,1360,egle,eagle
city,2092,gradn rapids,grand rpids
city,2091,grad rapids,grandrapids
city,2023,gran rapids,grantd rapids
city,1044,grcand rapids,grand rapids
city,873,grnad rapids,grand rapids
city,1247,ashlnad,ashland
city,2080,chatham,empty
city,659,greelery,greeley
city,1159,tcalkeetna,cincinnati
city,1943,denvre,denver
city,941,chciago,chicago
city,498,springfiedl,springfield
city,2393,protland,portland
city,1124,cincinnait,cincinnati
city,1457,carlcsbad,carlsbad
city,335,prescott,presott
city,855,glenale,stevens point
city,445,glendale,stevens point
city,1659,settle,seattle
state,2263,iin,in
state,866,wya,wa
state,1520,tca,ny
state,1327,sca,ny
state,1221,cja,ny
state,811,mca,ny
state,753,cra,ny
state,523,cta,ny
state,76,nca,ny
state,2494,mni,mi
state,1901,imn,mn
state,1649,cea,ca
state,2145,sd,ny
state,1804,sd,ny
state,1602,sd,ny
state,1301,sd,ny
state,542,sd,ny
state,272,sd,ny
state,271,sd,ny
state,2078,dc,ny
state,1809,dc,ny
state,1263,dc,ny
state,1092,dc,ny
state,851,dc,ny
state,186,dc,ny
state,185,dc,ny
state,184,dc,ny
state,1210,r,or
state,730,kca,ca
state,1722,nd,ny
state,1435,nd,ny
state,1434,nd,ny
state,1777,uca,a
state,1698,oca,a
state,548,rca,a
state,498,ovr,or
state,1793,nt,ny
state,2332,c,nc
state,845,m,nm
state,547,ih,hi
state,2535,lil,il
state,1476,t,ut
state,1495,cfa,ca
state,39,kct,ct
state,2050,y,ny
state,992,coo,co
state,1175,cn,nc
state,1930,em,me
state,2576,l,il
state,2452,h,oh
state,1995,z,az
state,1683,cia,ca
state,393,yw,wy
state,1655,d,id
state,79,oc,co
