Attribute,Index,Clean Value,Cleaned Value
article_title,134,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
journal_title,16,British Journal of Dermatology.,British Journal of Dermatology. 
journal_title,49,The Journal of clinical psychiatry,The Journal o clinical psychiatry
journal_title,102,Cognitive Processing,empty
journal_title,134,BMJ 2006 333:939, BMJ 2006 333:939
journal_title,296,Tumour biology : the journal of the International Society for Oncodevelopmental Biology and Medicine,Tumour biolosgy : the journal of the International Society for Oncodevelopmental Biology and Medicine
journal_title,422,Journal of dental research,Journal yof dental research
journal_title,431,Nederlands Tijdschrift Voor Fysiotherapie,empty
journal_title,479,The International journal of developmental biology,The Intrenational journal of developmental biology
journal_title,523,Cochrane Database Syst. Rev.,Cochrae Database Syst. Rev.
journal_title,633,Onkologie,empty
journal_title,654,Stroke; a journal of cerebral circulation,rStroke; a journal of cerebral circulation
journal_title,682,Basic and Clinical Pharmacology and Toxicology,Basic and Clinical hParmacology and Toxicology
journal_title,705,BioMed research international,BioMed research internaional
journal_title,849,Ann Rheum Dis,Ann Reum Dis
journal_title,900,Clinical infectious diseases : an official publication of the Infectious Diseases Society of America,empty
journal_title,910,Cancer,aCncer
journal_title,916,Bioelectromagnetics,Bioelectroamgnetics
journal_title,959,Annals of internal medicine,Annals of iynternal medicine
journal_title,990,Acta radiologica (Stockholm Sweden : 1987),empty
journal_issn,8,1535-4970,empty
journal_issn,18,1469-493X,empty
journal_issn,19,68-Jan,Jan-68
journal_issn,23,1432-086X,1432-86X
journal_issn,30,15265161 (ISSN),empty
journal_issn,32,0195-668X,empty
journal_issn,48,1469-493X,empty
journal_issn,71,0008-543X,empty
journal_issn,78,0929-693X,empty
journal_issn,86,9788480000000,empty
journal_issn,114,0143-991X,empty
journal_issn,128,1840-0132 1840-2445 (electronic),empty
journal_issn,129,1051-0443,0035-9157 (Print) 0035-9157
journal_issn,130,-7518,0035-9157 (Print) 0035-9157
journal_issn,132,37-Feb,Feb-37
journal_issn,138,1170-7690,empty
journal_issn,195,14402440,empty
journal_issn,234,0002-9378 (Print) 0002-9378,0002-9378 (Print)x 0002-9378
journal_issn,236,47-Jan,Jan-47
journal_issn,258,0143-005X,empty
journal_issn,261,0361-073X     1096-4657,empty
journal_issn,265,1931-3543,empty
journal_issn,295,1573-3955     1875-631X,empty
journal_issn,298,0300-8878,empty
journal_issn,310,1931-3543,empty
journal_issn,321,420980,empty
journal_issn,348,1462-8910,1463-1318
journal_issn,352,0012-835X,empty
journal_issn,367,1750-497X,empty
journal_issn,370,9518398,empty
journal_issn,392,62-Feb,Feb-62
journal_issn,395,1098-4275,empty
journal_issn,403,13598546,empty
journal_issn,421,1745-834X     1745-8358,empty
journal_issn,431,0377-208X,empty
journal_issn,435,65-Feb,Feb-65
journal_issn,448,1557-170X,empty
journal_issn,450,1170-7690,empty
journal_issn,465,1178-7090,11j78-7090
journal_issn,490,1098-4275,empty
journal_issn,508,53-Nov,Nov-53
journal_issn,523,1469-493X,empty
journal_issn,527,0962-7480,0962-480
journal_issn,567,1474-547X,empty
journal_issn,592,0143-005X,empty
journal_issn,621,09663622 (ISSN),empty
journal_issn,625,empty,nNULL
journal_issn,633,0378-584X,empty
journal_issn,643,0737-1209,1525-1446
journal_issn,644,22-Sep,1524-4539
journal_issn,645,55-Jan,Jan-55
journal_issn,659,0039-2499,1524-4628
journal_issn,691,60-Sep,Sep-60
journal_issn,703,1469-493X,empty
journal_issn,736,1523-536X,empty
journal_issn,739,0732-183X,empty
journal_issn,747,67-May,Mar-67
journal_issn,766,1098-240X,empty
journal_issn,798,0363-5023,0363-503
journal_issn,805,0093-934X,empty
journal_issn,828,14-Feb,1532-5415
journal_issn,832,0008-543X,empty
journal_issn,849,67-May,Mar-67
journal_issn,855,0025-7931,1423-0356
journal_issn,859,1098-4275,empty
journal_issn,867,1469-493X,empty
journal_issn,889,1932-6203,1932-6230
journal_issn,894,0903-1936,1399-3003
journal_issn,915,1057-9249,1099-1611
journal_issn,928,1098-4275,empty
journal_issn,941,1462-2416,empty
journal_issn,955,0893-133X,empty
journal_issn,970,empty,NhULL
journal_issn,984,65-Feb,Feb-65
journal_issn,990,1600-0455,empty
journal_issn,991,65-Feb,eFb-65
