Attribute,Index,Dirty Value,Cleaned Value
journal_title,7,empty,British Journal of Anaesthesia
journal_title,33,empty,British Journal of Anaesthesia
journal_title,120,empty,British Journal of Anaesthesia
journal_title,266,empty,British Journal of Anaesthesia
journal_title,340,empty,British Journal of Anaesthesia
journal_title,618,empty,British Journal of Anaesthesia
journal_title,690,empty,British Journal of Anaesthesia
journal_title,700,empty,British Journal of Anaesthesia
journal_title,777,empty,British Journal of Anaesthesia
journal_title,902,empty,British Journal of Anaesthesia
journal_title,986,empty,British Journal of Anaesthesia
