Attribute,Index,Dirty Value,Cleaned Value,Clean Value
journal_title,278,annual abstract supplement,operative dentistry,annual abstract supplement
journal_title,305,rev med chir soc med nat iasi,empty,rev med chir soc med nat iasi
journal_title,342,acta neurochir suppl (wien),empty,acta neurochir suppl (wien)
journal_title,399,int. j.  pharmcy pharm. sci.,empty,int. j.  pharmcy pharm. sci.
journal_title,441,j. am. geriatr. soc.,empty,j. am. geriatr. soc.
journal_title,469,sugr. endosc. interv. tech.,empty,surg. endosc. interv. tech.
journal_title,505,takayasusche arteriitis mit multiplen intrakraniellen aneurysmen,empty,takayasusche arteriitis mit multiplen intrakraniellen aneurysmen
journal_title,531,dissertation abstracts international a: the humanities and social sciences,empty,dissertation abstracts international a: the humanities and social sciences
journal_title,626,sleep,prvention de l'insuffisance rnale induite par les produits de contrnste iodes,sleep
journal_title,681,science and children,psychological medicine,science and children
journal_title,759,nurs stand,empty,nurs stand
journal_title,798,j hand surg am,the european respiratory journal,j hand surg am
journal_title,810,das mikorklima der wohnungen und seine hygienische normierung.,czasopismo stomatologiczne,das mikorklima der wohnungen und seine hygienische normierung.
journal_title,818,acta endocrinologica. supplementum,empty,acta endocrinologica. supplementum
journal_title,912,plos medicine,journal of korean neurosurgical society,plos medicine
journal_issn,8,0035-9157 (print) 0035-9157,empty,1535-4970
journal_issn,9,0035-9157 (print) 0035-9157,empty,1385-4046
journal_issn,11,0035-9157 (print) 0035-9157,empty,1361-9209
journal_issn,19,jan-68,empty,68-jan
journal_issn,64,0091-6749 (print),empty,0091-6749 (print)
journal_issn,102,1612-4782     1612-47h90,empty,1612-4782     1612-4790
journal_issn,119,2115-7863(electronic);2115-8789(print),empty,2115-7863(electronic);2115-8789(print)
journal_issn,128,1840-0132 1840-2445 (electronic),empty,1840-0132 1840-2445 (electronic)
journal_issn,132,feb-37,empty,37-feb
journal_issn,159,15-jan,empty,15-jan
journal_issn,190,0033-8389 do  - http://dx.doi.org/10.1016/j.rcl.2010.07.015,empty,0033-8389 do  - http://dx.doi.org/10.1016/j.rcl.2010.07.015
journal_issn,338,nct00227591/clinicaltrials.gov nct00509899/clinicaltrials.gov nct00599547/clinicaltrials.gov nct00631462/clinicaltrials.gov nct00934544/clinicaltrials.gov nct00952289/clinicaltrials.gov nct01420770/clinicaltrials.gov nct01437787/clinicaltrials.gov,empty,nct00227591/clinicaltrials.gov nct00509899/clinicaltrials.gov nct00599547/clinicaltrials.gov nct00631462/clinicaltrials.gov nct00934544/clinicaltrials.gov nct00952289/clinicaltrials.gov nct01420770/clinicaltrials.gov nct01437787/clinicaltrials.gov
journal_issn,379,0098-4108 (print)     0098-4108 (linking),empty,0098-4108 (print)     0098-4108 (linking)
journal_issn,441,14-feb,empty,14-feb
journal_issn,519,147n0-2738,empty,1470-2738
journal_issn,588,0268-0033 do  - http://dx.doi.org/10.1016/j.clinbiomech.2015.03.009,empty,0268-0033 do  - http://dx.doi.org/10.1016/j.clinbiomech.2015.03.009
journal_issn,608,0167-2789 do  - http://dx.doi.org/10.1016/j.physd.2013.07.012,empty,0167-2789 do  - http://dx.doi.org/10.1016/j.physd.2013.07.012
journal_issn,653,1076-6294 (print)     1076-6294,empty,1076-6294 (print)     1076-6294
journal_issn,687,1020-33w97,empty,1020-3397
journal_issn,755,0546-1766 (print) 0546-1766,0964-4563,0546-1766 (print) 0546-1766
journal_issn,883,1478-7547 (electronic),empty,1478-7547 (electronic)
journal_issn,913,0361-6843 print 1471-6402 electronic,empty,0361-6843 print 1471-6402 electronic
journal_issn,963,0966-6362 do  - http://dx.doi.org/10.1016/j.gaitpost.2010.04.002,empty,0966-6362 do  - http://dx.doi.org/10.1016/j.gaitpost.2010.04.002
