Attribute,Index,Dirty Value,Cleaned Value
HospitalName,27,southeast alabama medxcal center,southeast alabama medical center
HospitalName,132,crenshaw cxmmunity hxspital,crenshaw community hospital
HospitalName,172,marshall medical cenxer norxh,marshall medical center north
HospitalName,244,dexalb regional medical center,dekalb regional medical center
HospitalName,338,floxers hospital,flowers hospital
HospitalName,385,univ ox south alabama medical center,univ of south alabama medical center
HospitalName,386,xniv of soxth alabama medical center,univ of south alabama medical center
HospitalName,449,xlxskx regionxl hospitxl,alaska regional hospital
HospitalName,533,baptist medical cexter south,baptist medical center south
HospitalName,561,jaxkson hospital & xlinix inx,jackson hospital & clinic inc
HospitalName,655,wedowee hosxital,wedowee hospital
HospitalName,698,communitx hospital inc,community hospital inc
HospitalName,711,communixy hospixal inc,community hospital inc
HospitalName,731,cullmxn regionxl medicxl center,cullman regional medical center
HospitalName,759,andaxusia regionax hospitax,andalusia regional hospital
HospitalName,766,andaluxia regional hoxpital,andalusia regional hospital
HospitalName,778,huntsvxlle hospxtal,huntsville hospital
HospitalName,904,rivxrvixw rxgional mxdical cxntxr,riverview regional medical center
HospitalName,922,xivexview xegional medical centex,riverview regional medical center
HospitalName,923,riverview rexional medical center,riverview regional medical center
HospitalName,939,georgiaxa hospital,georgiana hospital
HospitalName,957,medixal xenter enterprise,medical center enterprise
HospitalName,963,medxcal center enterprxse,medical center enterprise
HospitalName,988,st vincents bxount,st vincents blount
Address1,58,2505xuxsxhighwayx431xnorth,2505 u s highway 431 north
Address1,95,702xnxmainxst,702 n main st
Address1,317,301xeastx18thxst,301 east 18th st
Address1,335,4370xwestxmainxstreet,4370 west main street
Address1,364,1530xuxsxhighwayx43,1530 u s highway 43
Address1,394,124xsxmemorialxdr,124 s memorial dr
Address1,432,315xwxhickoryxst,315 w hickory st
Address1,473,126xhospitalxave,126 hospital ave
Address1,957,400xnxedwardsxstreet,400 n edwards street
City,4,birminghxm,birmingham
City,8,birmingxam,birmingham
City,11,sheffxeld,sheffield
City,80,fxorence,florence
City,89,florxncx,florence
City,94,flxrence,florence
City,208,birmixgham,birmingham
City,213,bxrmxngham,birmingham
City,229,fort payxe,fort payne
City,312,axxistox,anniston
City,368,winfielx,winfield
City,438,anchoraxe,anchorage
City,518,montxomery,montgomery
City,579,vallex,valley
City,591,vxlley,valley
City,655,wxdowxx,wedowee
City,691,birminxham,birmingham
City,697,tallaxxee,tallassee
City,737,cuxxman,cullman
City,757,andaluxia,andalusia
City,773,annxston,anniston
City,822,gxdsden,gadsden
City,856,hamilxon,hamilton
City,896,faxette,fayette
City,950,geoxgiana,georgiana
City,961,enterprxse,enterprise
City,969,xntxrprisx,enterprise
City,986,onxonta,oneonta
ZipCode,45,x5957,35957
ZipCode,64,3595x,35957
ZipCode,71,3563x,35631
ZipCode,94,3563x,35631
ZipCode,138,36x49,36049
ZipCode,140,360x9,36049
ZipCode,150,3x640,35640
ZipCode,158,3x640,35640
ZipCode,197,3x23x,35235
ZipCode,233,359x8,35968
ZipCode,268,x6784,36784
ZipCode,284,3x007,35007
ZipCode,291,x5007,35007
ZipCode,326,36x01,36201
ZipCode,333,3x305,36305
ZipCode,341,x6x05,36305
ZipCode,367,3xx94,35594
ZipCode,376,3xx94,35594
ZipCode,407,3x0x7,36067
