Attribute,Index,Clean Value,Cleaned Value
brewery_id,2518,267,67
style,1796,32,32.0 oz.
ounces,2262,12,12.0 OZ.
ounces,2097,12,12.0 OZ.
ounces,1036,8.4,8.4 ounce
ounces,1024,12,12.0 OZ.
ounces,797,12,12.0 OZ.
ounces,11,12,12.0 OZ.
ounces,2403,12,12.0 OZ.
ounces,1920,12,12.0 OZ.
ounces,2501,12,12.0 OZ.
ounces,1292,12,12.0 OZ.
ounces,2039,12,12.0 OZ.
ounces,413,12,12.0 oz. Silo Can
ounces,1638,16,16.0 oz. Silo Can
ounces,978,12,12.0 OZ.
ounces,343,12,12.0 OZ.
ounces,1426,12,12.0 OZ.
ounces,1401,12,12.0 OZ.
ounces,1400,12,12.0 OZ.
ounces,183,12,12.0 OZ.
ounces,2435,12,12.0 OZ.
ounces,2496,12,12.0 OZ.
ounces,1154,12,12.0 OZ.
ounces,1002,12,12.0 OZ.
ounces,579,12,12.0 OZ.
ounces,2153,12,12.0 OZ.
ounces,2416,16,16.0 oz. Silo Can
ounces,328,12,12.0 OZ.
ounces,792,12,12.0 OZ.
ounces,638,12,12.0 OZ.
ounces,1247,12,12.0 OZ.
ounces,2056,12,12.0 OZ.
ounces,1726,12,12.0 oz. Silo Can
ounces,2538,12,12.0 OZ.
ounces,2145,12,12.0 OZ.
ounces,2505,12,12.0 OZ.
ounces,2021,12,12.0 OZ.
ounces,1201,12,12.0 OZ.
ounces,944,12,12.0 OZ.
ounces,881,12,12.0 OZ.
ounces,673,16,16.0 oz. Silo Can
ounces,1658,12,12.0 OZ.
ounces,1960,12,12.0 OZ.
ounces,2205,12,12.0 OZ.
ounces,143,12,12.0 oz. Silo Can
ounces,2643,12,12.0 OZ.
ounces,192,12,12.0 OZ.
ounces,988,12,12.0 OZ.
ounces,2672,12,12.0 OZ.
ounces,1405,12,12.0 OZ.
ounces,1524,12,12.0 OZ.
ounces,666,12,12.0 OZ.
ounces,1667,12,12.0 OZ.
ounces,471,12,12.0 OZ.
ounces,574,12,12.0 OZ.
ounces,2033,12,12.0 oz. Silo Can
ounces,125,12,12.0 oz. Silo Can
ounces,1670,12,12.0 OZ.
ounces,960,12,12.0 OZ.
ounces,435,12,12.0 OZ.
ounces,2185,12,12.0 OZ.
ounces,2274,12,12.0 OZ.
ounces,2273,12,12.0 OZ.
ounces,2441,32,32.0 OZ.
ounces,131,12,12.0 OZ.
ounces,420,12,12.0 OZ.
ounces,757,12,12.0 OZ.
ounces,39,12,12.0 OZ.
ounces,485,12,12.0 OZ.
ounces,2070,12,12.0 OZ.
ounces,1796,empty,MA
ounces,1444,12,12.0 OZ.
ounces,1167,19.2,19.2 OZ.
ounces,955,19.2,19.2 OZ.
ounces,7,12,12.0 OZ.
ounces,1533,12,12.0 OZ.
ounces,1931,12,12.0 OZ.
ounces,1062,12,12.0 OZ.
ounces,2336,12,12.0 OZ.
ounces,2360,12,12.0 OZ.
ounces,711,12,12.0 OZ.
ounces,2229,12,12.0 OZ.
ounces,1861,12,12.0 OZ.
ounces,1006,12,12.0 OZ.
ounces,2373,12,12.0 OZ.
ounces,1877,12,12.0 OZ.
ounces,1073,12,12.0 OZ.
ounces,2443,12,12.0 OZ.
ounces,1521,12,12.0 OZ.
ounces,22,12,12.0 OZ.
ounces,1596,12,12.0 OZ.
ounces,1425,12,12.0 OZ.
ounces,1160,12,12.0 OZ.
ounces,1076,12,12.0 OZ.
ounces,2296,12,12.0 OZ.
ounces,1983,12,12.0 OZ.
ounces,1599,16,16.0 oz. Silo Can
ounces,1207,12,12.0 OZ.
ounces,1240,12,12.0 OZ.
ounces,1239,12,12.0 OZ.
ounces,1554,12,12.0 OZ.
ounces,662,12,12.0 oz. Silo Can
ounces,2575,16.9,16.9 OZ.
ounces,1278,12,12.0 OZ.
ounces,1913,12,12.0 oz. Silo Can
ounces,642,12,12.0 OZ.
ounces,2310,12,12.0 OZ.
ounces,1723,12,12.0 OZ.
ounces,2506,12,12.0 OZ.
ounces,2562,19.2,19.2 OZ.
ounces,2561,19.2,19.2 OZ.
ounces,1730,12,12.0 OZ.
ounces,1844,12,12.0 OZ.
ounces,1843,12,12.0 OZ.
ounces,1038,12,12.0 OZ.
ounces,971,12,12.0 OZ.
ounces,2146,12,12.0 OZ.
ounces,1469,12,12.0 OZ.
abv,2263,0.09,0.09%
abv,2097,0.069,0.07
abv,1979,0.061,0.06
abv,321,0.079,0.055
abv,173,0.068,0.07
abv,2324,0.055,0.06%
abv,2287,0.055,0.062
abv,2218,0.09,0.09%
abv,2217,0.046,0.045
abv,2216,0.052,0.045
abv,2685,0.125,0.13%
abv,2677,0.051,0.045
abv,2676,0.065,0.07
abv,2592,0.059,0.06%
abv,2578,0.065,0.07
abv,2102,0.056,0.06%
abv,1738,0.048,0.045
abv,1326,0.058,0.052
abv,811,0.058,0.052
abv,572,0.057,0.055
abv,523,0.069,0.07
abv,410,0.054,0.045
abv,409,0.047,0.045
abv,2039,0.085,0.09%
abv,1332,0.051,0.045
abv,980,0.082,0.08%
abv,2502,0.055,0.06%
abv,528,0.05,0.045
abv,343,0.062,0.06%
abv,2589,0.08,0.08%
abv,1228,0.048,0.045
abv,1426,0.049,0.045
abv,1876,0.06,0.06%
abv,1875,0.06,0.06%
abv,965,0.044,0.04%
abv,2105,0.038,0.04%
abv,1401,0.052,0.045
abv,2404,0.049,0.045
abv,1965,0.067,0.07
abv,183,0.049,0.045
abv,2423,0.058,0.055
abv,2420,0.068,0.07
abv,2325,0.06,0.06%
abv,2556,0.057,0.053
abv,1158,0.078,0.08%
abv,1157,0.047,0.045
abv,1155,0.056,0.06%
abv,1713,0.05,0.045
abv,34,0.051,0.045
abv,2095,0.058,0.06
abv,1256,0.099,0.095
abv,2485,0.048,0.045
abv,2449,0.073,0.07
abv,1564,0.05,0.045
abv,1321,0.055,0.06%
abv,1371,0.059,0.06%
abv,692,0.06,0.06%
abv,89,0.05,0.045
abv,1188,0.06,0.06%
abv,1891,0.042,0.04%
abv,1184,0.049,0.045
abv,1023,0.064,0.06%
abv,996,0.058,0.06%
abv,1427,0.056,0.06%
abv,2298,0.047,0.045
abv,2107,0.06,0.057
abv,470,0.055,0.06%
abv,193,0.062,0.07
abv,1800,0.05,0.045
abv,2619,0.058,0.06%
abv,2500,0.065,0.07
abv,2466,0.066,0.07
abv,2465,0.041,0.04%
abv,2433,0.082,0.08%
abv,2416,0.062,0.06%
abv,2240,0.056,empty
abv,1977,0.067,0.07
abv,1651,0.056,0.06%
abv,1267,0.05,0.045
abv,1266,0.09,0.09%
abv,1044,0.06,0.06%
abv,1033,0.099,0.095
abv,909,0.092,0.09%
abv,387,0.055,0.06%
abv,385,0.06,0.06%
abv,919,0.048,0.045
abv,65,0.052,0.045
abv,538,0.08,0.08%
abv,28,0.062,0.06%
abv,27,0.058,0.06%
abv,1627,0.053,0.045
abv,2608,0.065,0.07
abv,2160,0.068,0.07
abv,52,0.049,0.045
abv,49,0.043,0.04%
abv,1442,0.068,0.07
abv,2315,0.068,0.07
abv,1419,0.056,0.06
abv,792,0.061,0.07
abv,791,0.056,0.06
abv,2256,0.065,0.07
abv,2066,0.055,0.06
abv,2064,0.055,0.06
abv,1927,0.049,0.05
abv,840,0.052,0.045
abv,180,0.042,0.04%
abv,783,0.05,0.045
abv,530,0.057,0.06%
abv,2446,0.058,0.06%
abv,2052,0.068,0.07
abv,1584,0.051,0.045
abv,1182,0.051,0.045
abv,1219,0.05,0.045
abv,2080,0.08,0.08%
abv,2380,0.057,0.07
abv,2379,0.057,0.05
abv,1341,0.05,0.045
abv,1139,0.05,0.045
abv,570,0.05,0.045
abv,569,0.072,0.07
abv,545,0.05,0.045
abv,657,0.062,0.06%
abv,359,0.038,0.04%
abv,56,0.056,0.06%
abv,1393,0.06,0.07
abv,129,0.05,0.045
abv,716,0.048,0.045
abv,659,0.075,0.05
abv,2355,0.075,0.08%
abv,2293,0.049,0.045
abv,1105,0.055,0.06%
abv,1602,0.055,0.06%
abv,542,0.055,0.06%
abv,1057,0.06,0.06%
abv,1789,0.049,0.045
abv,1311,0.06,0.06%
abv,1809,0.05,0.045
abv,186,0.065,0.07
abv,1224,0.065,0.07
abv,964,0.065,0.07
abv,1623,0.072,0.07
abv,1746,0.063,0.06%
abv,2371,0.06,0.06%
abv,2251,0.075,0.08%
abv,1827,0.06,0.06%
abv,946,0.052,0.045
abv,1943,0.05,0.045
abv,1210,0.05,0.045
abv,2550,0.052,0.045
abv,2505,0.049,0.045
abv,2025,0.063,0.06%
abv,2015,0.05,0.045
abv,1887,0.049,0.045
abv,2051,0.044,0.055
abv,924,0.054,0.045
abv,1795,0.065,0.07
abv,881,0.066,0.07
abv,871,0.058,0.06
abv,1685,0.061,0.06
abv,1642,0.057,0.06%
abv,1039,0.05,0.045
abv,2004,0.05,0.045
abv,2292,0.043,0.07
abv,2604,0.049,0.045
abv,2283,0.04,0.04%
abv,1286,0.027,0.03%
abv,640,0.055,0.06%
abv,2089,0.063,0.06
abv,1454,0.05,0.045
abv,2191,0.075,0.08%
abv,2027,0.082,0.08%
abv,1858,0.055,0.06
abv,2590,0.055,0.06%
abv,1981,0.09,0.09%
abv,941,0.053,0.045
abv,935,0.08,0.08%
abv,350,0.047,0.045
abv,2554,0.055,0.06%
abv,608,0.071,0.07
abv,983,0.06,0.06%
abv,982,0.065,0.07
abv,2172,0.052,0.045
abv,2171,0.062,0.06%
abv,318,0.074,0.07
abv,2661,0.047,0.045
abv,1874,0.076,0.08%
abv,1657,0.04,0.04%
abv,2427,0.05,0.045
abv,1998,0.056,0.06%
abv,2526,0.065,0.07
abv,901,0.065,0.07
abv,858,0.056,0.06
abv,857,0.065,0.07
abv,1300,0.053,0.045
abv,1259,0.052,0.045
abv,1658,0.05,0.045
abv,1960,0.058,0.055
abv,1490,0.059,0.06
abv,1296,0.059,0.06
abv,548,0.046,0.045
abv,1000,0.056,0.06%
abv,308,0.058,0.06%
abv,2201,0.042,0.05
abv,1829,0.042,0.05
abv,581,0.042,0.05
abv,1383,0.052,0.045
abv,476,0.052,0.045
abv,930,0.057,0.055
abv,626,0.057,0.052
abv,615,0.06,0.06%
abv,441,0.056,0.06%
abv,436,0.062,0.06
abv,389,0.053,0.045
abv,2648,0.061,0.06%
abv,2646,0.083,0.08%
abv,2643,0.073,0.07
abv,1244,0.048,0.045
abv,1028,0.06,0.06%
abv,864,0.054,0.045
abv,672,0.09,0.09%
abv,539,0.059,0.055
abv,371,0.06,0.058
abv,190,0.053,0.045
abv,1106,0.05,0.045
abv,631,0.049,0.045
abv,2143,0.065,0.07
abv,2141,0.05,0.045
abv,2138,0.05,0.045
abv,1134,0.057,0.06%
abv,1380,0.05,0.045
abv,1340,0.059,0.05
abv,770,0.059,0.06%
abv,769,0.05,0.045
abv,126,0.059,0.06%
abv,181,0.048,0.045
abv,2182,0.054,0.045
abv,1894,0.062,0.05
abv,1346,0.08,0.08%
abv,889,0.055,0.06
abv,496,0.066,0.07
abv,1834,0.047,0.05
abv,1833,0.058,0.06%
abv,1605,0.078,0.07
abv,2482,0.027,0.03%
abv,2200,0.058,0.06%
abv,2199,0.066,0.07
abv,2193,0.073,0.07
abv,2385,0.056,0.06%
abv,1251,0.065,0.07
abv,1903,0.068,0.07
abv,728,0.054,0.045
abv,2609,0.058,0.06%
abv,1774,0.055,0.05
abv,2670,0.067,0.07
abv,2669,0.049,0.045
abv,2408,0.069,0.07
abv,1254,0.06,0.06%
abv,2060,0.05,0.045
abv,469,0.05,0.045
abv,468,0.093,0.085
abv,2374,0.052,0.045
abv,1560,0.058,0.06%
abv,1235,0.047,0.045
abv,1068,0.066,0.07
abv,465,0.049,0.045
abv,463,0.066,0.07
abv,1193,0.058,0.06%
abv,760,0.065,0.07
abv,759,0.065,0.07
abv,86,0.065,0.07
abv,1666,0.057,0.05
abv,781,0.04,0.04%
abv,664,0.072,0.07
abv,392,0.066,0.07
abv,2493,0.068,0.07
abv,2492,0.05,0.045
abv,473,0.05,0.045
abv,2332,0.06,0.06%
abv,2330,0.075,0.08%
abv,2584,0.046,0.045
abv,700,0.048,0.045
abv,2033,0.038,0.04%
abv,2311,0.054,0.045
abv,125,0.058,0.06%
abv,1815,0.05,0.045
abv,75,0.065,0.07
abv,1628,0.072,0.07
abv,1484,0.05,0.045
abv,1672,0.06,0.05
abv,1262,0.047,0.045
abv,1783,0.072,0.07
abv,725,0.097,0.095
abv,1231,0.065,0.07
abv,956,0.047,0.045
abv,686,0.06,0.06%
abv,1429,0.055,0.06%
abv,1271,0.05,0.045
abv,547,0.05,0.045
abv,1986,0.069,0.07
abv,2184,0.042,0.053
abv,1508,0.053,0.045
abv,586,0.05,0.045
abv,434,0.057,0.07
abv,2668,0.08,0.08%
abv,2533,0.075,0.08%
abv,2532,0.075,0.08%
abv,1080,0.075,0.07
abv,932,0.065,0.07
abv,172,0.048,0.045
abv,2359,0.054,0.045
abv,2282,0.05,0.045
abv,337,0.055,0.06%
abv,1495,0.055,0.06
abv,719,0.054,0.045
abv,1907,0.056,0.05
abv,1051,0.046,0.045
abv,1046,0.05,0.045
abv,408,0.05,0.045
abv,2224,0.052,0.045
abv,1291,0.086,0.09%
abv,1537,0.053,0.045
abv,1536,0.074,0.07
abv,746,0.074,0.07
abv,1758,0.066,0.07
abv,1978,0.056,0.06
abv,1737,0.055,0.06%
abv,1690,0.048,0.045
abv,71,0.052,0.045
abv,885,0.062,0.06%
abv,43,0.09,0.09%
abv,40,0.05,0.045
abv,2272,0.05,0.045
abv,486,0.065,0.07
abv,484,0.049,0.045
abv,2041,0.052,0.045
abv,646,0.054,0.045
abv,2050,0.042,0.05
abv,1811,0.055,0.06%
abv,1622,0.051,0.045
abv,2691,0.049,0.045
abv,2690,0.048,0.045
abv,1854,0.069,0.07
abv,1226,0.063,0.055
abv,999,0.067,0.07
abv,2069,0.048,0.045
abv,1130,0.051,0.045
abv,2335,0.092,0.09%
abv,1720,0.051,0.045
abv,603,0.06,0.06%
abv,602,0.05,0.045
abv,600,0.05,0.045
abv,1394,0.046,0.045
abv,891,0.075,0.08%
abv,508,0.048,0.045
abv,1530,0.053,0.045
abv,1529,0.055,0.06%
abv,1528,0.067,0.07
abv,1526,0.041,0.04%
abv,2302,0.049,0.045
abv,1167,0.053,0.045
abv,806,0.087,0.085
abv,720,0.09,0.09%
abv,565,0.08,0.08%
abv,7,0.053,0.045
abv,787,0.08,0.08%
abv,744,0.065,0.07
abv,742,0.065,0.07
abv,734,0.052,0.045
abv,1533,0.087,0.085
abv,1532,0.099,0.095
abv,1328,0.08,0.085
abv,1908,0.055,0.06%
abv,697,0.053,0.045
abv,1048,0.062,0.06%
abv,775,0.055,0.06%
abv,1087,0.05,0.045
abv,1931,0.046,0.045
abv,2630,0.065,0.07
abv,1061,0.047,0.045
abv,1060,0.049,0.045
abv,1055,0.047,0.045
abv,1636,0.056,0.06%
abv,2336,0.05,0.045
abv,1463,0.069,0.07
abv,188,0.058,0.06
abv,399,0.052,0.045
abv,82,0.052,0.045
abv,1861,0.099,0.095
abv,1718,0.051,0.045
abv,830,0.051,0.045
abv,938,0.062,0.06
abv,2513,0.047,0.07
