Attribute,Index,Clean Value,Cleaned Value
article_title,119,Effet d'une intervention non mdicamenteuse Voix d'Or sur les troubles du comportement dans la maladie d'Alzheimer ou une maladie apparente. [Effect of a non-pharmacological intervention Voix d'Or on behavior disturbances in Alzheimer disease and associated disorders.],Effet d'une intervention non m̩dicamenteuse Voix d'Or� sur les troubles du comportement dans la maladie d'Alzheimer ou une maladie apparent̩e. [Effect of a non-pharmacological intervention Voix d'Or� on behavior disturbances in Alzheimer disease and associated disorders.]
article_title,134,Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow, Mobilisation with movement and exercise corticosteroid injection or wait and see for tennis elbow
article_title,173,Association of transforming growth factor-_1__T869C G915C and C509T gene polymorphisms with rheumatoid arthritis risk.,Association of transforming growth factor-�_1���T869C G915C and C509T gene polymorphisms with rheumatoid arthritis risk.
article_title,417,Safety and efficacy of weekly nab_-paclitaxel in combination with carboplatin as first-line therapy in elderly patients with advanced non-small-cell lung cancer.,Safety and efficacy of weekly nab���-paclitaxel in combination with carboplatin as first-line therapy in elderly patients with advanced non-small-cell lung cancer.
article_title,533,The parvalbumin-positive interneurons in the mouse dentate gyrus express GABAA receptor subunits 1 _2 and  along their extrasynaptic cell membrane.,The parvalbumin-positive interneurons in the mouse dentate gyrus express GABAA receptor subunits �1 �_2 and � along their extrasynaptic cell membrane.
article_title,562,ELDERLY AND PHYSICAL ACTIVITY: BENEFITS AND CHALLENGES IN SEARCH FOR LIFE QUALITY.,How assistive technology use by individuals with disabilities impacts their caregivers: a systematic review of the research evidence.
article_title,608,Optical turbulence: weak turbulence condensates and collapsing filaments in the nonlinear Schr_dinger equation,Optical turbulence: weak turbulence condensates and collapsing filaments in the nonlinear Schr̦dinger equation
article_title,670,Constructing differences: A qualitative analysis of teachers__ perspectives on linguistic and cultural diversity,Constructing differences: A qualitative analysis of teachers�۪ perspectives on linguistic and cultural diversity
article_title,702,Lung function efficacy of olodaterol qd delivered via respimat vs placebo and formoterol bid in patients with COPD: two 48-week studies [Abstract],Lung function efficacy of olodaterol qd delivered via respimat� vs placebo and formoterol bid in patients with COPD: two 48-week studies [Abstract]
article_title,797,Bruxismo em crian_as Bruxism in children,Bruxismo em crian̤as Bruxism in children
article_title,857,The Antiseptic Efficacy and Tolerability of Lavasept 0.04% on Acute Traumatic Wounds,The Antiseptic Efficacy and Tolerability of Lavasept� 04% on Acute Traumatic Wounds
article_title,882,Effects on prolongation of Bazett__s corrected QT interval of seven second-generation antipsychotics in the treatment of schizophrenia: A meta-analysis,Effects on prolongation of Bazett�۪s corrected QT interval of seven second-generation antipsychotics in the treatment of schizophrenia: A meta-analysis
article_title,885,empty,-1
article_title,953,Preval_ncia de bruxismo e dist_rbio do sono em deficientes visuais Prevalence of bruxism and sleep disorders in the visually impaired individuals,Preval̻ncia de bruxismo e dist̼rbio do sono em deficientes visuais Prevalence of bruxism and sleep disorders in the visually impaired individuals
article_title,966,18F-flumazenil: a _-aminobutyric acid A-specific PET radiotracer for the localization of drug-resistant temporal lobe epilepsy.,18F-flumazenil: a �_-aminobutyric acid A-specific PET radiotracer for the localization of drug-resistant temporal lobe epilepsy.
article_title,980,Mild endoplasmic reticulum stress augments the proinflammatory effect of IL-1_ in pancreatic rat _-cells via the IRE1/XBP1s pathway.,Mild endoplasmic reticulum stress augments the proinflammatory effect of IL-1�_ in pancreatic rat �_-cells via the IRE1�/XBP1s pathway.
journal_title,16,British Journal of Dermatology.,British Journal of Dermatology. 
journal_title,119,Griatrie et Psychologie Neuropsychiatrie du Vieillissement,G̩riatrie et Psychologie Neuropsychiatrie du Vieillissement
journal_title,134,BMJ 2006 333:939, BMJ 2006 333:939
journal_title,159,Paliativn_ Schanzova osteotomie p_i nereponibiln_ luxaci kyeln_ho kloubu u pacient s d_tskou mozkovou obrnou v adolescentn_m v_u,Paliativn�_ Schanzova osteotomie p��i nereponibiln�_ luxaci ky��eln�_ho kloubu u pacient�� s d��tskou mozkovou obrnou v adolescentn�_m v��u
journal_title,238,Schlafst_rungen bei kritisch kranken patienten,Schlafsțrungen bei kritisch kranken patienten
journal_title,323,Actas espaolas de psiquiatr_a,Actas espa̱olas de psiquiatr�_a
journal_title,393,Cirug_a Peditrica: Organo Oficial De La Sociedad Espaola De Cirug_a Peditrica,Cirug�_a Pedi��trica: Organo Oficial De La Sociedad Espa̱ola De Cirug�_a Pedi��trica
journal_title,456,Nowoczesne biomateria_y jako opatrunki hemostatyczne w chirurgii oszczedzajacej miazsz nerki--model zwierzecy. Doniesienie wstepne.,Nowoczesne biomateria��y jako opatrunki hemostatyczne w chirurgii oszczedzajacej miazsz nerki--model zwierzecy. Doniesienie wstepne.
journal_title,609,Zeitschrift fr Erkrankungen der Atmungsorgane mit Folia bronchologica,Zeitschrift f��r Erkrankungen der Atmungsorgane mit Folia bronchologica
journal_title,771,Prvention de l'insuffisance rnale induite par les produits de contrnste iodes,Pr̩vention de l'insuffisance r̩nale induite par les produits de contrnste iodes
journal_title,788,Stomatologiia,Stomatologii��a
journal_issn,4,empty,978-1-2673-2110-7
journal_issn,6,empty,1432-0843
journal_issn,8,1535-4970,1098-4275
journal_issn,15,empty,2165-8242
journal_issn,19,68-Jan,Jan-68
journal_issn,22,empty,978-1-2673-2110-7
journal_issn,25,empty,1600-0455
journal_issn,28,empty,1872-7727
journal_issn,33,empty,978-1-2673-2110-7
journal_issn,50,empty,0390-6078
journal_issn,51,empty,1049-2089
journal_issn,55,empty,1423-0380
journal_issn,58,empty,978-1-2673-2110-7
journal_issn,67,empty,0390-6078
journal_issn,76,empty,1098-4275
journal_issn,77,empty,1423-0380
journal_issn,79,empty,1473-5571
journal_issn,88,empty,1098-4275
journal_issn,97,empty,0390-6078
journal_issn,103,empty,1049-2089
journal_issn,107,empty,1423-0380
journal_issn,108,empty,1049-2089
journal_issn,113,empty,978-1-2673-2110-7
journal_issn,118,empty,0390-6078
journal_issn,120,empty,978-1-2673-2110-7
journal_issn,121,22-Mar,Mar-22
journal_issn,127,empty,0390-6078
journal_issn,131,14-Feb,Feb-14
journal_issn,132,37-Feb,Feb-37
journal_issn,134,empty,0390-6078
journal_issn,135,empty,1098-4275
journal_issn,138,1170-7690,1423-0380
journal_issn,139,empty,1049-2089
journal_issn,140,empty,978-1-2673-2110-7
journal_issn,141,empty,1090-1981
journal_issn,142,empty,978-1-2673-2110-7
journal_issn,143,empty,1432-0843
journal_issn,146,empty,1432-0843
journal_issn,147,empty,1090-1981
journal_issn,154,empty,0951-7375
journal_issn,157,empty,1535-4970
journal_issn,159,15-Jan,Jan-15
journal_issn,161,empty,1872-7727
journal_issn,163,empty,0390-6078
journal_issn,164,empty,0390-6078
journal_issn,166,empty,1049-2089
journal_issn,167,empty,1098-4275
journal_issn,169,empty,1600-0455
journal_issn,172,empty,1049-2089
journal_issn,184,empty,1600-0455
journal_issn,186,empty,1432-2048
journal_issn,187,empty,0390-6078
journal_issn,190,0033-8389 DO  - http://dx.doi.org/10.1016/j.rcl.2010.07.015,0033-8389 DO  - http://dx.doi.org/10.1016/j.rcl.2010715
journal_issn,193,empty,1432-2048
journal_issn,196,empty,978-1-2673-2110-7
journal_issn,204,empty,1090-1981
journal_issn,216,empty,1432-0843
journal_issn,219,empty,0390-6078
journal_issn,220,empty,1098-4275
journal_issn,222,empty,1432-0843
journal_issn,223,empty,1098-4275
journal_issn,236,47-Jan,Jan-47
journal_issn,238,17-Mar,Mar-17
journal_issn,246,empty,0390-6078
journal_issn,251,empty,1423-0380
journal_issn,260,empty,Sep-22
journal_issn,262,empty,1049-2089
