Attribute,Index,Clean Value,Cleaned Value
surname,20,Kolvik,Rayne
surname,26,Milicia,Coppola
surname,32,Guoxing,Obermaier
surname,41,Haining,Coppola
surname,71,Kubicar,Coppola
surname,92,Waldherr,Andraka
surname,97,McCain,Coppola
surname,98,Kolvik,Andraka
surname,102,Weener,Andraka
surname,107,Kolvik,Andraka
surname,109,Kusakabe,Coppola
surname,112,Haining,Coppola
surname,119,Preas,Coppola
surname,129,Broch,Andraka
surname,150,Blix,Coppola
surname,160,Haining,Coppola
surname,165,Kubicar,Coppola
surname,190,Kubicar,Coppola
surname,208,Milicia,Coppola
surname,215,Wolin,Coppola
surname,225,Dighe,Andraka
surname,229,Clemm,Andraka
surname,232,Wolin,Coppola
surname,237,McCain,Coppola
surname,242,Bollman,Coppola
surname,249,Broch,Andraka
surname,257,Milicia,Coppola
surname,269,Dighe,Andraka
surname,282,Ruocco,Coppola
surname,283,Guoxing,Obermaier
surname,284,Kubicar,Coppola
surname,296,Cippico,Kontos
surname,297,Kusakabe,Coppola
surname,315,Babb,Coppola
surname,339,Waldherr,Kadar
surname,344,Kubicar,Coppola
surname,354,Haining,Coppola
surname,355,Kolvik,Andraka
surname,377,Babb,Coppola
surname,378,Bollman,Coppola
surname,380,Konikowska,Andraka
surname,389,Waldherr,Kadar
surname,395,Haining,Coppola
surname,409,Kubicar,Coppola
surname,419,Blix,Coppola
surname,423,Kolvik,Andraka
surname,424,Broch,Andraka
surname,435,Hooghiemstra,Coppola
surname,464,Dighe,Andraka
surname,467,Gubitoso,Andraka
surname,492,Gubitoso,Andraka
surname,517,Prenel,Coppola
surname,528,Kakuta,Coppola
surname,538,Bertsekas,Musselman
surname,544,Batz,Coppola
surname,552,Guyton,Coppola
surname,570,Clemm,Andraka
surname,589,Waldherr,Kadar
surname,599,Broch,Andraka
surname,600,Waldherr,Kadar
surname,617,Kubicar,Coppola
surname,653,Blix,Coppola
surname,673,Clemm,Andraka
surname,682,Guoxing,Obermaier
surname,683,Waldherr,Kadar
surname,700,Kakuta,Coppola
surname,702,Dighe,Andraka
surname,719,Haining,Coppola
surname,721,Haining,Coppola
surname,724,Haining,Coppola
surname,725,Haining,Coppola
surname,740,Obermaier,Rayne
surname,749,McCain,Coppola
surname,755,Haining,Coppola
surname,758,Kubicar,Coppola
surname,794,Weener,Andraka
surname,796,Prenel,Coppola
surname,803,Batz,Coppola
surname,808,Clemm,Andraka
surname,809,Waldherr,Kadar
surname,838,Broch,Andraka
surname,850,Babb,Coppola
surname,858,Clemm,Andraka
surname,860,Prenel,Coppola
surname,885,Kubicar,Coppola
surname,902,Haining,Coppola
surname,924,Noltemeier,Coppola
surname,936,Yang,Coppola
surname,940,Obermaier,Rayne
surname,982,Bertsekas,Musselman
surname,994,Dighe,Andraka
surname,998,Haining,Coppola
surname,1007,Milicia,Coppola
surname,1016,McCain,Coppola
surname,1035,Yang,Coppola
surname,1040,Guoxing,Obermaier
surname,1048,Kolvik,Andraka
surname,1057,Noltemeier,Coppola
surname,1063,Guyton,Coppola
surname,1067,Kubicar,Coppola
surname,1070,Yang,Coppola
surname,1077,Cippico,Kontos
surname,1078,Haining,Coppola
surname,1083,Waldherr,Kadar
surname,1089,Broch,Andraka
surname,1090,Dighe,Andraka
surname,1109,Haining,Coppola
