Attribute,Index,Dirty Value,Cleaned Value
surname,26,Milicia,Coppola
surname,41,Haining,Coppola
surname,71,Kubicar,Coppola
surname,83,Rayne,Bouabdallah
surname,92,Waldherr,Andraka
surname,97,Milicia,Coppola
surname,98,Waldherr,Andraka
surname,102,Waldherr,Andraka
surname,107,Waldherr,Andraka
surname,109,Milicia,Coppola
surname,112,Haining,Coppola
surname,118,Obermaier,Rudstrom
surname,119,Haining,Coppola
surname,129,Waldherr,Andraka
surname,150,Milicia,Coppola
surname,160,Haining,Coppola
surname,165,Kubicar,Coppola
surname,178,Rayne,Gull
surname,189,Rayne,Gull
surname,190,Kubicar,Coppola
surname,192,Rayne,Leifker
surname,208,Milicia,Coppola
surname,215,Haining,Coppola
surname,222,Obermaier,Rudstrom
surname,225,Waldherr,Andraka
surname,229,Waldherr,Andraka
surname,232,Haining,Coppola
surname,237,Milicia,Coppola
surname,242,Milicia,Coppola
surname,249,Waldherr,Andraka
surname,257,Milicia,Coppola
surname,269,Waldherr,Andraka
surname,282,Milicia,Coppola
surname,284,Kubicar,Coppola
surname,296,Obermaier,Kontos
surname,297,Milicia,Coppola
surname,300,Obermaier,Togni
surname,313,Rayne,Gull
surname,315,Milicia,Coppola
surname,339,Rayne,Kadar
surname,344,Kubicar,Coppola
surname,354,Haining,Coppola
surname,355,Waldherr,Andraka
surname,360,Rayne,Devroye
surname,377,Milicia,Coppola
surname,378,Milicia,Coppola
surname,380,Waldherr,Andraka
surname,389,Rayne,Kadar
surname,395,Haining,Coppola
surname,409,Kubicar,Coppola
surname,414,Obermaier,Rudstrom
surname,419,Milicia,Coppola
surname,423,Waldherr,Andraka
surname,424,Waldherr,Andraka
surname,425,Obermaier,Rudstrom
surname,435,Haining,Coppola
surname,442,Obermaier,Togni
surname,460,Rayne,Devroye
surname,464,Waldherr,Andraka
surname,467,Waldherr,Andraka
surname,492,Waldherr,Andraka
surname,517,Haining,Coppola
surname,528,Milicia,Coppola
surname,538,Obermaier,Musselman
surname,544,Milicia,Coppola
surname,552,Milicia,Coppola
surname,570,Waldherr,Andraka
surname,589,Rayne,Kadar
surname,599,Waldherr,Andraka
surname,600,Rayne,Kadar
surname,617,Kubicar,Coppola
surname,636,Rayne,Senator
surname,638,Rayne,Leifker
surname,653,Milicia,Coppola
surname,660,Rayne,Leifker
surname,663,Rayne,Gull
surname,673,Waldherr,Andraka
surname,683,Rayne,Kadar
surname,686,Rayne,Gull
surname,687,Rayne,Remp
surname,700,Milicia,Coppola
surname,702,Waldherr,Andraka
surname,719,Haining,Coppola
surname,721,Haining,Coppola
surname,724,Haining,Coppola
surname,725,Haining,Coppola
surname,731,Obermaier,Togni
surname,746,Milicia,Coppola
surname,747,Milicia,Coppola
surname,749,Milicia,Coppola
surname,755,Haining,Coppola
surname,758,Kubicar,Coppola
surname,785,Rayne,Remp
surname,794,Waldherr,Andraka
surname,796,Haining,Coppola
surname,803,Milicia,Coppola
surname,808,Waldherr,Andraka
surname,809,Rayne,Kadar
surname,838,Waldherr,Andraka
surname,850,Milicia,Coppola
surname,858,Waldherr,Andraka
surname,860,Haining,Coppola
surname,885,Kubicar,Coppola
surname,896,Waldherr,Andraka
surname,902,Haining,Coppola
surname,915,Rayne,Bouabdallah
surname,924,Milicia,Coppola
surname,936,Haining,Coppola
surname,955,Rayne,Bouabdallah
surname,982,Obermaier,Musselman
surname,985,Rayne,Gull
surname,988,Rayne,Leifker
surname,993,Rayne,Leifker
surname,994,Waldherr,Andraka
surname,998,Haining,Coppola
surname,1007,Milicia,Coppola
surname,1016,Milicia,Coppola
surname,1031,Rayne,Gull
surname,1035,Haining,Coppola
surname,1048,Waldherr,Andraka
surname,1057,Milicia,Coppola
surname,1058,Rayne,Bouabdallah
surname,1063,Milicia,Coppola
surname,1067,Kubicar,Coppola
surname,1070,Haining,Coppola
surname,1077,Obermaier,Kontos
surname,1078,Haining,Coppola
surname,1083,Rayne,Kadar
surname,1089,Waldherr,Andraka
surname,1090,Waldherr,Andraka
surname,1109,Haining,Coppola
surname,1118,Waldherr,Andraka
surname,1128,Obermaier,Togni
surname,1141,Obermaier,Rudstrom
surname,1148,Haining,Coppola
surname,1155,Rayne,Remp
surname,1156,Rayne,Remp
surname,1160,Haining,Coppola
surname,1163,Haining,Coppola
surname,1183,Rayne,Gull
surname,1197,Waldherr,Andraka
surname,1203,Waldherr,Andraka
surname,1206,Milicia,Coppola
surname,1219,Haining,Coppola
surname,1241,Waldherr,Andraka
surname,1243,Milicia,Coppola
surname,1245,Waldherr,Andraka
surname,1246,Haining,Coppola
surname,1259,Rayne,Devroye
surname,1262,Rayne,Devroye
surname,1293,Milicia,Coppola
surname,1298,Rayne,Kadar
surname,1301,Waldherr,Andraka
surname,1312,Haining,Coppola
surname,1321,Milicia,Coppola
surname,1327,Milicia,Coppola
surname,1334,Haining,Coppola
surname,1344,Milicia,Coppola
surname,1372,Waldherr,Andraka
surname,1374,Milicia,Coppola
surname,1375,Milicia,Coppola
surname,1378,Waldherr,Andraka
surname,1379,Milicia,Coppola
surname,1388,Obermaier,Rudstrom
surname,1409,Rayne,Bouabdallah
surname,1421,Waldherr,Andraka
surname,1428,Waldherr,Andraka
surname,1469,Obermaier,Kontos
surname,1474,Haining,Coppola
surname,1536,Obermaier,Kontos
surname,1539,Waldherr,Andraka
surname,1544,Waldherr,Andraka
surname,1548,Waldherr,Andraka
surname,1550,Rayne,Kadar
surname,1559,Milicia,Coppola
surname,1562,Haining,Coppola
surname,1589,Haining,Coppola
surname,1603,Rayne,Remp
surname,1607,Rayne,Gull
surname,1612,Milicia,Coppola
surname,1649,Waldherr,Andraka
surname,1670,Rayne,Remp
surname,1690,Milicia,Coppola
surname,1693,Rayne,Kadar
surname,1694,Waldherr,Andraka
surname,1702,Milicia,Coppola
surname,1707,Haining,Coppola
surname,1718,Rayne,Gull
surname,1720,Rayne,Gull
surname,1721,Haining,Coppola
surname,1732,Milicia,Coppola
surname,1737,Milicia,Coppola
surname,1743,Rayne,Remp
