Attribute,Index,Dirty Value,Cleaned Value
HospitalName,27,southeast alabama medxcal center,southeast alabama medical center
HospitalName,132,crenshaw cxmmunity hxspital,crenshaw community hospital
HospitalName,172,marshall medical cenxer norxh,marshall medical center north
HospitalName,244,dexalb regional medical center,dekalb regional medical center
HospitalName,338,floxers hospital,flowers hospital
HospitalName,385,univ ox south alabama medical center,univ of south alabama medical center
HospitalName,386,xniv of soxth alabama medical center,univ of south alabama medical center
HospitalName,449,xlxskx regionxl hospitxl,alaska regional hospital
HospitalName,533,baptist medical cexter south,baptist medical center south
HospitalName,561,jaxkson hospital & xlinix inx,jackson hospital & clinic inc
HospitalName,655,wedowee hosxital,wedowee hospital
HospitalName,698,communitx hospital inc,community hospital inc
HospitalName,711,communixy hospixal inc,community hospital inc
HospitalName,731,cullmxn regionxl medicxl center,cullman regional medical center
HospitalName,759,andaxusia regionax hospitax,andalusia regional hospital
HospitalName,766,andaluxia regional hoxpital,andalusia regional hospital
HospitalName,778,huntsvxlle hospxtal,huntsville hospital
HospitalName,904,rivxrvixw rxgional mxdical cxntxr,riverview regional medical center
HospitalName,922,xivexview xegional medical centex,riverview regional medical center
HospitalName,923,riverview rexional medical center,riverview regional medical center
HospitalName,939,georgiaxa hospital,georgiana hospital
HospitalName,957,medixal xenter enterprise,medical center enterprise
HospitalName,963,medxcal center enterprxse,medical center enterprise
HospitalName,988,st vincents bxount,st vincents blount
Address1,58,2505xuxsxhighwayx431xnorth,2505 u s highway 431 north
Address1,95,702xnxmainxst,702 n main st
Address1,107,702 x maix st,702 n main st
Address1,162,201 pine sxreex norxhwesx,201 pine street northwest
Address1,176,8000 alabama xigxway 69,8000 alabama highway 69
Address1,261,33700 hxghway 43,33700 highway 43
Address1,265,33700 highway x3,33700 highway 43
Address1,364,1530xuxsxhighwayx43,1530 u s highway 43
Address1,394,124xsxmemorialxdr,124 s memorial dr
Address1,412,124 s mxmorial dr,124 s memorial dr
Address1,452,poxboxx287,po box 287
Address1,737,1912xalabamaxhighwayx157,1912 alabama highway 157
Address1,850,x0x0 lay dam road,1010 lay dam road
Address1,858,1256 military street sxuth,1256 military street south
Address1,916,600 souxh xhird sxreex,600 south third street
Address1,935,515 miranda sx,515 miranda st
Address1,936,515 miranxa st,515 miranda st
Address1,946,515 mirxndx st,515 miranda st
City,4,birminghxm,birmingham
City,8,birmingxam,birmingham
City,11,sheffxeld,sheffield
City,80,fxorence,fnnrencn
City,89,florxncx,fnnrxncn
City,94,flxrence,fnnrencn
City,208,birmixgham,birmingham
City,213,bxrmxngham,birmingham
City,312,axxistox,anniston
City,368,winfielx,wnnfieln
City,438,anchoraxe,anchorage
City,518,montxomery,montgomery
City,579,vallex,valley
City,591,vxlley,valley
City,655,wxdowxx,wedowee
City,691,birminxham,birmingham
City,697,tallaxxee,tallassee
City,737,cuxxman,cullman
City,757,andaluxia,andalusia
City,822,gxdsden,gadsden
City,856,hamilxon,hnnilxon
City,896,faxette,fayette
City,950,geoxgiana,georgiana
City,961,enterprxse,enterprise
City,969,xntxrprisx,enterprise
City,986,onxonta,oneonta
State,43,xl,al
State,47,xl,al
State,51,xl,al
State,84,xl,al
State,99,xl,al
State,120,ax,al
State,141,ax,al
State,166,ax,al
State,183,xl,al
State,229,ax,al
State,279,xl,al
