Attribute,Index,Clean Value,Cleaned Value
Address1,58,2505 u s highway 431 north,2505xuxsxhighwayx431xnorth
Address1,95,702 n main st,702xnxmainxst
Address1,107,702 n main st,702 x maix st
Address1,162,201 pine street northwest,201 pine sxreex norxhwesx
Address1,176,8000 alabama highway 69,8000 alabama xigxway 69
Address1,261,33700 highway 43,33700 hxghway 43
Address1,265,33700 highway 43,33700 highway x3
Address1,276,1000 first street north,1000 fixst stxeet noxth
Address1,317,301 east 18th st,301xeastx18thxst
Address1,335,4370 west main street,4370xwestxmainxstreet
Address1,351,810 st vincents drive,810 st vxncents drxve
Address1,364,1530 u s highway 43,1530xuxsxhighwayx43
Address1,394,124 s memorial dr,124xsxmemorialxdr
Address1,416,315 w hickory st,315 w hickxry st
Address1,432,315 w hickory st,315xwxhickoryxst
Address1,452,po box 287,poxboxx287
Address1,473,126 hospital ave,126xhospitalxave
Address1,485,126 hospital ave,1x6 hospital ave
Address1,653,209 north main street,209 xorth maix street
Address1,737,1912 alabama highway 157,1912xalabamaxhighwayx157
Address1,768,301 east 18th st,301 east 1xth st
Address1,858,1256 military street south,1256 military street sxuth
Address1,936,515 miranda st,515 miranxa st
Address1,987,150 gilbreath drive,150 gilxreath drive
City,57,boaz,boxz
City,181,guntersville,guntxrsvillx
City,229,fort payne,fort payxe
City,475,ozark,ozarx
City,486,ozark,xzark
City,602,elba,exba
ZipCode,45,35957,x5957
ZipCode,64,35957,3595x
ZipCode,71,35631,3563x
ZipCode,94,35631,3563x
ZipCode,138,36049,36x49
ZipCode,140,36049,360x9
ZipCode,150,35640,3x640
ZipCode,158,35640,3x640
ZipCode,197,35235,3x23x
ZipCode,233,35968,359x8
ZipCode,268,36784,x6784
ZipCode,284,35007,3x007
ZipCode,291,35007,x5007
ZipCode,326,36201,36x01
ZipCode,333,36305,3x305
ZipCode,341,36305,x6x05
ZipCode,367,35594,3xx94
ZipCode,376,35594,3xx94
ZipCode,407,36067,3x0x7
ZipCode,421,35150,x5150
ZipCode,429,35150,3x1x0
ZipCode,491,36360,x6x60
ZipCode,500,35960,x5960
ZipCode,545,36106,3x10x
ZipCode,680,35233,3x233
ZipCode,686,35233,x52xx
ZipCode,711,36078,36x78
ZipCode,751,36420,3642x
ZipCode,816,35903,x590x
ZipCode,924,35901,3590x
CountyName,68,marshall,mxrshxll
CountyName,73,lauderdale,laudxrdalx
CountyName,78,lauderdale,laudexdale
CountyName,137,crenshaw,crxnshaw
CountyName,217,jefferson,jeffersxn
CountyName,222,de kalb,dx kalb
CountyName,224,de kalb,xe kalb
CountyName,228,de kalb,dx kalb
CountyName,239,de kalb,xe kalb
CountyName,253,clarke,xlarke
CountyName,313,calhoun,calhoxn
CountyName,325,calhoun,caxhoun
CountyName,347,houston,housxon
CountyName,416,talladega,tallaxega
CountyName,457,jefferson,jxffxrson
CountyName,458,jefferson,xefferson
CountyName,466,jefferson,jexxerson
CountyName,503,cherokee,chxrokxx
CountyName,514,cherokee,chxrokxx
CountyName,528,montgomery,monxgomery
CountyName,541,montgomery,montgomexy
CountyName,552,montgomery,monxgomery
CountyName,579,chambers,xhambers
CountyName,591,chambers,chaxbers
CountyName,603,coffee,coffxx
CountyName,634,lee,xee
CountyName,673,jefferson,jxffxrson
CountyName,690,jefferson,jexxerson
CountyName,693,elmore,elmoxe
CountyName,699,elmore,elxore
CountyName,723,cullman,cxllman
CountyName,731,cullman,cxllman
CountyName,753,covington,coxington
CountyName,786,madison,madisxn
CountyName,799,madison,madisox
CountyName,896,fayette,fayexxe
CountyName,918,etowah,etowxh
CountyName,944,butler,butxer
CountyName,967,coffee,cxffee
PhoneNumber,25,3347938701,334793870x
PhoneNumber,37,3347938701,xx479x8701
PhoneNumber,58,2565938310,2x6x938310
PhoneNumber,61,2565938310,2x6x938310
PhoneNumber,66,2565938310,2565x38310
PhoneNumber,102,3344933541,3344x33541
PhoneNumber,218,2058383122,2058x8x122
PhoneNumber,229,2568453150,2568453x50
PhoneNumber,248,3346366221,xx46x66221
PhoneNumber,262,3346366221,334x3xx221
PhoneNumber,322,2562358900,256235x900
PhoneNumber,343,3347935000,xx479x5000
PhoneNumber,382,2514717110,25x47x7xx0
PhoneNumber,385,2514717110,25x47x7xx0
PhoneNumber,387,2514717110,25x47x7xx0
PhoneNumber,394,3343614267,33x361x267
PhoneNumber,472,3347742601,334774x601
PhoneNumber,517,3342882100,3342xx2100
PhoneNumber,549,3342938000,3342938xxx
PhoneNumber,562,3342938000,33x2938000
PhoneNumber,563,3342938000,3342938xxx
PhoneNumber,573,3347561400,334x561400
PhoneNumber,594,3348972257,33x8972257
PhoneNumber,667,2059344011,20593xx011
PhoneNumber,700,3342836541,334x836541
PhoneNumber,714,3342836541,33x28365x1
PhoneNumber,752,3342228466,334xxx8466
PhoneNumber,764,3342228466,33422284xx
PhoneNumber,825,2564944000,2564944xxx
PhoneNumber,856,2059216200,x059x16x00
PhoneNumber,866,2059216200,20x9216200
PhoneNumber,882,2059325966,x0593x5966
PhoneNumber,884,2059325966,x0593x5966
PhoneNumber,917,2565435200,x565435x00
HospitalOwner,23,government - hospital district or authority,government - hospxtal dxstrxct or authorxty
