Attribute,Index,Dirty Value,Cleaned Value
journal_issn,8,empty,1535-4970
journal_issn,265,empty,1931-3543
journal_issn,310,empty,1931-3543
journal_issn,395,empty,1098-4275
journal_issn,490,empty,1098-4275
journal_issn,859,empty,1098-4275
journal_issn,928,empty,1098-4275
journal_issn,941,empty,1462-2416
article_jvolumn,2,empty,-1
article_jvolumn,110,empty,-1
article_jvolumn,182,empty,-1
article_jvolumn,197,empty,-1
article_jvolumn,210,empty,-1
article_jvolumn,313,empty,-1
article_jvolumn,324,empty,-1
article_jvolumn,341,empty,-1
article_jvolumn,357,empty,-1
article_jvolumn,361,empty,-1
article_jvolumn,446,empty,-1
article_jvolumn,523,empty,-1
article_jvolumn,534,empty,-1
article_jvolumn,550,empty,-1
article_jvolumn,551,empty,-1
article_jvolumn,643,empty,-1
article_jvolumn,769,empty,-1
article_jvolumn,792,empty,-1
article_jvolumn,862,empty,-1
article_jvolumn,867,empty,-1
article_jvolumn,888,empty,-1
article_jvolumn,998,empty,-1
article_jissue,2,empty,-1
article_jissue,17,empty,-1
article_jissue,34,empty,-1
article_jissue,48,empty,-1
article_jissue,56,empty,-1
article_jissue,65,empty,-1
article_jissue,66,empty,-1
article_jissue,123,empty,-1
article_jissue,158,empty,-1
article_jissue,176,empty,-1
article_jissue,182,empty,-1
article_jissue,197,empty,-1
article_jissue,198,empty,-1
article_jissue,201,empty,-1
article_jissue,210,empty,-1
article_jissue,238,empty,-1
article_jissue,241,empty,-1
article_jissue,298,empty,-1
article_jissue,313,empty,-1
article_jissue,324,empty,-1
article_jissue,332,empty,-1
article_jissue,341,empty,-1
article_jissue,354,empty,-1
article_jissue,357,empty,-1
article_jissue,361,empty,-1
article_jissue,366,empty,-1
article_jissue,422,empty,12
article_jissue,437,empty,-1
article_jissue,446,empty,-1
article_jissue,447,empty,-1
article_jissue,474,empty,-1
article_jissue,513,empty,-1
article_jissue,533,empty,-1
article_jissue,534,empty,-1
article_jissue,550,empty,-1
article_jissue,551,empty,2
article_jissue,605,empty,-1
article_jissue,643,empty,4
article_jissue,705,empty,-1
