Attribute,Index,Clean Value,Dirty Value
beer_name,1535,Kentucky K?lsch,Kentucky Kölsch
beer_name,1738,"the Kimmie, the Yink and the Holy Gose",the Kimmie the Yink and the Holy Gose
beer_name,1640,Aslan K?lsch,Aslan Kölsch
beer_name,1408,K?lsch 151,Kölsch 151
beer_name,2204,Post Time K?lsch,Post Time Kölsch
beer_name,1802,"You're My Boy, Blue",You're My Boy Blue
beer_name,2654,32°/50° K?lsch,32°/50° Kölsch
beer_name,129,Heiner Brau K?lsch,Heiner Brau Kölsch
beer_name,1804,Mj?llnir,Mjöllnir
beer_name,1452,Laimas K?lsch Style Ale,Laimas Kölsch Style Ale
beer_name,2309,Sunbru K?lsch,Sunbru Kölsch
beer_name,178,Sunbru K?lsch,Sunbru Kölsch
beer_name,1034,Cabrillo K?lsch,Cabrillo Kölsch
beer_name,2142,Screamin??Pumpkin,Screamin�?Pumpkin
beer_name,1615,The 12th Can??American Pale Ale (APA),The 12th Can�?American Pale Ale (APA)
beer_name,195,Lancaster German Style K?lsch,Lancaster German Style Kölsch
beer_name,1081,Occidental K?lsch,Occidental Kölsch
beer_name,1796,The CROWLER??,The CROWLER�?
beer_name,1087,Side Kick K?lsch,Side Kick Kölsch
beer_name,1760,GreyBeard??IPA,GreyBeard�?IPA
beer_name,92,Colorado K?lsch,Colorado Kölsch
beer_name,105,K?ld Lager (2010),Köld Lager (2010)
beer_name,936,Loafin Br?u,Loafin Bräu
style,2217,K?lsch,Kölsch
style,1535,K?lsch,Kölsch
style,550,K?lsch,Kölsch
style,1640,K?lsch,Kölsch
style,1579,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1401,K?lsch,Kölsch
style,1408,K?lsch,Kölsch
style,1613,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1281,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,2204,K?lsch,Kölsch
style,2654,K?lsch,Kölsch
style,427,K?lsch,Kölsch
style,2210,nan,empty
style,2055,K?lsch,Kölsch
style,2019,K?lsch,Kölsch
style,2079,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,2011,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,2438,K?lsch,Kölsch
style,129,K?lsch,Kölsch
style,681,K?lsch,Kölsch
style,1311,K?lsch,Kölsch
style,1452,K?lsch,Kölsch
style,1968,K?lsch,Kölsch
style,2659,K?lsch,Kölsch
style,2309,K?lsch,Kölsch
style,1635,nan,empty
style,178,K?lsch,Kölsch
style,2527,nan,empty
style,1300,K?lsch,Kölsch
style,1034,K?lsch,Kölsch
style,930,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,539,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,2461,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1567,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1380,K?lsch,Kölsch
style,1313,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,769,K?lsch,Kölsch
style,192,K?lsch,Kölsch
style,989,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,2383,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1458,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1235,K?lsch,Kölsch
style,195,K?lsch,Kölsch
style,475,K?lsch,Kölsch
style,1816,K?lsch,Kölsch
style,1626,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,2662,K?lsch,Kölsch
style,1617,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,314,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1081,K?lsch,Kölsch
style,1790,nan,empty
style,696,K?lsch,Kölsch
style,1087,K?lsch,Kölsch
style,417,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1992,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,2373,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1552,K?lsch,Kölsch
style,1864,K?lsch,Kölsch
style,1995,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,307,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,166,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1798,K?lsch,Kölsch
style,1482,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1969,K?lsch,Kölsch
style,369,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,92,K?lsch,Kölsch
style,1357,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,650,K?lsch,Kölsch
style,456,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1410,K?lsch,Kölsch
style,874,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,526,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,2035,K?lsch,Kölsch
style,1042,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1645,M?rzen / Oktoberfest,Märzen / Oktoberfest
style,1514,K?lsch,Kölsch
ounces,1796,nan,empty
abv,1541,nan,empty
abv,1025,nan,empty
abv,2490,nan,empty
abv,2489,nan,empty
abv,2488,nan,empty
abv,2487,nan,empty
abv,2382,nan,empty
abv,2381,nan,empty
abv,1096,nan,empty
abv,1095,nan,empty
abv,504,nan,empty
abv,870,nan,empty
abv,869,nan,empty
abv,868,nan,empty
abv,867,nan,empty
abv,61,nan,empty
abv,2210,nan,empty
abv,1163,nan,empty
abv,940,nan,empty
abv,731,nan,empty
abv,944,nan,empty
abv,524,nan,empty
abv,450,nan,empty
abv,449,nan,empty
abv,448,nan,empty
abv,447,nan,empty
abv,446,nan,empty
abv,520,nan,empty
abv,2322,nan,empty
abv,142,nan,empty
abv,506,nan,empty
abv,1784,nan,empty
abv,2595,nan,empty
abv,2472,nan,empty
abv,779,nan,empty
abv,364,nan,empty
abv,60,nan,empty
abv,59,nan,empty
abv,58,nan,empty
abv,57,nan,empty
abv,273,nan,empty
abv,1796,nan,empty
abv,1790,nan,empty
abv,1752,nan,empty
abv,1750,nan,empty
abv,1056,nan,empty
abv,335,nan,empty
abv,64,nan,empty
abv,710,nan,empty
abv,219,nan,empty
abv,1724,nan,empty
abv,307,nan,empty
abv,774,nan,empty
abv,763,nan,empty
abv,1948,nan,empty
abv,1347,nan,empty
abv,963,nan,empty
abv,121,nan,empty
abv,652,nan,empty
abv,2364,nan,empty
abv,2344,nan,empty
abv,2342,nan,empty
ibu,1436,nan,empty
ibu,2265,nan,empty
ibu,2264,nan,empty
ibu,2263,nan,empty
ibu,2262,nan,empty
ibu,2261,nan,empty
ibu,2260,nan,empty
ibu,2259,nan,empty
ibu,2258,nan,empty
ibu,2131,nan,empty
ibu,2099,nan,empty
ibu,2098,nan,empty
ibu,2097,nan,empty
ibu,1980,nan,empty
ibu,2318,nan,empty
ibu,2170,nan,empty
ibu,2169,nan,empty
ibu,1502,nan,empty
ibu,1593,nan,empty
ibu,1592,nan,empty
ibu,976,nan,empty
ibu,2518,nan,empty
ibu,2517,nan,empty
ibu,2324,nan,empty
ibu,2288,nan,empty
ibu,2287,nan,empty
ibu,2286,nan,empty
ibu,2285,nan,empty
ibu,2603,nan,empty
ibu,2220,nan,empty
ibu,1583,nan,empty
ibu,2676,nan,empty
ibu,2501,nan,empty
ibu,1535,nan,empty
ibu,1149,nan,empty
ibu,1474,nan,empty
ibu,1473,nan,empty
ibu,2592,nan,empty
ibu,2578,nan,empty
ibu,2577,nan,empty
ibu,2103,nan,empty
ibu,2102,nan,empty
ibu,2291,nan,empty
ibu,1818,nan,empty
ibu,1738,nan,empty
ibu,1563,nan,empty
ibu,2337,nan,empty
ibu,410,nan,empty
ibu,409,nan,empty
ibu,1294,nan,empty
ibu,1293,nan,empty
ibu,1292,nan,empty
ibu,2207,nan,empty
ibu,2040,nan,empty
ibu,2039,nan,empty
ibu,735,nan,empty
ibu,1640,nan,empty
ibu,1639,nan,empty
